Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 30
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Water infrastructure
Development","SP 2.1: Water har-
vesting and storage","6,012,986.20","108,000,000",-,,0,0,330,0
,"SP2: Piped water
supply infrastruc-
ture","5,512,986.20","167,430,000",-,,0,0,330,0
,"SP.3: Groundwater
development","6,262,986.20","65,600,000",-,,0,0,330,0
,Sub Total,"117,373,999","396,117,578","166,800",-,0,0,330,0
"Agriculture, Irrigation, Livestock, Fisheries And Cooperative",,,,,,,,330,0
"General administra-
tion & planning","SP1: General
Administration &
Planning","235,991,044","157,178,152","728,500",,0,0,330,0
"Land, Crop develop-
ment & productivity","SP 2: Land, Crop
development &
productivity","3,550,000","47,680,000",,,0,0,330,0
"Agribusiness and
information man-
agement","SP3; Agribusiness
and information
management","10,500,000","26,418,919","750,000",,7,0,330,0
"Livestock Produc-
tion, Management
and Development","SP 4:Livestock
Production,
Management and
Development","12,159,000","28,587,000",,,0,0,330,0
"Cooperative Devel-
opment","SP 5:Cooperative
Development","1,800,000","2,000,000",,,0,0,330,0
,Sub Total,"264,000,044","261,864,071","1,478,500",-,1,0,330,0
Makueni Fruit Development and Marketing Authority,,,,,,,,330,0
"General Adminis-
tration & Support
Services","P1: General admin-
istration & planning","40,229,332","56,499,364",,,0,0,330,0
,Sub Total,"40,229,332","56,499,364",-,-,0,0,330,0
County Assembly,,,,,,,,330,0
"Legislation and
Representation","SP1: Legislation and
Representation","870,638,166","32,000,000","185,879,966",,21,0,330,0
,Sub Total,"870,638,166","32,000,000","185,879,966",-,21,0,330,0
Total County Budget,,"7,475,252,896.09","3,722,190,283","731,536,756.15","10,698,825.30",10,0,330,0
