Programme,Sub-Pro gramme,Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
"P3: Preventive and
promotive and RM-
NCH services","Maternal, newborn, child
health and nutrition services","11,075,645",,,,-,,123,0
,"Preventive and Promotive
health services","11,618,450",,,,-,,123,0
,Sub-Total,"2,935,720,847","420,500,000","341,873,453","60,000,000",12,14,123,0
"Department Trade, Investments and Enterprise Development",,,,,,,,123,0
"CP1: Administration
and Support Services","CSP1.1 Administration And
Support Services","90,354,667","350,000,000","11,000,000","87,435,823",12,25,123,0
"CSP 2.1 micro and
small enterprises
development","CSP 2.1 micro and small
enterprises development","1,400,000","20,000,000",,,-,-,123,0
,"CSP 2.2 Trade infrastructure
and services","750,000",,,,-,,123,0
"CP3.Industrialisa-
tion and Investment
Programme","CSP 3.1 Industrialization
and Investment Programme","1,400,000","100,000,000",,,-,-,123,0
CP 4: Tourism,"CSP 4.1 Tourism Devel-
opment","1,402,259",,,,-,,123,0
,Sub-Total,"95,306,926","470,000,000","11,000,000","87,435,823",12,19,123,0
"Department of Water, Environment and Natural Resources",,,,,,,,123,0
CP1: Water Services,"CSP1.1 Administration and
Support Services","35,293,025","310,000,000","14,000,000","77,628,677",40,25,123,0
,"CSP 1.2 Water Infrastruc-
ture Development","1,100,000","785,100,000",,"98,595,330",-,13,123,0
"CP2: Irrigation
Services","CSP 2.1 Irrigation Devel-
opment","12,350,000","377,000,000",,"11,000,000",-,3,123,0
,Sub-Total,"183,255,191","1,472,100,000","14,000,000","187,224,007",8,13,123,0
"Department of County Affairs, Public Service and Intergovernmental Relations",,,,,,,,123,0
"CP1.Executive
Services","CSP 1.1 Governor Oper-
ations","60,400,000",,"8,000,000",,13,,123,0
,"CSP 1.2 Deputy Governor
Operations","36,120,000",,"85,500,000",,237,,123,0
,CSP 1.3County Secretary,"49,656,215",,"6,500,000",,13,,123,0
,"CSP 1.4Operations &
Sub-County Administration","254,302,589","12,000,000","5,000,000",,2,-,123,0
,"CSP 1.5Intergovernmental
&public participation","56,812,430",,,,-,,123,0
,CSP 1.6 County Attorney,"28,500,000",,"12,000,000",,42,,123,0
,CSP1.7 HRM DPT,"86,491,478",,"7,094,824",,8,,123,0
,CSP 1.8 Donor coordination,"17,280,548",,,,-,,123,0
,Sub-Total,"183,255,191","1,472,100,000","124,094,824",-,68,,123,0
Department County Public Service Board,,,,,,,,123,0
"Programme 1: Board
services","CSP 1: Administration
support services","55,743,617","15,000,000","2,214,975",,4,-,123,0
