Programme,Sub-Programme,Approved Estimates 2024-25,col_3,"Actual Expenditure as of 30th
September 2024",col_5,Absorption Rate (),col_7,page_number,table_index
"World Bank
Emergency Locusts
Project","World Bank Emergency
Locusts Project",-,-,-,-,-,-,45,0
"Certified pasture
and maize","Provision of pastures and
maize seeds",-,-,-,-,-,-,45,0
21,,,,,,,,45,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,46,0
"Purchase of
Mangoes, Maca-
damia and Coffee
Seedlings","Purchase of Mangoes,
Macadamia and Coffee
Seedlings for Mochongoi",-,-,-,-,-,-,46,0
"Cattle Dips and
Animal Vaccina-
tions",Renovations of Cattle Dips,-,-,-,-,-,-,46,0
Cooperative stores,"Construction of Coopera-
tive stores",-,-,-,-,-,-,46,0
Motor Boats,Purchase of motorboats,-,-,-,-,-,-,46,0
"Fisheries de-
velopment and
management","Fish breeding cages
at Lake Baringo and
Kirandich Dam",-,-,-,-,-,-,46,0
"Culture, Youth and
Gender","P1: General Adminis-
tration, Planning and
Support Services","16,941,000",-,-,-,-,-,46,0
"Social Services and
Safety nets","Affirmative Action Ini-
tiatives",-,"44,525,739",-,-,-,-,46,0
"Social Services and
Safety nets","Infrastructure Develop-
ment",-,-,-,-,-,-,46,0
"Cultural and
Creative Arts
Development","Culture, Heritage and
Social activities","4,000,000",-,-,-,-,-,46,0
"Gender develop-
ment and manage-
ment",Gender Development,"4,700,000",-,-,-,-,-,46,0
"Youth, Sports and
Gender Develop-
ment","SP 1: General Administra-
tive Services","8,310,000",-,-,-,-,-,46,0
"Sports Develop-
ment and Manage-
ment",Sports Development,"7,641,453","17,850,000",-,-,-,-,46,0
"Culture and
Creative Arts
Development","Infrastructural develop-
ment",-,"4,000,000",-,-,-,-,46,0
"Culture and
Creative Arts
Development","Infrastructural develop-
ment-social Halls",-,-,-,-,-,-,46,0
"Gender develop-
ment and manage-
ment","Gender Initiatives-Women
Empowerment",-,"28,260,956",-,-,-,-,46,0
"Youth Develop-
ment and Manage-
ment",Youth Initiatives,"1,500,000","24,315,445",-,-,-,-,46,0
"Youth Develop-
ment and Manage-
ment","Infrastructural develop-
ment-Playing Grounds",-,-,-,-,-,-,46,0
"Water and Irriga-
tion Department","SP 1: General Administra-
tive Services","29,655,512",-,"661,980",-,3,-,46,0
"Water resource
development and
supplies manage-
ment","Water resource manage-
ment and storage","7,700,000","413,629,423","413,629,423",-,3,-,46,0
"Irrigation infra-
structure develop-
ment",Irrigation Infrastructure,"300,000","29,112,511",-,-,-,-,46,0
"Environment Ad-
ministration and
Planning","SP 1: General Administra-
tive Services","9,904,819",-,-,-,-,-,46,0
"Environmental
Conservation and
Management","SP1: Environmental con-
servation and protection","8,150,092","5,000,000",-,-,-,-,46,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,47,0
"Natural Resources
Conservation,
Exploitation and
Management","SP1: Forestry and wildlife
conservation, Mining and
Management","700,000",-,-,-,-,-,47,0
"Environmental
conservation and
management",Solid Waste management,-,-,-,-,-,-,47,0
"Environmental
Conservation and
Management","County climate change
fund -Matching fund",-,"55,000,000",-,-,-,-,47,0
"Natural Resources
Conservation,
Exploitation and
Management","Forestry and Wildlife
Conservation and Man-
agement",-,"60,000,000",-,-,-,-,47,0
"Climate Change
Fund Projects","Water resource/ pasture
development and supplies
management",-,-,-,-,-,-,47,0
"P1: Kabarnet Mu-
nicipality Services","SP 1: General Administra-
tion Planning and Support
Services","41,759,157",-,-,-,-,-,47,0
,"Infrastructure develop-
ment",-,"7,500,000",-,-,-,-,47,0
,"Infrastructure develop-
ment",-,"18,190,995",-,-,-,-,47,0
"County Public
Service Board","Administration and
Planning","17,922,030",-,-,-,-,-,47,0
Grand Total,,"5,738,498,602","2,481,667,333","599,031,665",-,10,-,47,0
