Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 30
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Department of Lands, Housing and Urban Development",,,,,,,,470,0
"General
administration and
support services","General administration and sup-
port services","75,345,805",0,"10,280,100",0,14,0,470,0
,Policy and planning,"400,000",0,0,0,0,0,470,0
,Physical Planning,"4,000,000","17,000,000",0,"356,000",0,2,470,0
,Surveying services,0,0,0,0,0,0,470,0
"Town
Management and
Coordination","Town Management and
Coordination","1,000,000","117,000,000",0,0,0,0,470,0
,Sub Total,"80,745,805","134,000,000","10,280,100",0,13,0,470,0
"Department of Water, Sanitation and Irrigation",,,,,,,,470,0
"General
Administration
Planning and
Support Services","General administration and
support services","39,297,623",0,0,0,0,0,470,0
,Major towns’ water services,"9,000,000","45,000,000",0,0,0,0,470,0
,Sub Total,"48,297,623","45,000,000",0,0,0,0,470,0
"Department of Roads, Transport and Public Works",,,,,,,,470,0
,Policy and planning,"300,000",0,0,0,0,0,470,0
,"Human resource and support
services",0,0,0,0,0,0,470,0
,"Administration and support
services","95,521,356",0,"15,337,968",,16,0,470,0
,,Recurrent,Development,Recurrent E,"Develop-
ment",Rec,Dev,471,0
,"Routine road maintenance and
construction.",0,0,0,0,0,0,471,0
,Construction of roads and bridges,"20,800,000","487,226,439",,,0,0,471,0
,"Rehabilitation and maintenance
of Roads",0,0,0,0,0,0,471,0
,"Infrastructural development and
fire safety","2,000,000",0,0,0,0,0,471,0
,Sub Total,"118,621,356","487,226,439","15,337,968",0,13,0,471,0
"Department of Trade, Tourism, Industrialization and Cooperatives Development",,,,,,,,471,0
"General
administration and
support services","General administration and
support services","40,158,147",0,"6,002,341",0,15,0,471,0
,Policy and planning services,"2,000,000",0,0,0,0,0,471,0
"Trade, Cooperative
& Investment",,,,0,0,0,0,471,0
,Cooperative promotion,"8,250,000","1,500,000",0,0,0,0,471,0
,"Value chain and investment
development",0,0,0,0,0,0,471,0
,Trade promotion,"20,500,000","11,300,000",0,0,0,0,471,0
"Tourism promo-
tion and manage-
ment",,,,0,0,0,0,471,0
,"Tourism promotion and
management","1,000,000","3,000,000",0,0,0,0,471,0
,Sub Total,"71,908,147","15,800,000","6,002,341",0,8,0,471,0
"Department of Youths, Sports, Gender, Culture and Social Services",,,,,,,,471,0
"General Adminis-
tration, Planning,
and","General administration support
services","49,675,667",0,"8,757,930",0,18,0,471,0
,"Policy development and support
services",0,0,0,0,0,0,471,0
"Policy and plan-
ning services",,"3,000,000",0,0,0,0,0,471,0
,"General administration and
support services",0,0,0,0,0,0,471,0
,Policy and planning services,0,0,0,0,0,0,471,0
,"Mainstreaming services eg gender
and youth","3,000,000",0,0,0,0,0,471,0
,Cultural promotion heritage,"1,000,000",0,0,0,0,0,471,0
,Community Development,"5,000,000","20,500,000",0,0,0,0,471,0
,"Cultural development and
promotion",0,0,0,0,0,0,471,0
,Sub Total,"58,675,667","20,500,000","8,757,930",0,15,0,471,0
County Public Service Board,,,,,,,,471,0
,Policy and planning,0,0,0,0,0,0,471,0
Support Services,,,0,0,0,0,0,471,0
,Legal services,"867,500",0,0,0,0,0,471,0
,,0,0,0,0,0,0,471,0
,Procurement services,0,0,0,0,0,0,471,0
"General adminis-
tration and support
services",,,,,0,0,0,471,0
,Policy and planning,"2,971,500",0,0,0,0,0,471,0
,,Recurrent,Development,Recurrent E,"Develop-
ment",Rec,Dev,472,0
,"General administration and
support services","57,284,925",0,"7,233,782",0,13,0,472,0
,Sub Total,"61,123,925",0,"7,233,782",0,12,0,472,0
Department of Public Administration and Coordination of Decentralized Units,,,,,,,,472,0
"General
administration and
support services",Policy and planning,"200,000",0,0,0,0,0,472,0
,"General administration and
support services","276,110,145",0,"40,596,014",0,15,0,472,0
ICT,,0,0,0,0,0,0,472,0
,ICT infrastructural services,0,0,0,0,0,0,472,0
"Communication
services",,,0,0,0,0,0,472,0
,Communication services,"1,000,000",0,0,0,0,0,472,0
"Community devel-
opment and special
funding",,,,0,0,0,0,472,0
,"Community development and
special funding","8,500,000","37,500,000",0,0,0,0,472,0
"Coordination,
strategy & HR
Services",,,,,0,0,0,472,0
,Human resource management,"500,000",0,,0,0,0,472,0
,"Field coordination and
Administration","1,000,000","3,000,000",0,0,0,0,472,0
,Strategy & advisory services,"1,000,000",0,0,0,0,0,472,0
,Human resource development,"160,000,000","5,000,000","49,798,000",0,31,0,472,0
,Sub Total,"448,310,145","45,500,000","90,394,014",0,20,0,472,0
Nyamira - Municipality,,,,,,,,472,0
"General
administration and
support services","General administration and
support services","51,434,230",0,"10,978,085",0,21,0,472,0
,Policy and planning,"40,441,800",0,0,0,0,0,472,0
"Infrastructural
development and
fire safety",,0,,0,0,0,0,472,0
,"Infrastructural development and
fire safety",0,"80,817,128",0,0,0,0,472,0
,Sub Total,"91,876,030","80,817,128","10,978,085",0,12,0,472,0
Office of County Attorney,,,,,,,,472,0
"General admin-
istration support
services",,,,0,0,0,0,472,0
,"General administration support
services","22,436,539",0,0,0,0,0,472,0
,Legal services,"2,712,000","4,987,040",0,0,0,0,472,0
,Sub Total,"25,148,539","4,987,040",0,0,0,0,472,0
"Department of Economic Planning, Resources Mobilisation and ICT",,,,,,,,472,0
ICT Services,"Information and communication
services","5,200,000","13,000,000",0,0,0,0,472,0
"General
administration
support services","General administration support
services","164,490,616",0,"15,910,243",0,10,0,472,0
,,Recurrent,Development,Recurrent E,"Develop-
ment",Rec,Dev,473,0
"Economic
Planning &
Budgeting","Budget formulation and
management","1,500,000",0,0,0,0,0,473,0
,"Economic planning and
coordination","46,698,400","20,546,994",0,0,0,0,473,0
,Sub Total,"217,889,016","33,546,994","15,910,243",0,7,0,473,0
Department of Livestock and Fisheries Services,,,,,,,,473,0
"General
administration and
support services","General administration and
support services","97,126,827",0,"12,391,616",0,13,0,473,0
,Policy and planning,"517,690",0,0,0,0,0,473,0
"Fisheries Develop-
ment & promotion",,,0,0,0,0,0,473,0
,Aquaculture Promotion Services,"1,000,000",0,0,0,0,0,473,0
,,,,,,0,0,473,0
"Livestock
Development &
promotion","Animal Health Disease and
Management","1,000,000","8,000,000",0,"400,000",0,5,473,0
,"Livestock Products Value
Addition and Marketing","1,000,000","3,000,000",0,,0,0,473,0
,Sub Total,"100,644,517","11,000,000","12,391,616",0,12,0,473,0
Department of Primary Healthcare,,,,,,,,473,0
"General
administration and
support services","General administration and
support services","1,107,780,663",0,"99,903,617",0,9,0,473,0
"Health Policy Plan-
ning and Financing",,"1,500,000",0,0,0,0,0,473,0
,"Health Policy Planning and
Financing","1,500,000",0,0,0,0,0,473,0
"Curative Health
Services",,,,,0,0,0,473,0
,Facility infrastructural services,"57,634,002","34,600,000",,0,0,0,473,0
,Sub Total,"1,224,548,663","34,600,000","107,856,084",0,9%,0,473,0
Keroka Municipality Board,,,,,,,,473,0
"General
administration and
support services",Policy and planning,"450,000",0,0,0,0,0,473,0
,"General administration and
support services","15,162,809",0,0,0,0,0,473,0
"Infrastructural
development and
fire safety","Infrastructural development and
fire safety",0,"163,123,322",0,0,0,0,473,0
,Sub Total,"15,612,809","163,123,322",0,0,0,0,473,0
Nyamira - Revenue Board,,,,,,,,473,0
"General
administration and
support services","General administration and
support services","3,622,500",0,0,0,0,0,473,0
"internal Resource
mobilisation",internal Resource mobilisation,"4,100,000",0,0,0,0,0,473,0
,Sub Total,"7,722,500",0,0,0,0,0,473,0
Nyamira Disability Board,,,,,,,,473,0
"General
administration and
support services","General administration and
support services","4,722,500",0,0,0,0,0,473,0
,Policy and planning,"1,500,000",0,0,0,0,0,473,0
