Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"SP 6. Sub-county admin-
istration","118, 027, 908",0,"55, 305, 201",0,46.9,0.0,521,0
,"SP 7. Human resource
management","32, 913, 010",0,"1, 202, 800",0,3.7,0.0,521,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,522,0
,"S.P. 8. Communication &
public relations","36, 171, 012",0,"3, 273, 600",0,8.9,0.0,522,0
,"SP 9. Information technol-
ogy","23, 044, 503",0,"2, 033, 235",0,8.8,0.0,522,0
,Subtotal,"739, 424, 604",0,"223, 971, 747",0,30.3,0.0,522,0
"Department of Smart agriculture, irrigation, food security, livestock and fisheries",,,,,,,,522,0
Programme 1.,,"336, 714, 775","411, 410, 417","15, 468, 680","32, 974, 767",,,522,0
,"SP 1. General adminis-
tration","118, 050, 499","81, 541, 822","4, 485, 759","3, 870, 305",3.8,4.8,522,0
,SP 3. Veterinary services,"28, 943, 305","11, 000, 000","1, 315, 870",0,4.5,0.0,522,0
,SP 4. Crop management,"159, 025, 221","284, 700, 271","8, 157, 051","27, 604, 462",17.3,2.9,522,0
,"SP 5. Fisheries develop-
ment & management","30, 695, 750","34, 168, 324","1, 510, 000","1, 500, 000",4.9,4.4,522,0
,Subtotal,"336, 714, 775","411, 410, 417","15, 468, 680","32, 974, 767",4.6,8.0,522,0
"Department of Water, sanitation, environment, climate change and natural resources.",,,,,,,,522,0
Programme 1.,,"88, 208, 148","710, 782, 180","6, 889, 797","55, 713, 887",,,522,0
,"SP 1. General adminis-
tration","44, 960, 227",0,"10, 741, 198",0,23.9,0.0,522,0
,SP 2. Water services,"38, 454, 007","710, 782, 180","6, 844, 797","55, 713, 887",17.8,7.8,522,0
,SP 3. Forestry,"4, 793, 914",0,0,0,0.0,0.0,522,0
,Subtotal,"88, 208, 148","710, 782, 180","17, 585, 995","55, 713, 887",19.9,7.8,522,0
"Department of Education, youth affairs, gender and social services.",,,,,,,,522,0
Programme 1.,,"373, 600, 166","267, 410, 049","110, 560, 012","33, 136, 944",,,522,0
,"SP 1. General administra-
tion & planning services","351, 090, 597",0,"114, 662, 958",0,32.7,0.0,522,0
,S.P. 2. ECDE programmes,"7, 662, 700","173, 575, 075",0,"24, 194, 631",0.0,13.9,522,0
,"SP 3. Youth polytechnics
& youth training","5, 246, 269","40, 783, 581","67, 200","2, 000, 000",1.3,4.9,522,0
,SP 6. Culture,0,"13, 852, 050",0,0,0.0,0.0,522,0
,SP 7. Social services,"9, 640, 600","39, 199, 343","160, 000","6, 942, 313",1.7,17.7,522,0
Programme 3.,,0,"201, 750, 778",0,"9, 875, 509",,,522,0
,"SP. 2. Administration
planning, revenue &
accounts",0,"201, 750, 778",0,"9, 875, 509",0.0,4.5,522,0
,Subtotal,"373, 600, 166","469, 160, 827","114, 890, 158","42, 136, 944",30.8,24.5,522,0
"Department of Lands, physical planning, housing and urban development.",,,,,,,,522,0
Programme 2.,,"123, 087, 776","119, 533, 752","7, 238, 208","23, 639, 307",,,522,0
,SP 1. Physical planning,"38, 062, 776",0,"2, 017, 901",0,5.3,0.0,522,0
,"SP 3. Land surveying and
mapping","8, 685, 000","119, 533, 752","1, 054, 300","23, 639, 307",12.1,19.8,522,0
,SP 5. Housing,"58, 495, 000",0,"1, 527, 430",0,2.6,0.0,522,0
,"SP 6. General administra-
tion, planning & support","17, 845, 000",0,"2, 638, 577",0,14.8,0.0,522,0
,Subtotal,"123, 087, 776","119, 533, 752","7, 238, 208","23, 639, 307",5.9,19.8,522,0
"Department of Public works, energy, roads and transport.",,,,,,,,522,0
Programme 1.,,"123, 087, 776","1,194,250,065","9,666,158","150, 479, 763",,,522,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,523,0
,"SP 1. General administra-
tion services","26, 498, 680",0,"11, 239, 000",0,42.2,0.0,523,0
,"SP 2. Road development,
maintenance & manage","92, 155, 499","1,194,250,065","17, 204, 564","150, 479, 763",18.7,12.6,523,0
,"SP 3. County government
building services","4, 900, 258",0,"1,126, 000",0,23.0,0.0,523,0
,Subtotal,"123, 087, 776","1,194,250,065","29, 569, 564","150, 479, 763",24.0,12.6,523,0
"Department of Trade, enterprise and industrialisation.",,,,,,,,523,0
Programme 1,,"140, 989, 793","572, 287, 035","10, 486, 694","117, 399, 587",,,523,0
,"SP 1. General administra-
tion & planning S","79, 702, 930",0,"9, 802, 631",0,12.3,0.0,523,0
,"SP 2. Trade development
& investment","8, 925, 000","298, 472, 565","274, 163","44, 769, 946",3.1,15.0,523,0
,"SP 3. Promotion of fair
trade practises","9, 634, 000",0,"38, 400",0,4.0,0.0,523,0
,"SP 5. Co-operative exten-
sion services","5, 780, 532","10, 000, 000","62, 500",0,1.1,0.0,523,0
,SP 6. Market services,"4, 426, 000","263, 814, 470",0,"72, 629, 641",0.0,27.5,523,0
,"SP 7. Alcoholic drinks
control","5, 214, 000",0,0,0,0.0,0.0,523,0
,"SP 8. Industrial develop-
ment","3, 730, 538",0,"309, 000",0.0,8.3,0.0,523,0
,SP 9. Waste management,"23, 576, 793",0,0,0,0.0,0.0,523,0
,Subtotal,"140, 989, 793","572, 287, 035","10, 486, 694","117, 399, 587",7.4,20.5,523,0
"Department of Tourism, culture, sports and arts.",,,,,,,,523,0
Programme 1.,,0,"153, 889, 004",0,"16, 311, 074",,,523,0
,SP 5. Sports,0,"153, 889, 004",0,"16, 311, 074",0.0,10.6,523,0
Programme 2.,,"128, 946, 347",0,"9, 914, 605",0,,,523,0
,"SP 3. General administra-
tion, planning","78, 691, 818",0,"6, 331, 820",0,8.0,0.0,523,0
,"SP 4. Communication
services","21, 854, 529",0,"1,346, 000",0,6.2,0.0,523,0
,SP 5. Wildlife services,"28, 400, 000",0,"2, 236, 785",0,0.0,0.0,523,0
,Subtotal,"128, 946, 347","153, 889, 004","9, 914, 605","16, 311, 074",7.7,10.6,523,0
Department of Siaya municipality,,,,,,,,523,0
Programme 2.,,"47, 434, 778","48, 140, 671",0,0,,,523,0
,"S.P. 6. General admin,
planning & support
services","47, 434, 778","48, 140, 671",0,0,0.0,0.0,523,0
,Subtotal,"47, 434, 778","48, 140, 671",0,0,0.0,0.0,523,0
Department of Bondo municipality,,,,,,,,523,0
Programme 2.,,"28, 841, 170","14, 607, 520","643, 200",0,,,523,0
,"S.P. 6. General admin,
planning & support
services","28, 841, 170","14, 607, 520","643, 200",0,2.2,0,523,0
,Subtotal,"28, 841, 170","14, 607, 520","643, 200",0,2.2,0,523,0
Department of Ugunja municipality,,,,,,,,523,0
