Name of the Programme,Approved Estimates,col_2,"Actual Expenditure as of 31st
December, 2022",col_4,Absorption Rate %,col_6,page_number,table_index
Total,"875,860,410","293,280,662","73,025,857",-,8.3,-,263,0
"Trade, Investment and
Co-operative Development",,,,,,,263,0
"Administration services
(0305023060)","10,526,778","87,396,454","3,280,617",-,31.2,-,263,0
"Construction of new
markets (0306023060)","2,663,069","44,010,397","919,692",-,34.5,-,263,0
Weights & Measures,"2,372,000","1,012,950","1,162,520",-,49.0,-,263,0
"Trade Development
and Investment","6,349,500","11,114,246","2,195,213",-,34.6,-,263,0
"Other Current Transfers
(0306023060)",-,-,-,-,-,-,263,0
"Personnel Services
(305013060)","32,127,590",-,"20,266,406",-,63.1,-,263,0
Co-operative Development,"3,132,000","5,087,050","812,061",-,25.9,-,263,0
"Industry & Enterprise
Development","1,288,607","41,701,327","178,349",-,13.8,-,263,0
TOTAL,"58,459,544","190,322,424","28,814,858",-,49.3,-,263,0
Community Development,,,,,,,263,0
Administration,"51,236,605","23,324,181","27,665,599",,54.0,-,263,0
Community development,"19,200,000","45,214,786","4,576,885",,23.8,-,263,0
Culture and heritage,"16,416,925",-,"9,375,028",,57.1,-,263,0
Sports and talent management,"16,050,000","72,491,477","1,758,614",,11.0,-,263,0
Total,"102,903,530","141,030,444","43,376,126",-,42.2,-,263,0
Executive Services,,,,,,,263,0
"704003068(Office of Governor
Deputy Governor)","135,524,810","40,921,795","96,301,431",-,71.1,-,263,0
"707003068(Directorate
of Communication)","17,082,521",,,,-,-,263,0
TOTAL,"152,607,331","40,921,795","96,301,431",-,63.1,-,263,0
Education,,,,,,,263,0
"Personnel Services
(0502023060)","432,083,678",,"327,782,364",-,75.9,-,263,0
"Scholarship and Bursary
(0504013060)","400,000,000",-,"400,000,000",,100.0,-,263,0
"Administration Planning
support service (0502013060)","12,134,731","283,846,398","4,922,056","60,189,348",40.6,21.2,263,0
"Infrastructure development
(0503023060) & (0501043060)",-,"411,345,298",-,-,-,-,263,0
"Youth Training Development
(0503013060)","15,900,000",-,"4,914,125",-,30.9,-,263,0
