Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
,"SP 2.6 Surveying of County Estate
and facilitation of Lease processing","1,500,000","265,000","1,235,000",17.7,395,0
,"SP 2.7 Establishment of a survey
Centre and Mapping Centre","1,000,000","120,000","880,000",12.0,395,0
Sub Total,,"773,800,452","2,465,944","771,334,508",0.3,395,0
"Programme 3:
Housing Develop-
ment and Manage-
ment","SP 3.1 Maintenance of
County Houses","6,356,997","1,643,963","4,713,034",25.9,395,0
,"SP 3.2 Housing Technology
Establishment of five Constituency
Building Technology Centres","3,500,000",-,"3,500,000",-,395,0
,"SP 3.3 Development of
Housing Infrastructure","6,479,073",-,"6,479,073",-,395,0
Sub Total,,"16,336,070","1,643,963","14,692,107",10.1,395,0
Department of Office of the Governor and Deputy Governor,,,,,,395,0
"Administration,
Planning and
Support",Administration and Planning,"125,872,444","108,593,646","17,278,798",86.3,395,0
,Personnel Services,"112,200,860","60,299,191","51,901,669",53.7,395,0
Sub Total,,"238,073,304","168,892,837","69,180,467",70.9,395,0
"Management of
County Affairs",County Executive Services,"42,797,454","4,000,000","38,797,454",9.3,395,0
,Policy Direction and Coordination,"76,600,368","9,854,000","66,746,368",12.9,395,0
,County Policing Services,"3,960,221","3,500,000","460,221",88.4,395,0
,Leadership and Governance,"2,640,147","2,100,000","540,147",79.5,395,0
Sub Total,,"125,998,190","19,454,000","106,544,190",15.4,395,0
"Coordination
and Supervisory
Services",The organisation of County Business,"19,801,104","16,875,000","2,926,104",85.2,395,0
,Special Programmes,"9,648,896","4,046,848","5,602,048",41.9,395,0
Sub Total,,"29,450,000","20,921,848","8,528,152",71.0,395,0
"Department of Education, ICT and E-Government",,,,,,395,0
"Programme 1:
Administration,
Planning and Sup-
port Services",S.P. 1:1 Personnel services,"411,430,479","165,158,973","246,271,506",40.1,395,0
,"SP 1:2 Administration
and Support Services","532,558,529","9,214,256","523,344,273",1.7,396,0
,SP 1.3: Financial services,-,-,-,-,396,0
Sub Total,,"943,989,008","174,373,229","769,615,779",18.5,396,0
"Programme 2:
Promotion of
Early Childhood
Education and
Development",SP 2.1: Promotion of early childhood,"145,123,282","2,679,378","142,443,904",1.8,396,0
,SP 2.2: Bursaries,"177,250,852",-,"177,250,852",-,396,0
,SP 2.3: Education development,"18,457,589",-,"18,457,589",-,396,0
Sub Total,,"340,831,723","2,679,378","338,152,345",0.8,396,0
"Programme 3: Vo-
cational Training",SP 3.1: Vocational training,"72,887,706","1,566,608","71,321,098",2.1,396,0
,"SP 3.2: Revitalisation of
youth programme","90,843,757","33,142,500","57,701,257",36.5,396,0
Sub Total,,"163,731,463","34,709,108","129,022,355",21.2,396,0
"Programme 4:
Information and
Communication
Service","SP 4.1: Public Communication
and Media Services","16,361,200","1,025,300","15,335,900",6.3,396,0
Sub Total,,"16,361,200","1,025,300","15,335,900",6.3,396,0
"Programme 5:
ICT Infrastructure
Development and
e-Government
Services",SP 5.1: Network Infrastructure,-,-,-,-,396,0
,"SP 5.2: Hardware and
Software platforms",-,-,-,-,396,0
,SP 5.3: e-Government Services,"8,334,587",-,"8,334,587",-,396,0
Sub Total,,"8,334,587",-,"8,334,587",-,396,0
"Department of Trade, Industry Marketing and Tourism",,,,,,396,0
"Programme 1:
Administration,
Planning and Sup-
port Services","SP 1.1: Administration, Planning
and Support Services","32,663,822","5,348,990","27,314,832",16.4,396,0
,SP 1.2: Personnel Services,"60,750,956","7,778,107","52,972,849",12.8,396,0
,SP 1.3: Financial Services,-,-,-,-,396,0
Sub Total,,"93,414,778","13,127,097","80,287,681",14.1,396,0
"Programme 2:
Cooperative
Development and
Management","SP 2.1 Management of Market Co-
operatives","5,175,000","150,000","5,025,000",2.9,396,0
,SP2.2SACCO Empowerment,"27,662,791",-,"27,662,791",-,396,0
,"SP 2.3 Cooperative Leadership and
Governance","2,732,964",-,"2,732,964",-,396,0
,SP 2.4. Straightening Cooperatives,"1,248,547","401,000","847,547",32.1,396,0
,"SP 2.5 Empowering Youth, Women
and PEDS Participation in Cooper-
atives","1,165,698",-,"1,165,698",-,396,0
Sub Total,,"37,985,000","551,000","37,434,000",1.5,396,0
"Programme 3:
Commerce and
Enterprise","SP 3.1. Business Development Ser-
vices For SMEs","3,195,108","113,200","3,081,908",3.5,396,0
,"SP 3.2Producer Business Groups
(PBGs)","2,000,000",-,"2,000,000",-,397,0
,SP 3.3. SMEs Training,"1,974,892","150,000","1,824,892",-,397,0
,SP 3.4 SMEs Funding,"25,000,000",-,"25,000,000",,397,0
,"SP 3.5 Establishment of Business
Incubation/Enterprise Centres","6,300,000",-,"6,300,000",,397,0
,SP 3.6. Consumer Protection,"7,475,000","207,100","7,267,900",2.8,397,0
Sub Total,,"45,945,000","470,300","45,474,700",1.0,397,0
"Programme 4:
Market Rehabilita-
tion and Develop-
ment","SP 4.1: Rehabilitation and
Renovation of Existing Markets","119,993,397","3,400","119,989,997",-,397,0
,"SP 4.2: Development of Retail and
Wholesale Markets in Nakuru","17,000,000",-,"17,000,000",-,397,0
,"SP 4.3: Market Users
Delivery Services","15,350,000","150,000","15,200,000",1.0,397,0
Sub Total,,"152,343,397","153,400","152,189,997",0.1,397,0
"Programme 5: Pro-
motion of Tourism
and Markets",SP 5.1: Promotion of Local Tourism,"4,000,000",-,"4,000,000",-,397,0
,"SP 5.2: Establishment and
Management of County
Tourism Information Centre","4,200,000",-,"4,200,000",-,397,0
Sub Total,,"8,200,000",-,"8,200,000",-,397,0
"Programme 6:
Alcoholic Drinks
Control","SP 6.1 Inspection, approval and
liquor licensing","5,000,000",-,"5,000,000",-,397,0
,"SP 6.2 Liquor enforcement and
compliance","834,749","50,000","784,749",6.0,397,0
,SP 6.3 Research and innovation,"1,000,251",-,"1,000,251",-,397,0
,"SP 6.4 Treatment and Rehabilitation
of persons dependent on alcoholic
drinks",-,-,-,-,397,0
,SP 6.5 Education and training,"1,040,000","230,360","809,640",22.2,397,0
Sub Total,,"7,875,000","280,360","7,594,640",3.6,397,0
"Department of Youth, Culture, Sports and Social Services",,,,,,397,0
"Programme 1:
Administration,
Planning and Sup-
port Services",SP 1.2 Administration,"76,225,894","5,167,544","71,058,350",6.8,397,0
,SP 1.3 Personnel services,"108,941,814","36,955,702","71,986,112",33.9,397,0
,SP 1.4 Financial services,"3,100,000","127,500","2,972,500",4.1,397,0
Sub Total,,"188,267,708","42,250,746","146,016,962",22.4,397,0
"Programme 2:
Development of
Socio-Cultural
Diversity, Econom-
ic Empowerment
and Responsible
Gaming","SP 2.2 Cultural
development activities","13,000,000","3,017,284","9,982,716",23.2,397,0
,"SP 2.3 Gender development
activities","16,750,000","1,379,800","15,370,200",8.2,397,0
,"SP 2.4 Promotion of
responsible gaming.","1,930,000","32,000","1,898,000",1.7,398,0
,SP 2.5 Social Development activities,"14,070,000","2,366,521","11,703,479",16.8,398,0
,SP 2.6 Social Cultural Development,"21,500,000",-,"21,500,000",-,398,0
Sub Total,,"67,250,000","6,795,605","60,454,395",10.1,398,0
"Programme 3:
Management and
Development of
Sports, Recre-
ation and Sports
Facilities","SP 3.2 Development of
Sports Infrastructure","47,823,107",-,"47,823,107",-,398,0
,SP 3.3 Sporting Tournament,"7,000,000","1,766,760","5,233,240",25.2,398,0
,SP 3.4 Sports Funding.,"50,500,000","3,307,000","47,193,000",6.5,398,0
Sub Total,,"105,323,107","5,073,760","100,249,347",4.8,398,0
"Programme 4:
Youth Empower-
ment and Partici-
pation","SP 4.2 Youth empowerment
and participation","16,250,000","2,934,897","13,315,103",18.1,398,0
,SP 4.3 Youth development,"14,500,000",-,"14,500,000",,398,0
Sub Total,,"30,750,000","2,934,897","27,815,103",9.5,398,0
"Department of Infrastructure, Roads, Public Works and Transport",,,,,,398,0
"Programme 1:
Administration,
Planning and Sup-
port Services",SP 1.1. Administrative services.,"43,967,412","6,507,615","37,459,797",14.8,398,0
,SP 1.2: Personnel services.,"142,476,936","49,050,500","93,426,436",34.4,398,0
,SP 1.3: Financial Services.,-,,-,-,398,0
Sub Total,,"186,444,348","55,558,115","130,886,233",29.8,398,0
"Programme 2.
Infrastructure,
Development &
Maintenance.","SP 2.1-Construction rehabilitation
& maintenance of Roads,
Drainage & Bridges.","1,277,149,056","25,122,681","1,252,026,375",2.0,398,0
,"SP 2.2-Rehabilitation
& Maintenance of
Transport Terminus.","4,850,000","181,100","4,668,900",3.7,398,0
,"SP 2.3-Construction & Maintenance
of non-residential County Buildings.","14,350,000","350,340","13,999,660",2.4,398,0
,"SP 2.4-Installation, Rehabilitation &
Maintenance of Lighting facilities.","99,200,000","37,100,800","62,099,200",37.4,398,0
Sub Total,,"1,395,549,056","62,754,921","1,332,794,135",4.5,398,0
"Programme 3. Fire-
fighting & Disaster
Management.","SP 3.1 Firefighting and
Emergency Services","8,700,000","262,600","8,437,400",3.0,398,0
,"SP 3.2 Disaster management (fire and
rescue)",-,-,-,-,398,0
Sub Total,,"8,700,000","262,600","8,437,400",3.0,398,0
"Department of Environment, Water, Energy and Natural Resources",,,,,,398,0
"Programme 1:
Administration",SP 1.1: Administrative services,"32,310,941","3,953,387","28,357,553",12.2,398,0
,SP 1.2: Human Resource,"216,813,857","116,393,051","100,420,806",53.7,398,0
Sub Total,,"249,124,798","120,346,438","128,778,359",48.3,398,0
"Programme 2: Wa-
ter and Sewerage
management",SP 2.1 Provision of Water,"581,182,134","1,283,810","579,898,324",0.2,399,0
,SP 2.2 Provision of sewerage,-,-,-,,399,0
Sub Total,,"581,182,134","1,283,810","579,898,324",0.2,399,0
"Programme 3:
Environmental
Management",SP 3:1 Pollution control,"173,192,528","2,713,830","170,478,698",1.6,399,0
,SP 3:3 Greening and Beautification,"74,742,923","869,123","73,873,800",1.2,399,0
Sub Total,,"247,935,451","3,582,953","244,352,498",1.4,399,0
"Programme 4:
County Energy,
Planning, Regulate,
Operation & De-
velopment",Administration,"2,000,000",-,"2,000,000",-,399,0
Sub Total,,"2,000,000",,"2,000,000",-,399,0
Department of Health Services,,,,,,399,0
"Programme 1: Ad-
ministration and
Planning",SP 1.2: Governance and Leadership,"17,485,667",-,"17,485,667",-,399,0
,"SP 1.3: Human Resource
Management","495,099,478","97,172,082","397,927,396",19.6,399,0
,SP 1.4: Research and Development,"3,943,340,192","1,742,144,975","2,201,195,217",44.2,399,0
,"SP 1.5: Health Infrastructure
and Development","2,500,000",-,"2,500,000",-,399,0
,,"10,833,333",-,"10,833,333",-,399,0
Sub Total,,"4,469,258,670","1,839,317,057","2,629,941,613",41.2,399,0
"Programme 2:
Health Preventive
and Promotive
Services",SP 2:1: Primary Health Care,"606,620,683","58,863,739","547,756,944",9.7,399,0
,"SP 2.2: Environmental
Health and Sanitation","2,000,000",-,"2,000,000",-,399,0
,SP 2:3: Human Resource,"17,049,940",-,"17,049,940",-,399,0
,"SP 2.4: Disease Surveillance and
Emergency Response","1,897,550",-,"1,897,550",-,399,0
,SP 2.5: Health Promotive,"1,000,000",-,"1,000,000",-,399,0
,SP 2:6: HIV Programme,"2,000,000",-,"2,000,000",-,399,0
,SP 2:7: Nutrition,"29,980,932","825,640","29,155,292",2.8,399,0
,SP 2:8 Reproductive Health,"1,750,000",-,"1,750,000",-,399,0
,SP 2:9 Immunization,"1,825,775",-,"1,825,775",-,399,0
Sub Total,,"664,124,880","59,689,379","604,435,501",9.0,399,0
"Programme 3:
Health Curative
and Rehabilitative
Services","SP 3:1: Provision of Essential
Health Services at all levels","1,865,973,897","523,159,786","1,342,814,111",28.0,399,0
,"SP 3.2: Elimination of
communicable and non-
communicable diseases","2,200,000",-,"2,200,000",-,399,0
,SP 3:3: Human Resource,"322,427,403","168,083,162","154,344,241",52.1,399,0
Sub Total,,"2,190,601,300","691,242,948","1,499,358,352",31.6,399,0
Department of County Public Service Board,,,,,,400,0
"Programme: Ad-
ministration and
Human Resource
Planning",SP1.1 Administration services,"70,349,524","16,705,604","53,643,920",23.7,400,0
,SP1.2 Financial services,"2,000,000","600,000","1,400,000",30.0,400,0
,SP1.3 Human Resource Planning,"4,000,000","1,500,000","2,500,000",37.5,400,0
,"SP 1.4 Provision of Human
Resource Planning","3,000,000","1,340,000","1,660,000",44.7,400,0
Sub Total,,"79,349,524","20,145,604","59,203,920",25.4,400,0
Department of Nakuru Municipality,,,,,,400,0
"Programme 1: Ad-
ministration and
Planning",SP 1.1 Administration and Planning,"31,864,465","1,070,700","30,793,765",3.4,400,0
,SP 1.2 Personnel Services,"13,553,051","7,793,671","5,759,380",57.5,400,0
,SP 1.3 Financial Services,"600,000","300,000","300,000",50.0,400,0
Sub Total,,"46,017,516","9,164,371","36,853,145",19.9,400,0
"Programme 2:
Nakuru Municipal-
ity Urban Planning
and Development","SP 2.1 Infrastructure Development
and Urban Planning","49,397,727",-,"49,397,727",-,400,0
,"SP 2.2 Nakuru Municipality
Environmental Management","11,712,512","567,400","11,145,112",4.8,400,0
,"SP 2.3 Trade Markets
and Investments","950,016","824,500","125,516",86.8,400,0
,"SP 2.4 Nakuru Municipality
Social Services","1,752,145","118,600","1,633,545",6.8,400,0
Sub Total,,"63,812,400","1,510,500","62,301,900",2.4,400,0
Department of Naivasha Municipality,,,,,,400,0
"Programme 1:
Administration,
Planning and Sup-
port Services",SP 1.1 Administration and Planning,"19,693,628","2,544,645","17,148,983",12.9,400,0
,S.P 1.2: Personnel Services,"9,388,787","4,147,401","5,241,386",44.2,400,0
,S.P 1.3: Financial services,"600,000",-,"600,000",-,400,0
Sub Total,,"29,682,415","6,692,046","22,990,369",22.5,400,0
"Programme 2: Na-
ivasha Municipal
Services",SP 2.1 Planning and Infrastructure,"310,805,177","229,163,581","81,641,596",73.7,400,0
,"SP 2.2 Environmental
Management and Sanitation","900,000",-,"900,000",-,400,0
,SP 2.3 Naivasha Social Services,"900,000",-,"900,000",-,400,0
,"SP 2.4 Tourism, Investment and
Trade","800,000",-,"800,000",-,400,0
Sub Total,,"313,405,177","229,163,581","84,241,596",73.1,400,0
Department of County Assembly,,,,,,400,0
"Procedures and
Committee Ser-
vices",Programme 1 Administrative,"512,429,857","203,822,476","308,607,381",39.8,400,0
,Programme 2 Legislative Services,"1,047,782,347","554,009,688","493,772,659",52.9,400,0
Sub Total,,"1,560,212,204","757,832,163","802,380,041",48.6,400,0
Grand Total,,"21,109,388,598","5,323,297,047","15,786,091,551",25.2,401,0
