Programme,Sub- Programmes,"Approved Estimates
(Ksh)","Actual Expenditure
as of 31st December,
2022 (Ksh)",Variance (Kshs),"Absorption
(%)",page_number,table_index
,Mogotio sub-county,-,-,-,-,43,0
,,"4,462,377","1,908,350","2,554,027",42.8,43,0
,,"5,352,412","1,541,368","3,811,044",28.8,44,0
,,"5,352,412","1,541,368","3,811,044",28.8,44,0
,Eldama Ravine sub-county,-,-,-,-,44,0
"Office of the Deputy
Governor",,"21,806,339","7,372,694","14,433,645",33.8,44,0
,P3 GOVERNORS OFFICE,-,-,-,-,44,0
,P4 DEPUTY GOVERNOR,-,-,-,-,44,0
,,"21,806,339","7,372,694","14,433,645",33.8,44,0
Headquarters,,-,-,-,-,44,0
,"Civic Education Development
Services",-,-,-,-,44,0
,Treasury Accounts,-,-,-,-,44,0
"Finance & Economic
Planning",,"352,458,704","119,651,943","232,806,761",33.9,44,0
,"Economic Planning, Budget,
Monitoring and Evaluation
Services",-,-,-,-,44,0
,"Early Childhood Development
Education",-,-,-,-,44,0
,"General Administration, Plan-
ning and Support Services","2,000,000",-,"2,000,000",-,44,0
,General administration,"94,638,824","71,999,234","22,639,590",76.1,44,0
,KDS Programme,-,-,-,-,44,0
,"Revenue Services Development
Services","237,484,193","30,705,718","206,778,475",12.9,44,0
,Treasury Accounts,"18,335,687","16,946,991","1,388,696",92.4,44,0
"Revenue Management
Services",,-,-,-,-,44,0
,Eldama Ravine sub-county,-,-,-,-,44,0
"Monitoring and Eval-
uation",,"57,339,989","34,405,643","22,934,346",60.0,44,0
,"Economic Planning, Budget,
Monitoring and Evaluation
Services","57,339,989","34,405,643","22,934,346",60.0,44,0
Plant disease control,,-,-,-,-,44,0
,KDS Programme,-,-,-,-,44,0
Transport,,"802,801,028","120,006,538","682,794,490",14.9,44,0
,"Urban Infrastructure Devel-
opment",-,-,-,-,44,0
,"Rural Infrastructure Develop-
ment","789,100,855","117,212,013","671,888,842",14.9,44,0
,General administration,"13,700,173","2,794,525","10,905,648",20.4,44,0
County Roads,,-,-,-,-,44,0
,"General Administration, Plan-
ning and support services",-,-,-,-,44,0
,"Development and Rehabil-
itation of rural roads and
structures",-,-,-,-,44,0
"Industrial Develop-
ment Services",,"88,056,070","7,980,460","80,075,610",9.1,44,0
,"Co-operative services Devel-
opment","78,133,733","4,998,000","73,135,733",6.4,44,0
,"Tourism Development &
Marketing",-,-,-,-,44,0
,Trade Development,"9,922,337","2,982,460","6,939,877",30.1,44,0
,"Industrial Development
services",-,-,-,-,45,0
"Trade Development
and Management
Services",,"11,855,092","3,986,620","7,868,472",33.6,45,0
,General administration,"11,855,092","3,986,620","7,868,472",33.6,45,0
,Trade Development,-,-,-,-,45,0
Education,,"349,821,924","48,036,976","301,784,948",13.7,45,0
,"General Administration, Plan-
ning and support services",-,-,-,-,45,0
,"Early Childhood Development
Education","300,731,924","23,476,111","277,255,813",7.8,45,0
,"General administration ser-
vices","49,090,000","24,560,865","24,529,135",50.0,45,0
,Special Programmes,-,-,-,-,45,0
ICT,,-,-,-,-,45,0
,Vocational Training,-,-,-,-,45,0
Youth Polytechnics,,-,-,-,-,45,0
,Vocational Training,-,-,-,-,45,0
"County Health Ser-
vices",,"847,255,034","250,013,749","597,241,285",29.5,45,0
,"Curative and Rehabilitative
Services","32,102,225",-,"32,102,225",-,45,0
,"Preventive and Promotive
Health Services","400,412,477","11,961,191","388,451,286",3.0,45,0
,Health/preventive services,"21,000,000",-,"21,000,000",-,45,0
,General administration,"393,740,332","238,052,558","155,687,774",60.5,45,0
"Promotion of primary
healthcare",,-,-,-,-,45,0
,General administration,-,-,-,-,45,0
Lands,,"77,105,182","8,221,930","68,883,252",10.7,45,0
,Land Use Planning,-,-,-,-,45,0
,"Livestock Development and
Management","39,168,050",-,"39,168,050",-,45,0
,Land Administration,"21,018,300","3,999,600","17,018,700",19.0,45,0
,General administration,"16,918,832","4,222,330","12,696,502",25.0,45,0
,"Other Urban Infrastructure
development and management",-,-,-,-,45,0
,Urban Development-Kabarnet,-,-,-,-,45,0
"Land Survey and
Mapping",,"38,255,014","1,325,972","36,929,042",3.5,45,0
,"Urban Development-Eldama
ravine",-,-,-,-,45,0
,"Civic Education Development
Services","20,000,000",-,"20,000,000",-,45,0
,General administration,"6,124,129","1,325,972","4,798,157",21.7,45,0
,Land Administration,"12,130,885",-,"12,130,885",-,45,0
Housing,,"83,077,397","4,930,072","78,147,325",5.9,45,0
,"Inter and Intra-governmental
Relation Services","75,172,884","2,391,920","72,780,964",3.2,45,0
,"Other Urban Infrastructure
development and management",-,-,-,-,45,0
,General administration,"7,904,513","2,538,152","5,366,361",32.1,45,0
Agricultural Services,,"703,846,081","30,511,243","673,334,838",4.3,45,0
,"Livestock Development and
Management","633,340,377","14,131,946","619,208,431",2.2,45,0
,Improved livestock Production,-,"499,950","(499,950)",-,46,0
,"Agricultural mechanisation
services","10,500,000","10,108,397","391,603",96.3,46,0
,General administration,"27,669,781","5,770,950","21,898,831",20.9,46,0
,"Fisheries Development and
Management",-,-,-,-,46,0
,Agricultural Development,"18,844,323",-,"18,844,323",-,46,0
,Agricultural training services,-,-,-,-,46,0
,"Crop Production and Manage-
ment","13,491,600",-,"13,491,600",-,46,0
Culture Services,,"172,887,601","14,750,856","158,136,745",8.5,46,0
,,-,-,-,-,46,0
,Sports Development,-,"558,000","(558,000)",-,46,0
,,"14,892,453","4,702,360","10,190,093",31.6,46,0
,,"157,995,148","9,490,496","148,504,652",6.0,46,0
"Water Management
Services",,"1,004,964,980","83,211,669","921,753,311",8.3,46,0
,,"960,009,468","56,594,272","903,415,196",5.9,46,0
,,"44,955,512","26,617,397","18,338,115",59.2,46,0
,,-,-,-,-,46,0
"Environment Admin-
istration and Planning",,"13,301,809","3,161,404","10,140,405",23.8,46,0
,,-,-,-,-,46,0
,,"13,301,809","3,161,404","10,140,405",23.8,46,0
"Environmental and
Natural resource pro-
tection Management",,"112,636,711","7,298,913","105,337,798",6.5,46,0
,,"112,636,711","7,298,913","105,337,798",6.5,46,0
Headquarters,Headquarters,-,-,-,-,46,0
,"Inter and Intra-governmental
Relations Services",-,-,-,-,46,0
Headquarters,Headquarters,"19,972,029","5,423,185","14,548,844",27.2,46,0
,,"19,972,029","5,423,185","14,548,844",27.2,46,0
,Grand Total,"9,281,293,316","2,667,201,252","6,614,092,064",28.7,46,0
