Program,Sub Program,Description,Final Budget,"Actual Expen-
diture","Variance/Balance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,201025060,"Road construction and
maintenance services","503,924,662","115,384,543","388,540,119",22.9,234,0
203005060,,"Administration,
Planning and Support
Services","1,845,216,646","178,275,495","1,666,941,152",9.7,234,0
,203015060,Administrative services,"1,845,216,646","178,275,495","1,666,941,152",9.7,234,0
205005060,,Energy Production,"70,324,690","52,165,870","18,158,820",74.2,234,0
,205025060,,"26,507,200","13,419,249","13,087,951",50.6,234,0
,205035060,Climate Change,"600,000","520,000","80,000",86.7,234,0
,205045060,Petroleum and Electricity,"43,217,490","38,226,621","4,990,869",88.5,234,0
206005060,,Mining Efficiency,"94,443,006","23,917,156","70,525,850",25.3,234,0
,206045060,Mining Efficiency,"1,580,800","1,101,943","478,857",69.7,234,0
,206055060,Resource Mobilisation,"22,338,330","20,217,416","2,120,914",90.5,234,0
,206065060,Green Energy,"70,523,876","2,597,797","67,926,079",3.7,234,0
207005060,,"Roads General Adminis-
tration and Planning","33,089,048","23,692,543","9,396,505",71.6,234,0
,207015060,Public Works,"1,500,000","1,420,182","79,818",94.7,234,0
,207045060,"Mechanical Engineering
Services","31,589,048","22,272,361","9,316,687",70.5,234,0
208005060,,ICT Services,"1,360,805","982,905","377,900",72.2,234,0
,,,(Kshs.),(Kshs.),,,235,0
,208015060,ICT Services,"1,360,805","982,905","377,900",72.2,235,0
301005060,,"General Administra-
tion and Policymaking
Services","39,975,658","16,567,306","23,408,352",41.4,235,0
,301015060,"Infrastructure Develop-
ment","4,426,963","3,706,713","720,250",83.7,235,0
,301025060,Trade Support Services,"35,548,695","12,860,593","22,688,102",36.2,235,0
302005060,,"Regulation and Verifica-
tion of Weights","6,774,840","117,040","6,657,800",1.7,235,0
,302015060,"Verification and Cal-
ibration of Weighing
Equipment","6,774,840","117,040","6,657,800",1.7,235,0
303005060,,"Tourism Development
and Management","15,630,330","8,395,110","7,235,220",53.7,235,0
,303015060,Tourism Development,"8,987,990","5,595,970","3,392,020",62.3,235,0
,303035060,"Tourism Event Manage-
ment","6,642,340","2,799,140","3,843,200",42.1,235,0
304005060,,"Administration Plan-
ning and Support","103,187,326","68,092,473","35,094,853",66.0,235,0
,304015060,Administration planning,"103,187,326","68,092,473","35,094,853",66.0,235,0
305005060,,"Co-Operative Develop-
ment and Management","18,487,785","13,302,960","5,184,825",72.0,235,0
,305015060,Extension services,"8,988,690","7,048,640","1,940,050",78.4,235,0
,305055060,Co-operative Governance,"9,499,095","6,254,320","3,244,775",65.8,235,0
306005060,,Enterprise Development,"53,692,322","319,322","53,373,000",0.6,235,0
,306015060,"Business Development
Services","53,692,322","319,322","53,373,000",0.6,235,0
307005060,,Industrial Development,"291,000","291,000",-,100.0,235,0
,307015060,"Renovation and opera-
tionalisation of CIDCs","291,000","291,000",-,100.0,235,0
401005060,,"Preventive & Promotive
Health Services","241,974,322","183,784,783","58,189,539",76.0,235,0
,401015060,"Environmental health
and sanitation","87,005,269","87,005,268",1,100.0,235,0
,401025060,"Community health
strategy","500,000",-,"500,000",0.0,235,0
,401035060,Disease surveillance,"8,245,000","8,045,000","200,000",97.6,235,0
,401045060,Health promotion service,"146,224,053","88,734,515","57,489,538",60.7,235,0
402005060,,Health Curative Services,"138,450,529","72,163,511","66,287,018",52.1,235,0
,,,(Kshs.),(Kshs.),,,236,0
,402025060,"Elimination of communi-
cable and non-communi-
cable disease","1,150,000","777,400","372,600",67.6,236,0
,402035060,Reproductive Health,"137,300,529","71,386,111","65,914,418",52.0,236,0
403005060,,"General Administration,
Operational Research
and Planning","2,953,382,185","65,571,118","3,018,386,954",2.2,236,0
,403035060,"Governance and lead-
ership","25,662,916","14,206,576","11,456,340",55.4,236,0
,403045060,"Human resource for
Health","2,927,719,269","51,364,542","3,006,930,614",1.8,236,0
405005060,,"Health Sector Support
Program (DANIDA)","138,044,056","62,994,129","75,049,928",45.6,236,0
,405015060,"Health Promotive Ser-
vices","138,044,056","62,994,129","75,049,928",45.6,236,0
407005060,,"Jaramogi Oginga
Odinga Teaching and
Referral Hospital","146,334,964","146,334,964",-,100.0,236,0
,407015060,"Jaramogi Oginga Odinga
Teaching and Referral
Hospital","146,334,964","146,334,964",-,100.0,236,0
408005060,,"Kisumu County Referral
Hospital","55,000,000","47,895,155","7,104,845",87.1,236,0
,408015060,"Kisumu County Referral
Hospital","55,000,000","47,895,155","7,104,845",87.1,236,0
409005060,,"Medical and Bio-Medi-
cal Services","234,200,000","127,794,422","106,405,578",54.6,236,0
,409015060,"County and Sub-County
Hospital Services","234,200,000","127,794,422","106,405,578",54.6,236,0
501005060,,"Early Childhood Devel-
opment","38,578,941","38,407,684","171,257",99.6,236,0
,501015060,"Promotion of early child-
hood education.","38,578,941","38,407,684","171,257",99.6,236,0
502005060,,"Youth Training and
Development","21,310,010","3,562,380","17,747,630",16.7,236,0
,502015060,"Youth Polytechnics
Services","21,310,010","3,562,380","17,747,630",16.7,236,0
504005060,,Gender and Social Dev.,"8,545,700","2,723,900","5,821,800",31.9,236,0
,504015060,"Gender & Disability
Mainstreaming","7,628,700","2,277,900","5,350,800",29.9,236,0
,504055060,Betting Control Services,"917,000","446,000","471,000",48.6,236,0
505005060,,"Early Child Education
Management","304,830,800","37,816,095","267,014,705",12.4,236,0
,,,(Kshs.),(Kshs.),,,237,0
,505015060,Early Child Education,"304,830,800","37,816,095","267,014,705",12.4,237,0
506005060,,"Sports Management and
Development","49,610,000","18,762,114","30,847,886",37.8,237,0
,506015060,Sports Management,"49,610,000","18,762,114","30,847,886",37.8,237,0
507005060,,"Sports Stadia Develop-
ment","4,282,150","1,201,400","3,080,750",28.1,237,0
,507015060,Sports Academy,"4,282,150","1,201,400","3,080,750",28.1,237,0
508005060,,Alcoholic Drinks,"593,075","379,075","214,000",63.9,237,0
,508015060,Alcoholic Drinks,"593,075","379,075","214,000",63.9,237,0
515005060,,"Pre-Primary Policy and
Legislation","22,789,300","12,192,961","10,596,339",53.5,237,0
,515015060,"Primary Policy and
Legislation","22,789,300","12,192,961","10,596,339",53.5,237,0
517005060,,"Youth Training and
Legislation","90,860,014","72,424,620","18,435,394",79.7,237,0
,517015060,"Youth Training and
Legislation","90,860,014","72,424,620","18,435,394",79.7,237,0
701005060,,"General Administration
and Planning services","348,329,664","266,805,510","81,524,154",76.6,237,0
,701015060,"Administration and
Formulation of County
policy",-,"- 478,000","478,000",-,237,0
,701025060,"Development and
Management of County
Administrative systems","321,441,823","244,037,731","77,404,092",75.9,237,0
,701065060,"Human Resource devel-
opment services","828,000","492,000","336,000",59.4,237,0
,701085060,"Social Responsibility In-
cluding Civic and Public
Engagement","26,059,841","22,753,779","3,306,062",87.3,237,0
702005060,,"Management of County
affairs and Special Pro-
grammes","5,189,976","2,689,536","2,500,440",51.8,237,0
,702025060,"Inter-Government Coor-
dination and protocol","5,189,976","2,689,536","2,500,440",51.8,237,0
703005060,,"Inter-Governmental re-
lations, Communication
and Protocol","36,874,588","19,378,261","17,496,327",52.6,237,0
,703015060,"Governor’s Press Service
and Communication","27,612,652","11,193,825","16,418,827",40.5,237,0
,703025060,"Internal Auditing Ser-
vices","9,261,936","8,184,436","1,077,500",88.4,237,0
704005060,,"County Public Service
Board","1,055,433,436","200,809,426","354,624,010",19.0,237,0
,704015060,"General Administration
and Support services","977,907,158","153,345,282","824,561,876",15.7,237,0
,,,(Kshs.),(Kshs.),,,238,0
,704025060,"Human Resource Re-
cruitment and Develop-
ment","70,788,954","41,048,408","29,740,546",58.0,238,0
,704035060,"Human Resource Audit
and Staff Rationalization","770,000","730,435","39,565",94.9,238,0
,704045060,"Promotion of Values and
Principles","5,967,324","5,685,301","282,023",95.3,238,0
705005060,,"Public Financial Man-
agement","234,382,143","107,342,397","127,039,746",45.8,238,0
,705015060,Revenue Mobilisation,"75,194,234","25,486,910","49,707,324",33.9,238,0
,705025060,assets management,"2,437,675","2,088,575","349,100",85.7,238,0
,705035060,"management of public
financial resources","4,654,700","3,395,175","1,259,525",72.9,238,0
,705055060,"Budget Formulation &
Coordination Services","152,095,534","76,371,737","75,723,797",50.2,238,0
706005060,,"County Planning and
Development Coordina-
tion Services","91,919,274","50,038,390","41,880,885",54.4,238,0
,706015060,"Policy Formulation &
Planning","65,926,635","33,704,781","32,221,854",51.1,238,0
,706025060,Monitoring & Evaluation,"25,992,639","16,333,609","9,659,031",62.8,238,0
707005060,,"County Communication
& ICT Services","310,000","193,100","116,900",62.3,238,0
,707015060,"Management Information
System","310,000","193,100","116,900",62.3,238,0
709005060,,"Representation services
& public participation","4,694,000","570,970","4,123,030",12.2,238,0
,709025060,"Public participation
services","4,694,000","570,970","4,123,030",12.2,238,0
711005060,,"County Planning and
Development Coordina-
tion Services","4,512,050","3,102,700","1,409,350",68.8,238,0
,711005060,"County Planning and
Development Coordina-
tion Services","4,512,050","3,102,700","1,409,350",68.8,238,0
902005060,,"Conservation and
management of natural
ecosystem","131,062,493","60,770,242","70,292,251",46.4,238,0
,902015060,"Sustainable Access to safe
Water","371,199","150,000","221,199",40.4,238,0
