Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Cumulative
Expenditure –
Half-Year",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
"0312005310 P.12 Trade
development and Market
Services","0312015310 sp 12.1 Trade
Development","222,115,357","870,780","221,244,577",0.4,382,0
,"0312025310 sp 12.2 Market
Services","225,839,758","537,200","225,302,558",0.2,382,0
,"0313025310 sp 13.2 Weights &
Measures Services","34,509,044",-,"34,509,044",-,382,0
,"0313035310 sp 13.3 Trade
Licensing Services","39,813,397",-,"39,813,397",-,382,0
,"0313045310 sp 13.4 Betting &
Gaming Services","7,312,220","90,000","7,222,220",1.2,382,0
,"Total 5319000000 TRADE,
COMMERCE, TOURISM &
COOPERATIVES","765,530,976","151,580,217","613,950,759",19.8,382,0
"0701000 P1 General Ad-
ministration Planning and
Support Services","0701010 SP.1.1 General
Administration Planning and
Support Services","848,890,631","80,405,025","768,485,606",9.5,382,0
"0710000 P 5: Public Service
Transformation","0710010 S.P.5.1 Human Re-
source Management","1,414,653,983","343,391,107","1,071,262,876",24.3,382,0
,"0710020 S.P.5.2 Human Re-
source Development","95,959,112","24,600","95,934,512",0.0,382,0
,,A,B,C=A-B,D=B/A*100,383,0
"0723005310 P 23 Perfor-
mance Management and
Public Service Delivery","0723015310 sp 23.1 Perfor-
mance Contracting manage-
ment","8,296,507",-,"8,296,507",-,383,0
,"0723025310 sp 23.2 Gov-
ernance Monitoring and
Evaluation","4,947,176","87,200","4,859,976",1.8,383,0
,"0723035310 sp 23.3 Quality
Management Systems and ISO
certification","2,340,488",-,"2,340,488",-,383,0
,"Total 5320000000 PUBLIC
SERVICE MANAGEMENT","2,375,087,897","423,907,932","1,951,179,965",17.8,383,0
"0106000 P 6 General Ad-
ministration Planning and
Support Services","0106010 SP.6.1 Administra-
tion, Planning & Support
Services","202,305,718","81,364,543","120,941,175",40.2,383,0
"P;0119005310: Urban
Agriculture Promotion &
Regulation","019015310: Crop Development
and Management","23,150,531","960,029","22,190,502",4.1,383,0
,"0119025310: Fisheries Devel-
opment and management","23,006,605",-,"23,006,605",-,383,0
,"0119035310: Livestock
Resources management and
development","18,053,575",-,"18,053,575",-,383,0
,"5321000800 Agricultural De-
velopment Support Project","71,030,327",-,"71,030,327",-,383,0
"0116005310 P.10: Animal
Health, Safety and Quality
Assurance","0116015310 sp 10.1 Animal
Research, Diseases, Pest Con-
trol & Quality Assurance","27,539,330",-,"27,539,330",-,383,0
"0117005310 P.11: Aforesta-
tion","0117015310 sp 11.1 Forestry
Services",-,-,-,-,383,0
"0118015310 Food Systems
and Surveillance","0118015310 sp18:1 Food Sys-
tems and Surveillance Services","4,444,791","87,200","4,357,591",2.0,383,0
,"Total 5321000000 AGRICUL-
TURE, LIVESTOCK DE-
VELOPMENT, FISHERIES &
FORESTRY","369,530,877","82,411,772","287,119,105",22.3,383,0
"1001015310 Sp1 General
Administration & Support
Services",5323000100 Headquarters,"641,652,551","98,795,655","542,856,896",15.4,383,0
"1002035310 sp 2.3 Solid
waste management","5323000300 Solid Waste Man-
agement Section","2,915,827,449",-,"2,915,827,449",-,383,0
,,A,B,C=A-B,D=B/A*100,384,0
"1002045310 sp 2.4 Beau-
tification, Recreation and
Greening Services","5323000200 Parks & Open
Spaces Section","110,950,000",-,"110,950,000",-,384,0
"1002055310 sp 2.5 Environ-
ment Planning Management
Services","5323000400 Environmental
Monitoring Compliance &
Enforcement","35,000,000",-,"35,000,000",-,384,0
"1004055310 sp 4.5 Energy &
Natural resources","5323000500 Energy & Natural
resources department","191,640,956",-,"191,640,956",-,384,0
"0117015310 sp 11.1 Forestry
Services","5321000700 Forestry Depart-
ment","10,623,549",-,"10,623,549",-,384,0
,"Total 5323000000 ENVIRON-
MENT, WATER, ENERGY &
NATURAL RESOURCES","3,905,694,505","98,795,655","3,806,898,850",2.5,384,0
"0102045310 SP4 Urban
Renewal",5324000200 Urban Renewal,"17,198,128",-,"17,198,128",-,384,0
,"5324000300 Housing Devel-
opment","221,500,000",-,"221,500,000",-,384,0
"0113015310 sp 7.1 Building
services research and infor-
mation","5324000400 Building Services
Department","15,233,423",-,"15,233,423",-,384,0
,"Total 5324000000 URBAN
RENEWAL AND HOUSING","253,931,551",-,"253,931,551",-,384,0
"0214005310 P8: Ward Devel-
opment","0214015310 sp 8.1 Ward De-
velopment & Administration","1,565,278,256","6,755,431","1,558,522,825",0.4,384,0
,"Ward Development Pro-
gramme","1,565,278,256","6,755,431","1,558,522,825",0.4,384,0
"0313015310 sp 13.1 Liquor
Licensing & Regulation","0313015310 sp 13.1 Liquor
Licensing & Regulation","250,000,000","72,360,828","177,639,172",28.9,384,0
,"Total 5327000000 LIQUOR
LICENSING BOARD","250,000,000","72,360,828","177,639,172",28.9,384,0
"07220001 Legislation, Over-
sight and Representation","07220001 Legislation, Over-
sight and Representation","3,485,288,302","379,489,884","3,105,798,418",10.9,384,0
,Total COUNTY ASSEMBLY,"3,485,288,302","379,489,884","3,105,798,418",10.9,384,0
,"5328000100 Nairobi Metropol-
itan Services","5,236,639,977","4,557,232,909","679,407,068",87.0,384,0
,"TOTAL NAIROBI METRO-
POLITAN SERVICES","5,236,639,977","4,557,232,909","679,407,068",87.0,384,0
