Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expen-
diture Q2 FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index,"Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)"
Livestock,Livestock,"42,609,322",,,,475,0,"19,185,632","23,423,689.88",45.0
Crops,Crops,"509,183,223",,,,475,0,"73,499,460","435,683,763.23",14.4
"Fisheries Mgt &
Development","Fisheries Mgt &
Development","41,520,552",,,,475,0,"7,813,701","33,706,850.70",18.8
Veterinary services,Veterinary services,"39,427,177",,,,475,0,"7,195,114","32,232,063.32",18.2
,Total,"680,984,846",,,,475,0,"123,476,539.26","557,508,306.74",18.1
"WATER, ENVIRONMENT& NATURAL RESOURCES",,,,,,475,0,,,
Water Services,Water Services,"427,568,353",,,,475,0,"42,199,660","385,368,693.04",9.9
Environment,Environment,"4,970,750",,,,475,0,"918,057","4,052,693.50",18.5
"General
Administration,
Planning","General Adminis-
tration, Planning","41,400,652",,,,475,0,"16,475,497","24,925,154.66",39.8
,Total,"473,939,755",,,,475,0,"59,593,214","414,346,541.20",12.6
,,A,,,,476,0,B,C=A-B,D=B/A*100
"EDUCATION, YOUTH AFFAIRS, GENDER AND SOCIAL SERVICES",,,,,,476,0,,,
"General Adminis-
tration, Planning,
and Support","General Adminis-
tration, Planning
and Support","260,318,662",,,,476,0,"75,807,589","184,511,072.78",29.1
"County Pre-Primary
School Education","County Pre-Primary
School Education","229,456,229",,,,476,0,"14,789,673","214,666,556.10",6.4
"Vocational Educa-
tion","Vocational Educa-
tion","43,389,236",,,,476,0,"408,490","42,980,745.76",0.9
Sports,Sports,"84,751,988",,,,476,0,"1,443,525","83,308,463.10",1.7
"County Social Secu-
rity & Services","County Social Secu-
rity & Services","55,874,148",,,,476,0,"747,787","55,126,360.52",1.3
,Total,"673,790,263",,,,476,0,"93,197,065","580,593,198.26",13.8
COUNTY HEALTH SERVICES,,,,,,476,0,,,
"General Adminis-
tration","General Adminis-
tration","1,635,287,246",,,,476,0,"761,333,122","873,954,124.13",46.6
Curative,Curative,"222,806,579",,,,476,0,"35,364,018","187,442,561.34",15.9
"Promotion of Pri-
mary Health Care","Promotion of Pri-
mary Health Care","380,463,809",,,,476,0,"70,383,980","310,079,829.13",18.5
,Total,"2,238,557,634",,,,476,0,"867,081,119","1,371,476,514.60",38.7
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT AND HOUSING",,,,,,476,0,,,
"General Admin-
istration, Plan-
ning and Support
Services","General Admin-
istration, Plan-
ning and Support
Services","52,447,630",,,,476,0,"6,237,600","46,210,030.37",11.9
Physical Planning,Physical Planning,"57,213,982",,,,476,0,"18,788,117","38,425,865.47",32.8
"Land Surveying and
Mapping","Land Surveying and
Mapping","51,579,813",,,,476,0,"33,930,548","17,649,265.46",65.8
"Housing and Urban
Development","Housing and Urban
Development","66,836,243",,,,476,0,"2,766,565","64,069,677.83",4.1
Siaya Municipality,Siaya Municipality,"84,716,163",,,,476,0,"7,306,796","77,409,366.99",8.6
,Total,"312,793,831",,,,476,0,"69,029,625","243,764,206.12",22.1
"ROADS, PUBLIC WORKS, ENERGY AND TRANSPORT",,,,,,476,0,,,
"Road Development
and maintenance","Road Development
and maintenance","837,753,683",,,,476,0,"143,477,855.55","694,275,827.45",17.1
"Government Build-
ing Services","Government Build-
ing Services","627,241",,,,476,0,"187,406.58","439,834.42",29.9
"General Adminis-
tration","General Adminis-
tration","959,795",,,,476,0,"286,766.80","673,028.20",29.9
,Total,"839,340,719",,,,476,0,"143,952,028.93","695,388,690.07",17.2
ENTERPRISE AND INDUSTRIAL DEVELOPMENT,,,,,,476,0,,,
"Trade Development
and Promotion","Trade Development
and Promotion","4,751,705",,,,476,0,"740,211","4,011,494.32",15.6
