Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
204004810,"Public works Manage-
ment","3,429,205.00","681,600.00","2,747,605.00",19.88,163,0
,"Public works Manage-
ment","3,429,205","681,600","2,747,605",19.88,163,0
Total,,"1,089,102,630.00","440,017,005.00","649,085,625.00",40.40,163,0
Trade,,,,,,163,0
304004810,"Promotion of tourism
and marketing","9,798,554.00","4,266,394.00","5,532,160.00",43.54,163,0
304014810,"Promotion of tourism
and marketing","9,798,554","4,266,394","5,532,160",43.54,163,0
306004810,"Administration,
Planning and support
services","8,460,548.00","4,015,582.00","4,444,966.00",47.46,163,0
306014810,"Administration Sup-
port Services","8,460,548","4,015,582","4,444,966",47.46,163,0
307004810,"Trade Development
and Investment","167,099,865.00","2,000,000.00","165,099,865.00",1.20,163,0
307014810,"Modern Market infra-
structure development","157,314,984",-,"157,314,984",-,163,0
,,A,B,C=A-B,D=B/A*100,164,0
307024810,"Micro and small enter-
prises' development","9,784,881","2,000,000","7,784,881",20.44,164,0
309004810,"Industrial develop-
ment and investment","295,372,895.00","14,559,359.00","280,813,536.00",4.93,164,0
309014810,"Industrial Develop-
ment and Promotion","295,372,895","14,559,359","280,813,536",4.93,164,0
Total,,"480,731,862.00","24,841,335.00","455,890,527.00",5.17,164,0
Health Services,,,,,,164,0
401004810,"Preventive and pro-
motive services","196,962,980.00","18,946,550.00","178,016,430.00",9.62,164,0
401024810,"Community Health
Strategy","107,364,067","17,349,783","90,014,284",16.16,164,0
401034810,"Diseases surveillance &
Emergency response","3,026,275","797,367","2,228,908",26.35,164,0
401044810,"Nutrition service Pro-
motion","590,287",0,"590,287",-,164,0
401054810,HIV /AIDS Control,"608,574",0,"608,574",-,164,0
401064810,"Maternal and child
healthcare promotion","83,175,613","302,600","82,873,013",0.36,164,0
401074810,TB Control,"513,574","86,500","427,074",16.84,164,0
401084810,Malaria control,"499,170","220,300","278,870",44.13,164,0
401094810,"Promotion of family
planning","1,185,420","190,000","995,420",16.03,164,0
402004810,"Promotion of Curative
health services","1,664,355,878.00","362,164,504.00","1,302,191,374.00",21.76,164,0
402014810,"Health Infrastructure
Development","617,183,359","224,434,674","392,748,685",36.36,164,0
402024810,"Primary medical health
services","1,025,172,519","137,111,206","888,061,313",13.37,164,0
402034810,"Blood Transfusion
Services","22,000,000","618,624","21,381,376",2.81,164,0
403004810,"General Adminis-
trative and Support
services","161,682,767.00","41,119,347.00","120,563,420.00",25.43,164,0
403014810,"Administrative and
Human Resources
management","143,014,091","38,999,135","104,014,956",27.27,164,0
403024810,"Disability mainstream-
ing","805,430",0,"805,430",-,164,0
403034810,"Health Data and Infor-
mation Management","17,863,246","2,120,212","15,743,034",11.87,164,0
Total,,"2,023,001,625.00","422,230,401.00","1,600,771,224.00",20.87,164,0
Education,,,,,,164,0
,,A,B,C=A-B,D=B/A*100,165,0
503004810,"Vocational Education
and Training develop-
ment","230,151,199.00","2,833,902.00","227,317,297.00",1.23,165,0
503014810,"Polytechnic Support
and Development","230,151,199","2,833,902","227,317,297",1.23,165,0
504004810,"Early Childhood De-
velopment Education
(ECDE)","247,923,834.00","37,402,092.00","210,521,742.00",15.09,165,0
504014810,"ECD Infrastructure
Development","172,300,000","36,070,712","136,229,288",20.93,165,0
504024810,"Childcare and devel-
opment","75,623,834","1,331,380","74,292,454",1.76,165,0
505004810,"Education Support
Programme","182,854,757.00","3,347,540.00","179,507,217.00",1.83,165,0
505024810,"Non-Tertiary Educa-
tion Support","182,854,757","3,347,540","179,507,217",1.83,165,0
Total,,"660,929,790.00","43,583,534.00","617,346,256.00",6.59,165,0
"Office of the
Governor",,,,,,165,0
703004810,"Management and
administration of
County Functions","167,298,192.00","70,770,046.00","96,528,146.00",42.30,165,0
703024810,"County executive
services","167,298,192","70,770,046","96,528,146",42.30,165,0
704004810,"Support, Co-ordi-
nation and Advisory
Services","22,589,048.00","2,709,190.00","19,879,858.00",11.99,165,0
704014810,Legal Services,"22,589,048","2,709,190","19,879,858",11.99,165,0
709004810,"Support, Co-ordi-
nation and Advisory
services","60,697,968.00","20,287,294.00","40,410,674.00",33.42,165,0
709014810,"Support and Advisory
services","43,055,184","13,994,515","29,060,669",32.50,165,0
709024810,"County Internal Audit
services","17,642,784","6,292,779","11,350,005",35.67,165,0
Total,,"250,585,208.00","93,766,530.00","156,818,678.00",37.42,165,0
ICT,,,,,,165,0
705004810,"Information and com-
munication services","66,209,637.00","8,529,299.00","57,680,338.00",12.88,165,0
705014810,"Information and com-
munication services","66,209,637","8,529,299.00","57,680,338.00",12.88,165,0
Total,,"66,209,637.00","8,529,299.00","57,680,338.00",12.88,165,0
"Finance and Eco-
nomic Planning",,,,,,165,0
,,A,B,C=A-B,D=B/A*100,166,0
706004810,"Economic and policy
formulation and man-
agement planning","90,687,819.00","42,819,345.00","47,868,474.00",47.22,166,0
706014810,"Economic policy for-
mulation","90,687,819","42,819,345","47,868,474",47.22,166,0
707004810,"Public finance man-
agement","330,452,256.00","78,652,779.00","251,799,477.00",23.80,166,0
707014810,"Accounting and Finan-
cial services","106,108,488","38,647,864","67,460,624",36.42,166,0
707024810,"Financial Accounting
and Reporting","139,468,276","11,862,276","127,606,000",8.51,166,0
707034810,"Budget Formulation
and management","78,829,697","25,818,908","53,010,789",32.75,166,0
707044810,Procurement services,"6,045,795","2,323,731","3,722,064",38.44,166,0
713004810,"General Adminis-
tration and Support
services","161,438,358.00","113,945,802.00","47,492,556.00",70.58,166,0
713014810,Administrative Services,"161,438,358","113,945,802","47,492,556",70.58,166,0
718004810,Investment promotion,"41,630,222.00","12,685,000.00","28,945,222.00",30.47,166,0
718014810,Investment promotion,"41,630,222","12,685,000","28,945,222",30.47,166,0
Total,,"624,208,655.00","248,102,926.00","376,105,729.00",39.75,166,0
,,,,,,166,0
County Assembly,,,,,,166,0
710004810,"County Assembly
Services","1,279,653,117.00","518,125,156.00","761,527,961.00",40.49,166,0
710014810,Oversight services,"1,279,653,117","518,125,156","761,527,961",40.49,166,0
Total,,"1,279,653,117.00","518,125,156.00","761,527,961.00",40.49,166,0
"County Public Service Administration &
CPSB",,,,,,166,0
712004810,"County Public service
and Administrative
services","6,638,629,656.00","2,771,514,639.00","3,867,115,017.00",41.75,166,0
712014810,County Administration,"417,883,954","172,894,435","244,989,519",41.37,166,0
712024810,"Human Resource Man-
agement","6,220,745,702","2,598,620,204","3,622,125,498",41.77,166,0
716004810,"Alcoholics and Drinks
Control","17,485,063.00","956,373.00","16,528,690.00",5.47,166,0
716014810,"Alcohol and Drug Re-
habilitation Program","17,485,063","956,373","16,528,690",5.47,166,0
Total,,"6,656,114,719.00","2,772,471,012.00","3,883,643,707.00",41.65,166,0
Social Services,,,,,,166,0
,,A,B,C=A-B,D=B/A*100,167,0
901004810,"Administration,
Planning and Support
services","45,786,734.00","13,207,911.00","32,578,823.00",28.85,167,0
901014810,Administrative Services,"45,786,734","13,207,911","32,578,823",28.85,167,0
902004810,"Culture and Arts
Development","13,244,900.00","4,617,474.00","8,627,426.00",34.86,167,0
902014810,"Culture and Heritage
Conservation","13,244,900","4,617,474","8,627,426",34.86,167,0
903004810,"Management and De-
velopment Of Sports
And Sports Facilities","415,809,601.00","95,097,849.00","320,711,752.00",22.87,167,0
903014810,"Development of Sports
facilities","388,959,551","85,200,034","303,759,517",21.90,167,0
903024810,"Promotion and Devel-
opment of Sports and
Talent","26,850,050","9,897,815","16,952,235",36.86,167,0
904004810,"Youth & Gender
Development and
Promotion Services","92,321,218.00","128,062.00","92,193,156.00",0.14,167,0
904014810,"Youth, Disability and
Gender Empowerment
and mainstreaming","92,321,218","128,062","92,193,156",0.14,167,0
906004810,"Social Development
and Promotions","98,716,710.00","4,548,428.00","94,168,282.00",4.61,167,0
906014810,"Social Development
and Social Protection","95,212,310","3,100,860","92,111,450",3.26,167,0
906024810,Child welfare Services,"3,504,400","1,447,568","2,056,832",41.31,167,0
908004810,"Development of Li-
brary services","1,459,224.00","402,610.00","1,056,614.00",27.59,167,0
908014810,Library services,"1,459,224.00","402,610.00","1,056,614.00",27.59,167,0
Total,,"667,338,387.00","118,002,334.00","549,336,053.00",17.68,167,0
Water,,,,,,167,0
1005004810,"Natural Resource
Management","38,128,179.00","10,378,258.00","27,749,921.00",27.22,167,0
1005014810,"Afforestation and
Re-afforestation","18,236,413","5,609,158","12,627,255",30.76,167,0
1005024810,"Protection of natural
resources and environ-
mental processes","19,891,766","4,769,100","15,122,666",23.98,167,0
1006004810,"Water and Sanitation
Services","417,750,124.00","50,788,386.00","366,961,738.00",12.16,167,0
1006014810,"Water Resource Supply
and management","417,750,124","50,788,386","366,961,738",12.16,167,0
