Department,Programme,Programme/ Sub Programme,"FY2022/23
Budget","Actual Expen-
diture as of 30th
December 2022","Absorption Rate
(%)",page_number,table_index
Finance & Socio-Economic Planning Total,,,"1,463,780,483","298,120,682",20.4,308,0
"Gender & So-
cial Services","Program 3: Youth
Development Support &
Empowerment","Sub-Program 3. 1 Youth Devel-
opment","29,000,000",-,-,308,0
,"Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","65,889,061","18,235,214",27.7,308,0
,"Programme 2: Gender &
Social Development","Sub-Program 2. 1 Gender &
Social Development","34,336,567","2,164,739",6.3,308,0
,"Programme 4: Sub-Pro-
gram orts Development","Sub-Program 4. 1 Sub-Program
orts Development","50,025,452",-,-,308,0
Gender & Social Services Total,,,"179,251,080","20,399,953",11.4,308,0
Governorship,"Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","267,225,897","75,514,277",28.3,308,0
Governorship Total,,,"267,225,897","75,514,277",28.3,308,0
Health,"Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","3,678,151,807","1,285,844,281",35.0,308,0
,"Programme 2: Curative
health care services","Sub-Program 2. 1: Curative
healthcare services","233,962,800",-,-,308,0
,"Programme 3; Pre-
ventive and promotive
health care services","Sub-Program 3. 1 Preventive
and promotive health care
services","196,140,621","23,204,034",11.8,308,0
Health Total,,,"4,108,255,228","1,309,048,315",31.9,308,0
"Land, Physical
Planning &
Mining","Program 3: Urban
planning","Sub-Program 3. 1 Urban
planning","45,436,696",-,-,308,0
,"Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","67,856,296","16,413,588",24.2,308,0
,"Programme 2: : Land
Survey & Mapping","Sub-Program 2. 1: Land Survey
& Mapping","32,821,686","500,000",1.5,308,0
,"Programme 4: Mining
mapping & development","Sub-Program 4. 1 Mining
mapping & development","3,100,000","250,000",8.1,308,0
,"Programme 5: Environ-
ment management and
protection","Sub-Program 5. 1 Environment
management and protection","213,006,177","18,136,840",8.5,308,0
"Land, Physical Planning & Mining Total",,,"362,220,856","35,300,428",9.7,308,0
Sand Authority,"Programme 1: Gen-
eral administration &
planning","Sub-Program 1.1: General
Administration & Planning","106,840,824","12,752,057",11.9,308,0
Sand Authority Total,,,"106,840,824","12,752,057",11.9,308,0
"Trade, Industry
& Cooperatives","Program 3: Industrial
development and pro-
motion","Sub-Program 3. 1 Industrial
development and promotion","5,350,000",-,-,309,0
,"Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","63,448,409","14,147,599",22.3,309,0
,"Programme 2: Trade de-
velopment & promotion","Sub-Program 2.4; Trade mar-
keting & promotion","39,435,855","1,175,490",3.0,309,0
,"Programme 4: Tourism
development & promo-
tion","Sub-Program 4. 1 Tourism
development & promotion","5,350,000",-,-,309,0
,"Programme 5: Cooper-
ative development and
management","Sub-Program 5. 1 Cooperative
development and management","900,000",-,-,309,0
"Trade, Industry & Cooperatives Total",,,"114,484,264","15,323,089",13.4,309,0
"Transport &
Infrastructure","Program 3: Infrastruc-
ture development","Sub-Program 3. 1 Infrastruc-
ture development","19,386,000",-,-,309,0
,"Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","112,224,497","48,651,042",43.4,309,0
,"Programme 2: Road
transport","Sub-Program 2. 1 Road trans-
port","501,756,997",-,-,309,0
,"Programme 4: Energy
Infrastructure & devel-
opment","Sub-Program 4. 1 Energy In-
frastructure & development","99,348,268","8,460,697",8.5,309,0
Transport & Infrastructure Total,,,"732,715,762","57,111,740",7.8,309,0
"Water and
sanitation","Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","128,253,911","46,712,249",36.4,309,0
,"Programme 2: Water
Infrastructure Develop-
ment","Sub-Program 2.1 Water har-
vesting and storage","126,787,322","712,446",0.6,309,0
,,"Sub-Program 2.2. Piped water
supply infrastructure","363,019,047","300,000",0.1,309,0
,,"Sub-Program 2.3 Groundwater
Development","66,141,823","300,000",0.5,309,0
Water and sanitation Total,,,"684,202,103","48,024,695",7.0,309,0
"Wote Munici-
pality","Programme 1: Wote
Municipality","Sub-Program 1. 1 Wote Mu-
nicipality","115,230,222","21,165,628",18.4,309,0
Wote Municipality Total,,,"115,230,222","21,165,628",18.4,309,0
Grand Total,,,"11,529,598,474","2,938,257,834",25.5,309,0
