Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
December 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
Fisheries Development,Fisheries Development,-,"11,250,000",-,-,-,-,187,0
"Livestock resource
management and
development","Livestock resource manage-
ment and development",-,"58,750,000",-,"10,448,150",-,17.8,187,0
"Crop production
and Management","Crop production and Man-
agement",-,"817,778,887",-,"149,038,382",-,18.2,187,0
"Administration, Planning
and Support Services","General administration and
support services","463,162,497",-,"139,144,748",-,30.0,-,187,0
,Sub-Total,"463,162,497","887,778,887","139,144,748","159,486,532",30.0,18.0,187,0
"Water, Environment and Natural Resources",,,,,,,,187,0
"Water Resource Manage-
ment and Sanitation","Water provision and man-
agement",-,"191,000,000",-,"9,127,984",-,4.8,187,0
"Environment and Solid
Waste Management",Environmental management,-,"94,580,000",-,-,-,-,187,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture",188,0
"Sensitisation on
Renewable Energy and
Climate Change","Renewable Energy and
Climate Change",-,"10,000,000",-,-,-,-,188,0
"Natural Resources and
Forestry Conservation","Natural Resources Conser-
vation and Management",-,"15,000,000",-,-,-,-,188,0
"General Administration
and Support Services","General Administration and
Support Services","341,523,466",-,"152,913,634",-,44.8,-,188,0
,Sub-Total,"341,523,466","310,580,000","152,913,634","9,127,984",44.8,2.9,188,0
Health Services,,,,,,,-,188,0
Health Services,Health curative services,"603,006,903",-,-,"12,627,089",-,-,188,0
,"General Administration and
Support Services","4,131,533,024",-,"2,002,460,060",-,48.5,-,188,0
,Community Health Services,"43,900,000",-,"13,583,370",-,30.9,-,188,0
,"County Hospital Infrastruc-
ture",,"821,636,481","12,627,089",-,-,-,188,0
,"Pharmaceutical and
Non-Pharmaceutical
supplies","96,000,000",-,-,-,-,-,188,0
,Sub-Total,"4,874,439,927","821,636,481","2,028,670,519","47,604,431",41.6,5.8,188,0
"Education, Culture and Social Services",,,,,,,,188,0
"Pre-primary education and
youth polytechnics services","Pre-primary education and
youth polytechnics services",-,"248,007,975",-,"4,485,450",-,1.8,188,0
,"General Administration and
Support Services","771,702,219",-,"352,507,522",-,45.7,-,188,0
,"Early Childhood Develop-
ment","184,000,000",-,"3,160,100",-,1.7,-,188,0
,"Culture, Gender and Social
services","15,500,000",-,-,-,-,-,188,0
,Sub-Total,"971,202,219","248,007,975","355,667,622","4,485,450",36.6,1.8,188,0
Youth & Sports,,,,,,,,188,0
"Development and Manage-
ment of Sports Facilities","Development and Manage-
ment of Sports Facilities",-,"125,538,853",,-,-,-,188,0
"General administration
and support services","General administration and
support services","111,245,280",-,"28,971,235",-,26.0,-,188,0
Youth Empowerment,Youth Empowerment,-,"50,000,000",-,-,-,-,188,0
,Sub-Total,"111,245,280","175,538,853","29,444,885",-,26.5,-,188,0
"Lands, Physical Planning and Housing",,,,,,,,188,0
"Land Management and
Physical Planning",Housing Development,-,"114,000,000",-,"2,236,085",-,2.0,188,0
,"Land Management and
Physical Planning","112,013,523","166,000,000","80,921,249","3,000,000",72.2,1.8,188,0
,"General administration and
support services","90,693,523",-,-,-,-,-,188,0
"Municipal Administration
and Urban Development","Municipal Administration
and Urban Development","11,952,608",-,"416,230",-,3.5,-,188,0
,Sub-Total,"214,659,654","280,000,000","81,337,479","5,236,085",37.9,1.9,188,0
"Trade, Tourism, Industry
and Co-operative",,,,,,,,188,0
