Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th Decem-
ber 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,"Capacity develop-
ment, Mech-
anisation and
Innovation","3,850,000.00",,"1,212,000.00",,31,-,366,0
"Veterinary Ser-
vices Program","Veterinary
Services -REC","4,370,000.00","29,100,000.00","745,095.00",,17,-,366,0
"Livestock and
Fisheries Pro-
gram","Livestock
and Fisheries
Development
- REC","1,705,000.00","6,600,000.00",0,,-,-,366,0
"General Ad-
ministration
Planning and
Support Pro-
gram","General
Administration
Planning and
Support Services","223,040,035.00",,"92,345,787.40",,41,-,366,0
,Sub Total,"239,785,035.00","668,629,996.00","95,302,882.40","105,878,127.00",0.40,0.16,366,0
DEPARTMENT; TRANSPORT AND INFRASTRUCTURE,,,,,,,,366,0
"Urban Devel-
opment and
Renewal","Urban
Development
and Support","3,650,900.00",-,"52,590",-,-,-,366,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",367,0
"Energy
Development
and
Maintenance","Promotion of En-
ergy & Renewable
Energy Sources","1,100,000.00",-,,-,-,-,367,0
"General
Administration
and Support
Program","Construction of
Roads and Bridges","17,007,900.00",-,"5,212,376.00",-,-,-,367,0
"Roads
Development
Program","Infrastructure
Devt",,"513,300,000.00",-,-,-,-,367,0
,Sub Total,"21,758,800.00","513,300,000.00","5,264,966.00",-,,,367,0
"DEPARTMENT OF COMMERCE, TRADE, INDUSTRIES AND TOURISM",,,,,,,,367,0
"Cooperatives
Program","Cooperatives
- DEV",,"29,705,000.00",,,-,-,367,0
"Tourism
Development
and Promotion","Tourism Develop-
ment - REC","2,060,000.00",,"209,860.00",,10,-,367,0
,"Tourism Promo-
tion and Market-
ing - DEV",,"5,550,000.00",,,,-,367,0
"Trade and
Enterprise
Program","Trade & Enter-
prise Development","7,160,000.00",,350000,,5,-,367,0
,"Domestic Trade
Development -
REC","15,700,000.00","75,000,000.00",797840,,5,-,367,0
,"Fair Trade and
Consumer Pro-
tection","4,050,000.00",,87000,,2,-,367,0
"General
Administration
Planning
and Support
Program","General Admin-
istration Planning
and Support
Services","16,683,307.00",,"5,235,977.40",,31,-,367,0
,Sub Total,"45,653,307.00","110,255,000.00","6,680,677.40",-,0.15,,367,0
DEPARTMENT OF EDUCATION AND TECHNICAL TRAINING,,,,,,,,367,0
"Early Child De-
velopment and
Education","Early Child
Development and
Education","277,063,603.00",,"115,108,196.85",,42,-,367,0
"Youth Polytech-
nics Program","The revitalisation
of Youth Polytech-
nics - REC","118,800,265.00","13,600,000.00","29,788,042.75",,25,-,367,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",368,0
"Education Inter-
vention Program","The motivation
of Primary
and Secondary
School - DEV",,"4,200,000.00",,,-,-,368,0
,"Motivation of
Primary and Sec-
ondary Schools","269,700,000.00",,"113,422,691.00",,42,-,368,0
"General Ad-
ministration
Planning and
Support Pro-
gram","General
Administration
Planning and
Support Services","3,400,000.00",,"377,500.00",,11,-,368,0
,Sub Total,"668,963,868.00","27,800,000.00","258,696,430.60",,0.39,-,368,0
DEPARTMENT OF HEALTH AND SANITATION,,,,,,,,368,0
"Health In-
frastructure
Development","Infrastructure
Development
- REC","1,615,000.00",,"1,005,000",-,62,,368,0
,"Infrastructure
Improvement
Services -DEV",,"251,600,000.00",,-,-,-,368,0
"Alcohol and
Substance Abuse","Alcoholic Control
and Reviewing
of Licences","10,010,000.00",,"3,200,991.65",-,32,,368,0
"Primary Health
Care","Free Primary
HealthCare - REC","614,020,000.00","253,297,782.00","368,556,223.29",,60,,368,0
"General Ad-
ministration
Planning and
Support","General
Administration
Planning
and Support
Services - REC","2,554,609,847.00","278,589,531.00","1,416,400,192.05","75,353,438.00",55,27,368,0
,Sub Total,"3,180,254,847.00","783,487,313.00","1,789,162,407","75,353,438.00",56,10,368,0
DEPARTMENT LANDS AND HOUSING,,,,,,,,368,0
"Land Develop-
ment","Land Policy and
Planning - DEV",,"46,700,000.00",-,-,-,-,368,0
,Land Survey -DEV,,"5,000,000.00",-,,-,-,368,0
"Estate Devel-
opment and
Management","Public Trusts
and Estates
Management
- DEV",,"12,000,000.00",-,-,-,-,368,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",369,0
"General Ad-
ministration
Planning and
Support","General
Administration
Planning
and Support
Services - REC","28,416,078.00",,"1,990,418.00",-,7,-,369,0
,Sub Total,"28,416,078.00","68,700,000.00","1,990,418.00",-,7,-,369,0
DEPARTMENT PUBLIC SERVICE BOARD,,,,,,,,369,0
"General Ad-
ministration
Planning and
Support Services","General
Administration
Planning and
Support Services","38,509,490.00",,"8,081,293.50",-,21,-,369,0
,Sub Total,"38,509,490.00",,"8,081,293.50",,20.99,,369,0
"DEPARTMENT YOUTH, CULTURE, GENDER AND SOCIAL SERVICES",,,,,,,,369,0
"Social Interven-
tions Program",Cooperatives,"5,460,000.00",,1349550,-,,-,369,0
,"Social Welfare
and Vocational
Rehabilitation","3,450,000.00",,217500,-,,-,369,0
,"Persons Living
with Disabilities
- DEV",,"20,000,000.00",-,-,,-,369,0
,"Gender &
Social-Economic
Empowerment -
DEV",,"188,000,000.00",-,-,,-,369,0
"General Ad-
ministration
Planning and
Support Services","General
Administration
Planning and
Support Services","42,241,970.00",,"18,849,787.60",-,44.6,-,369,0
"Youth Develop-
ment Program","Youth
Development
Services","660,000.00",,-,-,-,-,369,0
"Sports Develop-
ment Program","Development and
Management of
Sports Facilities","7,420,000.00",,3879000,-,52.28,-,369,0
"Cultural Devel-
opment Program","Development
And Promotion
of Culture - REC","3,074,115.00","10,000,000.00",325200,-,10.58,-,369,0
,Sub Total,"62,306,085.00","218,000,000.00","24,621,037.60",-,39.52,-,369,0
DEPARTMENT OF ENVIRONMENT AND NATURAL RESOURCES,,,,,,,,369,0
"Solid Waste
Management","Solid Waste
Management
- REC","8,224,872.00","63,100,285.00","876,600.00",,-,-,369,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",370,0
"Environmental
Conservation","Enviromental
Management &
Protection - Dev",,"9,900,000.00",-,,-,-,370,0
"General
Administration
Planning and
Support Services","General Admin-
istration Planning
and Support
Services","11,254,440.00",,"1,124,837.00",,-,-,370,0
"Enviromental
Leadership and
Governance","Enviromental
Leadership and
Governance","3,700,000.00",,"268,000.00",,-,-,370,0
,Sub Total,"23,179,312.00","73,000,285.00","2,269,437.00",-,-,-,370,0
DEPARTMENT OF PUBLIC SERVICE AND ADMINISTRATION,,,,,,,,370,0
"Human Re-
source Planning
and Develop-
ment","Human Resource
Management and
Development","14,810,000.00",-,"382,280.00",-,-,-,370,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and
Support Services","733,320,876.00",-,"218,895,032.25",-,30,-,370,0
,Sub Total,"748,130,876.00",-,"219,277,312.25",,29,-,370,0
Water and Irrigation,,,,,,,,370,0
"General Ad-
ministration
Planning and
Support Services","General
Administration
Planning and
Support Services","44,082,220.00",,"9,124,112.00",-,21,-,370,0
"Water
Development","Water Supply
Infrastructure -
REC","46,101,719.00","90,500,000.00","8,711,315.50",-,19,-,370,0
,Sub Total,"90,183,939.00","90,500,000.00","17,835,427.50",-,20,-,370,0
MUNICIPALITY,,,,,,,,370,0
"Waste Manage-
ment Program","Solid Waste
Management",,"8,800,000.00",-,-,-,-,370,0
"Urban
Development
Program","Infrastructure
Development",,"100,239,146.00",-,-,-,-,370,0
,"Urban Develop-
ment and Support",,"10,000,000.00",-,-,-,-,370,0
"Revenue
Program","Revenue Auto-
mation",,"3,000,000.00",-,-,-,-,370,0
