Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Absorption (%),page_number,table_index
"Communication and
Public Engagement",Sub total,"26,150,000","9,500,000",111,129,0
,"Communication and Information
Services","14,662,331","5,837,862",39.8,129,0
,"Public Participation and
Stakeholder Management services","4,000,000",-,-,129,0
,"Inter-governmental Relations and
Liaison Services","5,000,000",-,-,129,0
,Sub total,"23,662,331","5,837,862",40,129,0
"Field Administration and
Devolution Support Ser-
vices","Field Administration and Coordina-
tion Services","43,248,669","21,250,000",,129,0
,Devolution Support Services,"2,000,000",-,-,129,0
,Disaster and Human Services,"14,000,000",-,-,129,0
,Sub total,"59,248,669","21,250,000",-,129,0
County Public Service Board,,,,,129,0
"Policy, Planning and Ad-
ministration Services",Policy and Planning Services,"2,508,400",-,-,129,0
,Administrative Support Services,"39,878,547","16,535,956",41.5,129,0
,"Facility Improvement & Capacity
Strengthening Services","6,000,000",-,-,129,0
,Sub total,"48,386,947","16,535,956",34.2,129,0
"Personnel Sourcing and
Management Services","Recruitment, Selection and Deploy-
ment Services","20,320,076",-,-,129,0
,Human Resource Advisory Services,"5,665,000",-,-,129,0
,Capacity Development Services,"2,014,924",-,-,129,0
,Sub total,"28,000,000",-,-,129,0
"Performance Manage-
ment Services","Performance Contracting and Ap-
praisal Services","8,500,000",-,-,129,0
,Performance Enhancement Services,"6,000,000",-,-,129,0
,Sub total,"14,500,000",-,-,129,0
County Assembly Service Board,,,,,129,0
Legislative Services,Members welfare Support services,"273,108,870","75,111,268",27.5,129,0
,"Legislative development and ap-
proval services","245,045,286","104,513,805",42.7,129,0
,Sub total,"518,154,156","179,625,073",34.7,129,0
