Program,Sub Program,"Approved Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,"Empowerment/Capacity
Building of Cultural Practi-
tioners","2,600,000.00","624,455.00","1,975,545.00",24.02,505,0
,,"2,850,000.00","668,900.00","2,181,100.00",23.47,505,0
,Baseline Survey for OVC,"1,850,000.00","552,500.00","1,297,500.00",29.86,505,0
,"Community Awareness
Creation on Child Rights and
Child Protection","650,000.00","116,400.00","533,600.00",17.91,505,0
,Enhanced Child Participation,"350,000.00",-,"350,000",-,505,0
,,"5,750,000.00","153,600.00","5,596,400.00",2.67,505,0
,Women Empowerment,"525,000.00","153,600.00","371,400.00",29.26,505,0
,Gender and Leadership,"5,225,000.00",-,5225000,-,505,0
,,"22,096,723.50","623,070.00","21,473,653.50",2.82,505,0
,County Sports Leagues,"2,596,723.50","623,070.00","1,973,653.50",23.99,505,0
,Sports Equipment Support,"19,500,000.00",-,19500000,-,505,0
