Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Ex-
penditure Q2
FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
"Improvement of Health
Infrastructure at Dispensary
and Health Centre - Public","Improvement of Health Infra-
structure at Dispensary and
Health Centre - Public","105,050,000",-,"105,050,000",-,347,0
External Funding,"THS Transforming Health sys-
tems Donor Grant","48,944,473",-,"48,944,473",,347,0
Sub total,,"624,718,326","29,919,628","594,798,698",5,347,0
"Lands, Housing and Physical Planning",,,,,,347,0
Land development services,Survey Services,"29,300,000",-,"29,300,000",-,347,0
General administration,General administration,"343,738,465","44,732,080","299,006,385",13,347,0
,Donor Fund,"141,635,618",-,"141,635,618",-,347,0
sub total,,"514,674,083","44,732,080","469,942,003",9,347,0
Public Service Management,,,,,,347,0
,,A,B,C=A-B,D=B/A*100,348,0
General administration,"Infrastructure Development
Services","8,950,000",-,"8,950,000",-,348,0
,General administration,"1,027,536,259","224,860,813","802,675,445",22,348,0
ICT Infrastructure,ICT Infrastructure,"5,000,000",-,"5,000,000",-,348,0
"Enhanced Management,
Coordination &
Supervision.","Enhanced Management, Coordi-
nation & Supervision.","1,530,000","721,500","808,500",47,348,0
"Information
Communication Services","Information Communication
Services","850,000",-,"850,000",-,348,0
Personnel Services,Personnel Services,"2,300,277","482,900","1,817,377",21,348,0
,Human Resource Management,"950,000",-,"950,000",-,348,0
"Sub County
Administration Services","Devolved Units Development
Services","3,020,000","360,250","2,659,750",12,348,0
"Budget Formulation
coordination and
Management","Budget Formulation coordination
and Management","12,765,420","2,954,783","9,810,637",23,348,0
sub total,,"1,062,901,955","229,380,246","833,521,709",22,348,0
"Roads, Transport and Public Works",,,,,,348,0
Road management services,"Construction of Bridges and
Culverts","75,000,000",-,"75,000,000",-,348,0
,Road management services,"362,350,932",-,"362,350,932",-,348,0
,"Urban and Town Road Develop-
ment","10,000,000",-,"10,000,000",-,348,0
General administration,General administration,"658,454,802","31,771,053","626,683,749",5,348,0
Sub total,,"1,105,805,734","31,771,053","1,074,034,681",3,348,0
Trade Tourism and Cooperative Development,,,,,,348,0
"Commerce and tourism
development","Tourism Promotion and Mar-
keting","2,000,000",-,"2,000,000",-,348,0
,"Cooperative Development
Services","1,500,000",-,"1,500,000",-,348,0
,"Industrial and Enterprise Devel-
opment","500,000",-,"500,000",-,348,0
,"Trade Infrastructure Develop-
ment Services","36,125,531",-,"36,125,531",-,348,0
,"Cooperative Audit Services, In-
spection and Risk Assessment","390,000",-,"390,000",-,348,0
,"Cooperative Development
Services","1,000,000",-,"1,000,000",-,348,0
General administration,General administration,"181,962,549","38,445,820","143,516,728",21,348,0
,Verification,"750,000",-,"750,000",-,348,0
,Mapping of Liquor Outlets,"1,250,000",-,"1,250,000",-,348,0
Sub total,,"225,478,079","38,445,820","187,032,259",17,348,0
Water And Energy,,,,,,348,0
"Water Supply and Manage-
ment Services",Rural Water Services,"389,592,214",-,"389,592,214",-,348,0
,Urban Water Supply & Mgt,"19,123,658","13,979,057","5,144,602",73,348,0
