Programme/SP,"Approved Estimates FY
2022/23 (Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
SP 3-(Livestock Disease management),"5,718,400.00","1,210,400.00","4,508,000.00",21,592,0
SP 4-(Fisheries Development),"434,400.00","100,000.00","334,400.00",23,592,0
"SP 5-(Nasukuta Livestock Improvement
Center)","528,000.00",-,"528,000.00",-,592,0
SP 6 -(Ward specific),"27,650,000.00",-,"27,650,000.00",-,592,0
"SP 7 -(Dairy Development(Special
Programmes)","1,842,000.00","1,300,000.00","542,000.00",71,592,0
TOTAL,"237,618,195.00","45,467,598.55","192,150,596.45",19,592,0
"Programme 8 - TRADE, INDUSTRIALISATION, INVESTMENT & COOPERATIVES DEVELOPMENT",,,,,592,0
"SP 1 - (General Administration, Planning
and Support Services)","82,737,137.00","35,451,593.25","47,285,543.75",43,592,0
SP 2-(Cooperative Development),"324,192,787.00","1,172,075.00","323,020,712.00",-,592,0
"SP 3 - (Trade,License and Market
Development)","6,360,000.00","854,700.00","5,505,300.00",13,592,0
SP 4-(Ward specific),"10,727,882.00",-,"10,727,882.00",-,592,0
TOTAL,"424,017,806.00","37,478,368.25","386,539,437.75",9,592,0
"Programme 9 - LANDS, HOUSING, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,592,0
"SP 1 - (General Administration, Planning
and Support Services)","79,401,322.00","28,195,432.75","51,205,889.25",36,592,0
SP 2 -(Land Policy and Physical Planning),"2,348,800.00","970,200.00","1,378,600.00",41,592,0
SP 3-(Housing Development),"912,000.00","113,400.00","798,600.00",12,592,0
SP 4-(Urban Development),"15,398,569.00",,"15,398,569.00",-,592,0
SP 5-(Kapenguria Municipality),"35,134,000.00","5,517,844.00","29,616,156.00",16,592,0
SP 6-(Ward specific),"5,100,000.00",,"5,100,000.00",-,592,0
TOTAL,"138,294,691.00","34,796,876.75","103,497,814.25",25,592,0
"Programme 10 - WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,592,0
"SP 1 - (General Administration, Planning
and Support Services)","69,503,713.00","22,555,528.10","46,948,184.90",32,592,0
,A,B,C=A-B,D=B/A*100,593,0
SP 2 -(Water Supply Services),"112,733,972.00","2,255,536.00","110,478,436.00",2,593,0
"SP 3 -(Environment & Natural Resource
Development)","137,081,280.00","817,600.00","136,263,680.00",1,593,0
SP 4 -(Ward Specific),"131,350,000.00",,"131,350,000.00",-,593,0
TOTAL,"450,668,965.00","25,628,664.10","425,040,300.90",6,593,0
"Programme 11 - YOUTH, SPORTS, TOURISM, GENDER AND SOCIAL SERVICES.",,,,,593,0
"SP 1 - (General Administration, Planning
and Support Services)","54,503,500.00","21,082,043.30","33,421,456.70",39,593,0
SP 2-(Tourism Development),"3,478,413.00","484,200.00","2,994,213.00",14,593,0
"SP 3-(Gender, Youths and Sports
Development)","53,803,279.00","3,482,300.00","50,320,979.00",6,593,0
SP 4(Culture and Social Development),"1,939,718.00","500,000.00","1,439,718.00",26,593,0
SP 5-(Ward Specific),"3,965,131.00",,"3,965,131.00",-,593,0
TOTAL,"117,690,041.00","25,548,543.30","92,141,497.70",22,593,0
"Programme 12 - COUNTY PUBLIC SERVICE, ICT AND DECENTRALISED UNITS",,,,,593,0
"SP 1 - (General Administration, Planning
and Support Services)","250,213,139.00","39,959,113.55","210,254,025.45",16,593,0
SP 2-(Human Resource),"1,944,000.00","722,800.00","1,221,200.00",37,593,0
SP 3-(Legal Services),"8,862,000.00","411,800.00","8,450,200.00",5,593,0
SP 4 - (Records Management),"644,000.00","238,000.00","406,000.00",37,593,0
SP 5- (Communication Services),"840,000.00","349,800.00","490,200.00",42,593,0
SP 6 - (ICT Infrastructure Connectivity),"1,816,422.00","349,500.00","1,466,922.00",19,593,0
SP 7 - (Field Administration),"11,167,680.00","3,661,055.70","7,506,624.30",33,593,0
TOTAL,"275,487,241.00","45,692,069.25","222,288,547.45",17,593,0
Programme 13 -SPECIAL PROGRAMMES AND DIRECTORATES,,,,,593,0
"SP 1 - (General Administration, planning
and Support Services)","19,134,126.00","8,197,732.40","10,936,393.60",43,593,0
SP 2 -(Dairy Development),-,,-,-,593,0
SP 3-(Cash crop production),-,,-,-,593,0
"SP 4-(Investment and Cooperative
development)",-,,-,-,593,0
SP 5 - (Emergency and disaster response),"5,250,000.00","615,600.00","4,634,400.00",12,593,0
SP 6 -(Peacebuilding and reconciliation),"5,826,000.00","2,810,500.00","3,015,500.00",48,593,0
"SP 7- ( Resource mobilisation and
Coordination)","4,030,000.00","1,797,500.00","2,232,500.00",45,593,0
SP 8(Gender and special needs),"10,640,000.00","3,690,240.00","6,949,760.00",35,593,0
TOTAL,"44,880,126.00","17,111,572.40","27,768,553.60",38,593,0
Programme 14 -COUNTY ASSEMBLY,,,,,593,0
"SP 1 - (General Administration, Planning
and Support Services)","474,598,120.00","142,786,317.10","331,811,802.90",30,593,0
SP 2 -(Legislation and Representation),"255,146,628.00","55,706,946.00","199,439,682.00",22,593,0
SP 3-(Staff Affairs and development),"44,300,000.00","30,314,269.00","13,985,731.00",68,593,0
TOTAL,"774,044,748.00","228,807,532.10","545,237,215.90",30,593,0
TOTAL EXECUTIVE AND ASSEMBLY,,,,,593,0
Personal emoluments,"2,811,487,206.00","1,319,568,823.75","1,491,918,382.25",47,593,0
