Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
"Roads, Pub-
lic Works,
Transport and
Housing","General Ad-
ministration
And Planning
Services","82,208,717",-,"39,382,451",-,47.91,-,225,0
,"Roads Develop-
ment",-,"767,967,952",-,"25,866,223",-,3.37,225,0
,Public Works,"112,213,838","50,641,474","34,608,941",-,30.84,-,225,0
,"Housing Ser-
vices","6,000,000",-,-,-,-,-,225,0
,Sub-Total,"200,422,555","818,609,426","73,991,392","25,866,223",36.92,3.16,225,0
"Trade, Tourism
and Industry","Administration
and Planning
Services","85,399,998","84,518,374","34,788,585",-,40.74,-,225,0
,"Tourism Devel-
opment","4,120,000",-,-,-,-,-,225,0
,"Weights and
Measures","4,250,000",-,-,-,-,-,225,0
,Liquor Licensing,"1,400,000",-,-,-,-,-,225,0
,"Betting and
Gaming","2,250,000",-,-,-,-,-,225,0
,Sub-Total,"97,419,998","84,518,374","34,788,585",-,35.71,-,225,0
