Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
Sub-total,,"1,102,050,071","238,456,913","863,593,158.05",21.64,273,0
"Infrastructure, Physical Planning & Lands",,,,,,273,0
"General Administration
and Planning Services",Administration Services,"7,000,000","1,376,690","5,623,310",19.7,273,0
,"Planning and Financial Man-
agement",-,-,-,-,273,0
Financial Services,"County Treasury administra-
tive services",-,-,-,-,273,0
"Land and Housing
Management",Housing Policy Development,"1,500,000","138,000.00","1,362,000",9.2,273,0
"Public Works Service
Delivery Improvement","County Building Construction
Standard","1,000,000","63,000.00","937,000",6.3,273,0
"Renewable /Green En-
ergy Services","County renewable/green ener-
gy services","6,036,268","513,800.00","5,522,468",8.5,273,0
"Roads Network Im-
provement Housing and
Urban Development",Road Network improvement,"210,000,000","18,762,653","191,237,347",8.9,273,0
,Road network maintenance,"20,066,862",,"20,066,862",-,273,0
,"Heavy equipment Mainte-
nance",,,-,-,273,0
,Urban Development,,,-,-,273,0
Sub-total,,"245,603,130","20,854,143","224,748,988",8.5,273,0
"Trade, Tourism & Cooperatives",,,,,,273,0
,,A,B,C=A-B,D=B/A*100,274,0
"General Administration
& Planning services",Administration Services,"1,570,000","449,300","1,120,700",28.6,274,0
,Personnel Services,"2,700,000","500,000","2,200,000",18.5,274,0
,Pending bills,-,-,-,-,274,0
"Co-operative Develop-
ment and promotion","Co-operative Development
and promotion","2,515,450","607,000","1,908,450",24.1,274,0
,Research & Development,-,-,-,-,274,0
,Revolving Fund,-,-,-,-!,274,0
Trade & Investments,"Market Infrastructure De-
velopment/Trade Promotion
Services","44,000,000","499,200","43,500,800",1.1,274,0
,"Market Infrastructure Devel-
opment",-,-,-,-,274,0
,"Meteorological Lab-weights
and measures","500,000",-,"500,000",-,274,0
"Tourism Development
& Promotion","Tourism Promotion and Mar-
keting","2,930,000","249,500.00","2,680,500",8.5,274,0
,"Tourism Infrastructural De-
velopment",-,-,-,-,274,0
Sub-total,,"54,215,450","2,305,000","51,910,450",4.3,274,0
County Administration Services,,,,,,274,0
"Human Capital Man-
agement & Develop-
ment",Compensation to employees,"3,462,302,619","1,516,610,883","1,945,691,736",43.8,274,0
,County Public Service Board,"13,500,000","7,811,170","5,688,830",57.9,274,0
"County Administration
Services","Headquarter Administration
Services","25,444,698","5,941,843","19,502,855",23.4,274,0
,"ICT Infrastructure & Connec-
tivity","4,300,000","400,000","3,900,000",9.3,274,0
,"County Administration Ser-
vices","6,400,000","1,400,000","5,000,000",21.9,274,0
,"County services delivery and
result reporting","1,000,000","850,000","150,000",85.0,274,0
,Car & Mortgage,-,-,-,-,274,0
,Decentralized Services,"10,700,000",-,"10,700,000",-,274,0
,Executive Support Service,"64,150,000","24,054,049","40,095,951",37.5,274,0
,Grants & Transfers,"13,289,366","12,000,000","1,289,366",-,274,0
,Urban Facilities Management,"10,000,000","5,000,000","5,000,000",50.0,274,0
,Legal Services,"2,500,000","1,249,750","1,250,250",50.0,274,0
"Security & Policing Ser-
vices","Disaster Reduction Manage-
ment",-,-,-,-,274,0
,"Enforcement and Disaster
Management","1,000,000","400,000","600,000",40.0,274,0
,Alcohol Control Committee,"3,000,000","382,960","2,617,040",12.8,274,0
,"Intergovernmental & Donor
Relations","4,000,000","1,850,000","2,150,000",46.3,274,0
,Fire Services,"7,300,000","750,000","6,550,000",10.3,274,0
"Public Participation &
Civic Education",Public participation,"2,000,000","900,000","1,100,000",45.0,274,0
Sub-total,,"3,630,886,683","1,579,600,655","2,051,286,028",43.5,274,0
"Water, Environment & Natural Resources",,,,,,274,0
Water Development,"Rural water supply and sani-
tation","21,500,000","500,000","21,000,000",2.3,274,0
"General Administration
& Support Services","Administrative and Planning
Services","5,231,689","1,902,538.00","3,329,151",36.4,274,0
,"Motor vehicle maintenance
and fuel provision","4,787,900","1,781,950","3,005,950",37.2,274,0
,,A,B,C=A-B,D=B/A*100,275,0
"Environment & Natural
Resources",Solid Waste Management,"13,500,000","3,000,000","10,500,000",22.2,275,0
,"Human-Wildlife Conflict Pre-
vention","2,000,000",-,"2,000,000",-,275,0
,"Natural Resources Manage-
ment","2,000,000","775,000.00","1,225,000",38.8,275,0
,"Climate Change Adaptation &
Mitigation","11,000,000",-,"11,000,000",-,275,0
,Integrated land rehabilitation,"1,000,000",-,"1,000,000",-,275,0
Sub-total,,"61,019,589","7,959,488","53,060,101",13.0,275,0
"Agriculture, Livestock & Veterinary",,,,,,275,0
Headquarter Services,"Headquarter Administration
Services","45,208,016","12,022,820",-,26.6,275,0
,"Agriculture Sector Extension
Management","27,031,259","2,750,000",-,10.2,275,0
Livestock Production,"Livestock Resource Develop-
ment and Management","2,200,000",-,-,-,275,0
,"Livestock Marketing and Val-
ue Addition","4,800,000",-,-,-,275,0
"Crop production &
Horticulture","Land and Crop Productivity
Enhancement and Manage-
ment","5,000,000",-,-,-,275,0
,"Strategic Food Security Ser-
vice","26,914,415",-,-,-,275,0
,"Agribusiness and Information
Management",,-,-,-,275,0
,"Standards and Quality Assur-
ance",,-,-,-,275,0
,"Climate Change Adaptation &
Mitigation","116,327,634",-,-,-,275,0
Veterinary Services,"Animal Health and Disease
Management",,-,-,-,275,0
Fisheries Services,"Fisheries Development and
Management","1,000,000",-,-,-,275,0
Sub-total,,"228,481,324","14,772,820",-,6.5,275,0
Finance & Economic Planning,,,,,,275,0
"General Administration
& Planning Services","Headquarter administration
services","37,187,066","6,926,500","30,260,566",18.6,275,0
"Administration, Plan-
ning & Support Services",Personnel Services,"3,000,000",-,"3,000,000",-,275,0
,"General Administration Ser-
vices","399,209,651","17,697,135","381,512,516",4.4,275,0
,"Market Infrastructural Ser-
vices","3,597,838","3,750,000","-152,162",104.2,275,0
"Public Finance Manage-
ment Services",Internal Audit Services,"8,008,222","5,522,553","2,485,669",69.0,275,0
,Enterprise & Innovation,"3,958,120","3,958,120",-,100.0,275,0
,Budget Management,"4,229,245","2,648,900","1,580,345",,275,0
,Financial Automation Services,"3,036,971","1,946,529","1,090,442",,275,0
,Revenue collection services,"36,600,000","8,000,000","28,600,000",21.9,275,0
,Revenue Management,"30,000,000","3,195,350","26,804,650",10.7,275,0
,County Emergency Fund,"50,000,000",-,"50,000,000",-,275,0
,"Supply chain management ser-
vices","2,813,518","1,403,300","1,410,218",49.9,275,0
