Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Ex-
penditure Q2
FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
,"CSP 10.3: Meat inspection
services","16,799,886",-,"16,799,886",-,79,0
,CSP 10.4: Veterinary Extension,"5,000,000","5,000,000",-,100.0,79,0
CP 11: Other projects,"CSP 11.1: Other Development
projects","19,500,000","18,607,450","892,550",95.4,79,0
Sub Total,,"639,545,205","197,189,635","442,355,570",30.8,79,0
"Department of Trade, Investment, Cooperatives and Industry",,,,,,79,0
"CP 12: General Admin-
istration and support
services","CSP 12.1: Administrative sup-
port service","70,730,924","33,655,149","37,075,775",47.6,79,0
CP 13: Trade Development,"CSP 13.1: Busia county trade
development fund","8,000,000",-,"8,000,000",-,79,0
,"CSP 13.2: Market modernisa-
tion and development","46,412,000",-,"46,412,000",-,79,0
CP 14: Fair Trade practices,"CSP 14.1: Weights and mea-
sures.","3,000,000",-,"3,000,000",-,79,0
"CP 15: Cooperative devel-
opment","CSP 15.1: Busia county coop-
erative enterprise development
fund","10,000,000",-,"10,000,000",-,79,0
CP 16: Other projects,"CSP 16.1: Other Development
projects","27,900,000","981,218","26,918,782",3.5,79,0
Sub Total,,"166,042,924","34,636,367","131,406,557",20.9,79,0
Department of Education and Vocational Training,,,,,,79,0
,,A,B,C=A-B,D=B/A*100,80,0
"CP 17: General Admin-
istration and support
services","CSP 17.1: Administrative sup-
port service","484,255,653","181,911,698","302,343,955",37.6,80,0
"CP 18: Early Childhood
Development Education
(Basic Education)","CSP 18.1: Improvement of in-
frastructure in ECDE Centres","20,000,000",-,"20,000,000",-,80,0
,CSP 18.2: E.C.D.E Capitation,"5,000,000",-,"5,000,000",-,80,0
"CP 19: Technical/ vocation-
al training development","CSP 19.1: Infrastructure devel-
opment","30,663,644",-,"30,663,644",-,80,0
CP 20: Education support,"CSP 20.1: Education support
scheme","51,218,895",-,"51,218,895",-,80,0
CP 21: Other projects,"CSP 21.1: Other Development
projects","31,900,000",-,"31,900,000",-,80,0
Sub Total,,"623,038,192","181,911,698","441,126,494",29.2,80,0
Department of Finance and Economic Planning,,,,,,80,0
"CP 22: General Admin-
istration and support
services","CSP 22.1: Administrative sup-
port service","802,673,214","358,932,467","443,740,748",44.7,80,0
"CP 23: Financial manage-
ment control and develop-
ment","CSP 23.1: Revenue generation
services","11,397,425",-,"11,397,425",-,80,0
"CP 24: Infrastructure De-
velopment","CSP 24.1: Construction and
Renovation","12,700,000",-,"12,700,000",-,80,0
CP 25: Other projects,"CSP 25.1: Other Development
projects","9,500,000",-,"9,500,000",-,80,0
Sub Total,,"836,270,639","358,932,467","477,338,173",42.9,80,0
"Department of Sports, Culture and Social Services",,,,,,80,0
"CP 26: General Admin-
istration and support
services","CSP 26.1: Administrative sup-
port service","90,909,964","37,390,445","53,519,520",41.1,80,0
CP 27: Social services,"CSP 27.1: infrastructural devel-
opment","3,700,000",-,"3,700,000",-,80,0
"CP 28: Youth Empower-
ment and development","CSP 28.1 Equipping and
Operationalization of youth
empowerment","4,700,000",-,"4,700,000",-,80,0
"CP 29: Promotion and
development of sports","CSP 29.1: Infrastructural devel-
opment","4,400,000",-,"4,400,000",-,80,0
,CSP 29.2: sports promotion,"8,140,000",-,"8,140,000",-,80,0
"CP 30: Child care and
protection","CSP 30.1: Rehabilitation and
custody","8,000,000",-,"8,000,000",-,80,0
"CP 31: Promotion and de-
velopment of local tourism
in the County","CSP 31.1: Tourism develop-
ment","3,000,000",-,"3,000,000",-,80,0
"CP 32: Alcoholic drinks
and drugs control","CSP 32.1: Infrastructure devel-
opment","8,660,000",-,"8,660,000",-,80,0
CP 33: Other projects,"CSP 33.1: Other Development
projects","34,300,000","4,649,431","29,650,569",13.6,80,0
Sub Total,,"165,809,964","42,039,876","123,770,089",25.4,80,0
,,A,B,C=A-B,D=B/A*100,81,0
Department of Infrastructure and Energy,,,,,,81,0
"CP 34: General Admin-
istration and support
services","CSP 34.1: Administrative sup-
port service","152,259,636","67,374,731","84,884,905",44.2,81,0
"CP 35: Development and
maintenance of roads","CSP 35.1: Routine maintenance
of roads","122,484,000","19,441,398","103,042,602",15.9,81,0
,"CSP 35.2: Development of
Roads","434,637,184",-,"434,637,184",-,81,0
"CP 36: Building Infrastruc-
ture Development","CSP 36.1: Infrastructure Devel-
opment","9,900,000",-,"9,900,000",-,81,0
,"CSP 37.1: Solar Energy Explo-
ration","18,700,000",-,"18,700,000",-,81,0
"CP 38: Alternative
Transport Infrastructure
Development","CSP 38.1: Road safety cam-
paign","5,637,345",-,"5,637,345",-,81,0
CP 39: Other projects,"CSP 39.1: Other Development
projects","107,300,000","13,652,127","93,647,873",12.7,81,0
Sub Total,,"850,918,165","100,468,256","750,449,909",11.8,81,0
Department of Public Service and Administration,,,,,,81,0
"CP 40: General Adminis-
trative and support services","CSP 40.1: Administrative sup-
port services","325,386,040","117,467,777","207,918,263",36.1,81,0
"Department of Lands, Housing and urban Development",,,,,,81,0
"CP 41: General Adminis-
trative and support services","CSP 41.1: Administrative sup-
port services","133,682,955","64,453,995","69,228,959",48.2,81,0
"CP 42: County Land Ad-
ministration and planning",CSP 42.1: Land use planning,"5,500,000",-,"5,500,000",-,81,0
"CP 43: Housing Develop-
ment and Management","CSP 43.1: Housing Develop-
ment","50,764,500",-,"50,764,500",-,81,0
"CP 44: Urban management
and development control",CSP 44.1: Urban management,"49,800,889",-,"49,800,889",-,81,0
,CSP 44.2: Urban Development,"72,088,327",-,"72,088,327",-,81,0
CP 45: Other projects,"CSP 45.1: Other Development
projects","9,050,000",-,"9,050,000",-,81,0
Sub Total,,"320,886,671","64,453,995","256,432,675",20.1,81,0
"Department of Water, Irrigation Environment and Natural Resources",,,,,,81,0
"CP 46: General Adminis-
trative and support services","CSP 46.1: Administrative
support services","126,541,968","73,484,367","53,057,601",58.1,81,0
"CP 47: Water supply
services","CSP 47.1: Urban water supply
and sewerage","61,800,000","2,908,966","58,891,035",4.7,81,0
,CSP 47.2: Rural water supply,"18,052,103",-,"18,052,103",-,81,0
"CP 48: Environmental
management and protec-
tion","CSP 48.1 Environmental man-
agement","12,250,000",-,"12,250,000",-,81,0
"CP 49: Smallholder irriga-
tion and drainage","CSP 49.1: Irrigation infrastruc-
ture development","11,000,000","3,691,720","7,308,280",33.6,81,0
,,A,B,C=A-B,D=B/A*100,82,0
"CP 50: Forest development
and management","CSP 50.1: Rehabilitation and
Restoration of degraded land-
scape","5,187,603",-,"5,187,603",-,82,0
"CP 51: Climate Change
Fund","CSP 51.1: Financing Local-
ly-Led Climate Action Program
(FLLOCA.)","55,000,000","14,551,951","40,448,049",26.5,82,0
CP 52: Other projects,"CSP 52.1: Other Development
projects","70,200,000","24,114,495","46,085,505",34.4,82,0
Sub Total,,"360,031,674","118,751,499","241,280,175",33.0,82,0
Department of Health and Sanitation,,,,,,82,0
"CP 53: General Admin-
istration and support
services","CSP 53.1: Administrative sup-
port service","1,863,943,627","833,568,638","1,030,374,989",44.7,82,0
"CP 54: Curative Health
Services","CSP 54.1: Infrastructure devel-
opment","129,488,069","25,662,788","103,825,281",19.8,82,0
,CSP 54.2: Hospital equipment,"101,500,000",-,"101,500,000",-,82,0
,"CSP 54.3: Blood transfusion
Services","5,000,000",-,"5,000,000",-,82,0
"CP 55: Preventive and Pro-
motive Health Services","CSP 55.1: Infrastructure devel-
opment","62,500,000",-,"62,500,000",-,82,0
,"CSP 55.2: Lower-level hospital
equipment","10,000,000",-,"10,000,000",-,82,0
,CSP 55.3: Preventive Services,"8,000,000",-,"8,000,000",-,82,0
,"CSP 55.4: Health promotion
unit","69,500,000","600,000","68,900,000",-,82,0
CP 56: Other projects,"CSP 56.1: Other Development
projects","27,900,000",-,"27,900,000",-,82,0
Sub Total,,"2,277,831,696","859,831,426","1,418,000,270",37.7,82,0
County Public Service Board,,,,,,82,0
"CP 57: General Admin-
istration and support
services","CSP 57.1: Administrative sup-
port service","103,276,178","43,626,166","59,650,012",42.2,82,0
The Governorship,,,,,,82,0
"CP 58: General Admin-
istration and support
services","CSP 58.1: Administrative sup-
port service","420,774,965","145,277,235","275,497,730",34.5,82,0
"CP 59: Disaster Risk Man-
agement","CSP 59.1: Disaster prepared-
ness","82,000,000",-,"82,000,000",-,82,0
"CP 60: Information Dis-
semination and Knowledge
Management","CSP 60.1: Communication
Services","13,350,000","1,276,112","12,073,888",9.6,82,0
"CP 61: ICT Support Ser-
vices",CSP 61.1: ICT Services,"9,650,000",-,"9,650,000",-,82,0
CP 62: Other projects,"CSP 62.1: Other Development
projects","12,450,000",-,"12,450,000",-,82,0
Sub Total,,"538,224,965","146,553,347","391,671,618",27.2,82,0
County Assembly,,,,,,82,0
