Department,Program,Sub-Program,Approved Estimate,col_4,Cumulative Expenditure,col_6,Absorption Rate (%),col_8,page_number,table_index
,"County Extension
Services and
Aquaculture
Development","Administrative
Support Services","3,663,860","47,375,111","2,750,021","24,507,220",75,52,491,0
,"Coffee
Improvement
Program","Coffee Improvement
Program",-,"197,539,557",-,"197,539,907",-,100,491,0
,"Crop
Management","County Agriculture
Extension Program","2,030,003","31,199,500","1,368,223","24,434,613",67,78,491,0
,AMS Naromoru,"Development
Of Agricultural
Land For Crop
Production","1,226,000","2,000,000","1,226,000","1,189,445",100,59,491,0
,Wambugu ATC,Farm Development,"5,300,000",-,"5,300,000",-,100,-,491,0
,"Livestock
Production
Management","Provision of
Extension Services
to Livestock farmers","1,670,500","107,282,920","982,591","24,021,996",59,22,491,0
"Agriculture,
Livestock and
Aquaculture
Development
Total",,,"246,081,678","453,597,017","230,722,600","328,482,631",94,72,491,0
"Trade,
Cooperatives,
Culture and
Tourism",Co-operatives,"Cooperative
Development And
Management","5,769,585","24,500,000","5,484,999","22,740,376",95,93,491,0
,"Tourism
Development","Promotion of
Tourism","7,032,000","14,095,113","6,904,020","11,261,557",98,80,491,0
,"Trade
Development",Trade Promotion,"66,689,930","164,762,757","62,363,377","91,724,294",94,56,491,0
"Trade,
Cooperatives,
Culture and
Tourism Total",,,"79,491,515","203,357,870","74,752,396","125,726,227",94,62,491,0
"Education and
Training","General
administration
and policy
Development and
implementation","Administrative
Support Services","499,993,691","82,000,936","496,367,013","40,660,972",99,50,491,0
,,,Recurrent,Development,Recurrent,Development,"Recurrent
Expenditure","Development
Expenditure",492,0
,"ECDE
Management",ECDE Management,"3,692,496",-,"3,438,050",-,93,-,492,0
,"Youth Training
and Development","Youth Training and
Development",-,"28,213,878",-,"21,512,075",-,76,492,0
"Education and
Training Total",,,"503,686,187","110,214,814","499,805,063","62,173,047",99,56,492,0
"Water,
Environment, and
Climate Change","Water
Management","Administrative
Support Services","78,744,685",-,"72,782,481",-,92,-,492,0
,"Environment and
Climate Change","Environment
Conservation,
Protection and
Management","6,914,910","227,292,760","6,471,908","90,370,833",94,40,492,0
,"Water
Management",Water Services,-,"110,304,455",-,"98,929,326",-,90,492,0
"Water,
Environment, and
Climate Change
Total",,,"85,659,595","337,597,215","79,254,389","189,300,159",93,56,492,0
County Assembly,"General
administration,
Policy
Development and
implementation","Administration and
planning services","805,714,253","50,000,000","774,304,754","18,949,568",96,38,492,0
"County Assembly
Total","General
administration,
Policy
Development and
implementation",,"805,714,253","50,000,000","774,304,754","18,949,568",96,38,492,0
"County Public
Service Board",,"Administration and
personnel services","47,477,641","6,000,000","46,708,458","3,430,700",98,57,492,0
"County Public
Service Board
Total",,,"47,477,641","6,000,000","46,708,458","3,430,700",98,57,492,0
"Roads, Transport,
Public Works,
Infrastructure and
Energy","General
Administration
and Planning
services","Administration,
planning and
support services","76,606,907",-,"60,136,560",-,79,-,492,0
,"Roads
development,
maintenance and
management","County access
and feeder roads
improvement",-,"285,789,526",-,"257,410,042",-,90,492,0
,"Energy Sector
Development",Street Lighting,-,"273,903,391",-,"249,503,767",-,91,492,0
,"Energy Sector
Development","Street lighting
programme","11,669,200",-,"11,158,756",-,96,-,492,0
"Roads, Transport,
Public Works,
Infrastructure and
Energy Total",,,"88,276,107","559,692,917","71,295,316","506,913,809",81,91,492,0
County Attorney,"General
Administration
and Planning
services","Management of
county affairs","66,694,884",-,"62,344,830",-,93,-,492,0
Total,,,"66,694,884",-,"62,344,830",-,93,-,492,0
Grand Total,,,"6,196,977,088","2,785,425,020","5,924,924,574","2,016,016,681",96,72,492,0
