Programme,Sub-Programme,"Approved Estimates
(Kshs.)
Recurrent Development",col_3,"Actual Expenditure
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index,"Approved Estimates
(Kshs.)"
"Department of Lands, housing and urban development.",,,,,,,,87,0,
Programme 1.,,,-,"109, 470, 725",-,75.0,-,87,0,"145, 939, 735"
,"SP 1. General
administration &
support services",,-,"109, 470, 725",-,75.0,-,87,0,"145, 939, 735"
Programme 7.,,,"38, 388, 495",-,"12, 145, 760",-,31.7,87,0,-
,"SP 2. Housing
development",,"150, 000",-,"550, 000",-,366.7,87,0,-
,"SP 3. Housing
management",,"38, 238, 495",-,"11, 595, 760",-,30.3,87,0,-
Programme 12.,,,-,"12, 435, 657",-,51.2,-,87,0,"24, 287, 766"
,"SP 2. Town
management services",,-,"12, 435, 658",-,51.2,-,87,0,"24, 287, 766"
Programme 17.,,,"13, 200, 000",-,"7, 486, 900",-,56.7,87,0,-
,"SP 2. Land use
administration and
manage",,"13, 200, 000",-,"7, 486, 900",-,56.7,87,0,-
Programme 18.,,,"103, 361, 630",-,"9, 950, 700",-,9.6,87,0,-
,"SP 1. Urban
management",,"5, 000, 000",-,0,-,0,87,0,-
,"SP 2. Urban
infrastructure
development & mgt",,"98, 361, 630",-,"9, 950, 700",-,10.1,87,0,-
,Subtotal,,"254, 950, 125.","121, 906, 383","29, 583, 360",71.7,11.6,87,0,"170, 227, 501"
"Department of Water, environment, irrigation, natural resources and climate change.",,,,,,,,87,0,
Programme 1.,,,-,"76, 783, 246",-,53.3,-,87,0,"144, 032, 157"
,"SP 1. General
administration &
support services",,-,"76, 783, 246",-,53.3,-,87,0,"144, 032, 157"
,,,Development,Recurrent,Development,Rec,Dev,88,0,Recurrent
Programme 2.,,,"113, 688, 487","3, 438, 719","82, 119, 759",71.0,72.2,88,0,"4, 840, 245"
,"SP 1. Renewable energy
technology",,-,"1, 452, 327",-,61.8,-,88,0,"2, 350, 303"
,"SP 2. Protection of
environment",,-,"1, 986, 392",-,79.8,-,88,0,"2, 489, 942"
,"SP 4. Rural
electrification",,"51, 700, 000",-,"42, 512, 423",-,82.2,88,0,-
,"SP 5. Installation &
maintenance of energy
infra",,"61, 988, 487",-,"39, 607, 336",-,63.9,88,0,-
Programme 3.,,,-,"3, 101, 348",-,44.8,-,88,0,"6, 915, 000"
,"SP 1. Forest
development &
management services",,-,"3, 101, 348",-,44.8,-,88,0,"6, 915, 000"
Programme 4.,,,"247, 043, 208","1, 624, 543","73, 679, 298",64.7,29.8,88,0,"2, 512, 500"
,"SP 1. Urban water and
sewerage",,"18, 998, 385","1, 624, 543","6, 169, 347",64.7,32.5,88,0,"2, 512, 500"
,"SP 2. Rural water
supply",,"201, 644, 823",-,"14, 554, 957",-,7.2,88,0,-
,"SP 4. Water systems
operations &
maintenance",,"26, 400, 000",-,"52, 954, 994",-,200.6,88,0,-
Programme 5.,,,-,"1, 001, 010",-,42.8,-,88,0,"2, 339, 320"
,"SP 1. Irrigation
infrastructure
development",,-,"1, 001, 010",-,42.8,-,88,0,"2, 339, 320"
Programme 6.,,,"22, 771, 169",-,"3, 395, 150",-,14.9,88,0,-
,"SP 2. Afforestation and
Agro- forestation",,"15, 399, 974",-,"1, 043, 350",-,6.8,88,0,-
,"SP 3. Catchment &
watershed conservation",,"7, 371, 195",-,"2, 351, 800",-,31.9,88,0,-
Programme 7.,,,"274, 362, 903","1, 379, 920","148, 347, 699",115.0,54.1,88,0,"1, 200, 568"
,"SP 1. Climate change
mitigation & resilience",,"274, 362, 903","1, 379, 920","148, 347, 699",115.0,54.1,88,0,"1, 200, 568"
Programme 8.,,,"8, 648, 809",-,"1, 546, 076",17.9,-,88,0,-
,"SP 1. Irrigation
infrastructure
development",,"8, 648, 809",-,"1, 546, 076",17.9,-,88,0,-
,Subtotal,,"666, 514, 576","87, 328, 786","309, 087, 767",53.9,46.4,88,0,"161, 899, 790"
Department of Health Services.,,,,,,,,88,0,
Programme 1.,,,-,"1,612,021,377",-,72.7,-,88,0,"2,218,081,052"
,"SP 1. General
administration &
support services",,-,"1,612,021,377",-,72.7,-,88,0,"2,218,081,052"
Programme 3.,,,-,"123, 901, 822",-,80.3,-,88,0,"154, 208, 062"
,"SP 1. Referral health
services",,-,"123, 901, 822",-,80.3,-,88,0,"154, 208, 062"
Programme 5.,,,"220, 068, 376",-,"47, 789, 150",-,21.7,88,0,-
,"SP 1. Diagnostic
services in higher-level
facility",,"68, 588, 000",-,"18, 929, 700",-,27.6,88,0,-
,"SP 3. Infrastructure
development tier 3
facilities",,"151, 480, 376",-,"28, 859, 450",-,19.1,88,0,-
,,,Development,Recurrent,Development,Rec,Dev,89,0,Recurrent
Programme 6.,,,"187, 444, 798",-,"91, 432, 842",-,48.8,89,0,-
,"SP 1. Sanitation and
hygiene",,"6, 000, 000",-,"3, 424, 135",-,57.0,89,0,-
,"SP 2. HIV/AIDS, TB
and malaria",,"6, 000, 000",-,"1, 860, 858",-,31.0,89,0,-
,SP 6. Nutrition,,"38, 466, 970",-,"20, 060, 245",-,52.2,89,0,-
,SP 7. RMNCAH,,"2, 000, 000",-,"350, 000",-,17.5,89,0,-
,"SP 8. Infrastructure
development in tier
2 level",,"119, 877, 878",-,"31, 752, 935",-,26.5,89,0,-
,"SP 9. Lower-level
hospital equipment",,"15, 499, 950",-,"14, 578, 000",-,94.1,89,0,-
,Subtotal,,"407,513,174","1,735,923,198","139, 221, 992",73.2,34.2,89,0,"2,372,289,114"
Department of County Public Service Board.,,,,,,,,89,0,
Programme 1.,,,-,"48, 711, 917",-,48.3,-,89,0,"100, 769, 619"
,"SP 1. General
administration &
support services",,-,"48, 711, 917",-,48.3,-,89,0,"100, 769, 619"
,Subtotal,,-,"48, 711, 917",-,48.3,-,89,0,"100, 769, 619"
Department of Office of the Governor.,,,,,,,,89,0,
Programme 1.,,,-,"278, 724, 672",-,78.7,-,89,0,"354, 157, 435"
,"SP 1. General
administration &
support services",,-,"278, 724, 672",-,78.7,-,89,0,"354, 157, 435"
Programme 14.,,,"43, 580, 175",-,"38, 264, 007",-,87.8,89,0,-
,"SP 1. Disaster
preparedness",,"43, 580, 175",-,"38, 264, 007",-,87.8,89,0,-
,Subtotal,,"43, 580, 175","278, 724, 672","38, 264, 007",78.7,87.8,89,0,"354, 157, 435"
Department of County Assembly.,,,,,,,,89,0,
Programme 1.,,,-,"786, 168, 335",-,88.3,-,89,0,"890, 557, 352"
,"SP 1. General
administration &
support services",,-,"786, 168, 335",-,88.3,-,89,0,"890, 557, 352"
Programme 13.,,,"90, 500, 000",-,"74, 236, 322",-,82.0,89,0,-
,"SP 1. Infrastructure
development",,"90, 500, 000",-,"74, 236, 322",-,82.0,89,0,-
,Subtotal,,"90, 500, 000","786, 168, 335","74, 236, 322",88.3,82.0,89,0,"890, 557, 352"
Department of County Attorney.,,,,,,,,89,0,
Programme 1.,,,-,"58, 453, 141",-,68.2,-,89,0,"85, 751, 725"
,"SP 1. Administration
support & services",,-,"58, 453, 141",-,68.2,-,89,0,"85, 751, 725"
,Sub total,,-,"58, 453, 141",-,68.2,-,89,0,"85, 751, 725"
Strategic partnership and digital economy.,,,,,,,,89,0,
Programme 1.,,,-,"6, 025, 623",-,11.6,-,89,0,"52, 076, 677"
,"SP 1. General
administration &
support services",,-,"6, 025, 623",-,11.6,-,89,0,"52, 076, 677"
Programme 18.,,,"10, 000, 000",-,-,-,-,89,0,-
,"SP 1. General
administration &
support services",,"10, 000, 000",-,-,-,-,89,0,-
,Subtotal,,"10, 000, 000","6, 025, 623",-,11.6,-,89,0,"52, 076, 677"
Grand Total,,,"3,355,409,120","5,445,928,411","2,001,101,575",79.5,59.8,89,0,"6,847,624,146"
