Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support
Services Headquarters","7,580,839","1,480,545","6,366,046","1,476,950",84,100,257,0
"Social Protection, Culture
and Recreation","Planning Development
Control and Infrastructure","64,683,174","83,701,157","64,629,097","75,477,136",100,90,257,0
"Trade Development and
Promotion","Trade, Commerce and
Industrialization",-,"9,580,478",-,"4,338,951",-,45,257,0
Road Transport,"Environment, Culture,
Recreation and
Community Development","20,291,830","5,135,186","19,491,700","5,134,686",96,100,257,0
Total,,"92,555,843","99,897,366","90,486,843","86,427,723",98,87,257,0
Mwingi Town Municipality,,,,,,,,257,0
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support
Services Headquarters","40,802,031","1,607,595","41,543,421","1,607,595",102,100,257,0
"Environmental Policy
Management","Environment, Culture,
Recreation and
Community Development","740,897","8,222,466","689,596","8,222,222",93,100,257,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",258,0
Government Building,"General Administration,
Planning and Support
Services Headquarters","5,777,726","4,744,530","5,931,852","4,724,144",103,100,258,0
Devolution Services,"General Administration,
Planning And Support
Services Headquarters","479,107","2,179,802","454,814.00","2,179,802",95,100,258,0
"Urban And Metropolitan
Development","Planning Development
Control and Infrastructure",,"8,879,517",,"8,879,515",,100,258,0
"Urban And Metropolitan
Development","Planning Development
Control and Infrastructure","17,320,108","6,380,944","11,995,754","6,380,944",69,100,258,0
,,"65,119,869","32,014,854","60,615,437","31,994,222",93,100,258,0
Office Of the Deputy Governor,,,,,,,,258,0
"Performance Contracting,
Disaster and Emergency
Services","Performance Management
& Disaster Mitigation
Headquarters","66,281,731","17,653,942","64,351,001","14,842,851",97,84,258,0
"Tourism Development and
Promotion","Tourism Development and
Mitigation Headquarters","47,939,588","3,781,102","44,230,020","4,638,645",92,123,258,0
"Tourism Development and
Promotion","Tourism Development and
Mitigation Headquarters","31,997,399","11,994,472","29,990,373","11,994,471",94,100,258,0
"General Administration
and Planning","General Administration
and Planning
Headquarters","39,102,141","16,508,885","36,122,902","15,860,657",92,96,258,0
Total,,"185,320,859","49,938,401","174,694,296","47,336,624",94,95,258,0
Ministry Of Water and Irrigation,,,,,,,,258,0
"General Administration
and Planning","General Administration
Headquarters","64,481,730",-,"64,268,188",-,100,,258,0
"Irrigation And Drainage
Infrastructure",Irrigation Headquarters,"15,287,837","336,358,006","14,486,671","286,208,618",95,85,258,0
"Water Resource
Management",Water Headquarters,"14,378,830","329,901,130","5,830,420","267,234,375",41,81,258,0
"Water Resource
Management",Water Headquarters,"21,632,308","123,487,989","20,586,450","110,638,667",95,90,258,0
Total,,"115,780,705","789,747,125","105,171,729","664,081,660",91,84,258,0
Education Training and Skills Development,,,,,,,,258,0
Primary Education,"Basic Education ECDE &
Childcare Facilities","700,375,477","124,140,594","698,542,081","103,409,911",100,83,258,0
"Youth Training and
Development","Polytechnics, Vocational
Centres and Home Craft
Headquarters","117,893,531","67,604,000","117,366,363","54,263,299",100,80,258,0
"Youth Training and
Development","Polytechnics, Vocational
Centres and Home Craft
Headquarters","36,063,512","2,204,000","35,149,026","2,201,100",97,100,258,0
Total,,"854,332,520","193,948,594","851,057,470","159,874,310",100,82,258,0
"Ministry Of Roads, Public Works and Transport",,,,,,,,258,0
"General Administration
and Planning","General Administration
and Planning
Headquarters","129,062,997",-,"127,840,282",-,99,-,258,0
Government Buildings,Public Works,"29,955,290","8,000,000","25,158,284","7,673,918",84,96,258,0
Road Transport,"Road Transport
Headquarters","4,274,000","367,407,070","6,029,681","365,064,545",141,99,258,0
Government Buildings,Public Works,"31,427,760","129,466,400","25,148,955","117,277,479",80,91,258,0
Total,,"194,720,047","504,873,470","184,177,202","490,015,942",95,97,258,0
Ministry Of Trade Industry And MSMS,,,,,,,,258,0
"General Administration
and Support -H/Qs","General Administration
Headquarters","114,188,485","292,244,755","112,781,080","160,050,905",99,55,258,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",259,0
"Trade Development and
Promotion","Trade And Markets
Headquarters","20,646,524",-,"19,711,650",-,95,-,259,0
Cooperatives,Cooperative Headquarters,"53,588,822",-,"32,683,243",-,61,-,259,0
Total,,"188,423,831","292,244,755","165,175,973","160,050,905",88,55,259,0
Ministry Of Energy Environment and Forestry,,,,,,,,259,0
"General Administration
and Planning","General Administration
Headquarters","31,768,904.00",-,"31,825,880.00",-,100,,259,0
"Power Transmission and
Distribution","Energy, Mineral & Natural
Resources","34,798,917.00","10,000,000.00","35,188,824.00","8,779,153.00",101,88,259,0
"Alternative Energy
Technologies","Energy, Mineral & Natural
Resources",-,"64,583,638.00",-,"63,541,783.00",-,98,259,0
"Mineral Resources
Management","Energy, Mineral & Natural
Resources",-,"10,549,632.00",-,"4,219,032.00",-,40,259,0
"Environment Management
and Protection","Environment And
Forestry","3,450,293.00","4,800,000.00","3,230,914.00","4,757,690.00",94,99,259,0
"Environment Management
and Protection","Environment And
Forestry","21,595,602.00","279,839,024.00","21,572,182.00","56,816,651.00",100,20,259,0
Total,,"91,613,716.00","369,772,294.00","91,817,800.00","138,114,309.00",100,37,259,0
Ministry Of Culture Gender Youth ICT Sports and Social Services,,,,,,,,259,0
"General Administration
and Planning","General Administration
Headquarters","40,317,632",-,"40,393,260",-,100,-,259,0
Social Services,"Social Services
Headquarters","2,453,400","27,715,358","2,377,798","23,674,211",97,85,259,0
Culture,Culture Headquarters,"24,932,288","6,474,899","21,802,907","3,890,850",87,60,259,0
Gender,Gender Headquarters,-,"76,240,185",-,"72,317,826",,95,259,0
Sports,Sports Headquarters,"28,979,449","11,950,000","26,692,629","10,377,417",92,87,259,0
ICT & Innovation,ICT Headquarters,"15,812,011","700,000","11,977,591","578,610",76,83,259,0
Total,-,"112,494,780","123,080,442","103,244,185","110,838,914",92,90,259,0
Ministry Of Finance Economic Planning and Revenue Management,,,,,,,,259,0
"Training And Skills
Development","General Administration,
Planning and Support
Services","380,619,631","139,956,716","365,532,903","101,587,735",96,73,259,0
Accounts,Accounts Headquarters,"29,449,800",-,"30,485,877",-,104,-,259,0
Budgetary Supplies,Budgetary Headquarters,"23,798,791",-,"24,837,853",-,104,-,259,0
Economic Planning,"Economic Planning
Headquarters","28,055,576",-,"28,517,227",-,102,-,259,0
Internal Audit,"Internal Audit
Headquarters","10,957,200",-,"11,480,857",-,105,-,259,0
Revenue Management,"Revenue Management
Headquarters","44,858,219",-,"46,633,421",-,104,-,259,0
Total,,"517,739,217","139,956,716","507,488,138","101,587,735",98,73,259,0
Ministry Of Agriculture and Livestock,,,,,,,,259,0
"General Administration
and Planning","General Administration
Headquarters","285,049,220",-,"286,307,193",-,100,,259,0
"Crop Development and
Management",Agriculture Headquarters,"7,299,273","427,799,019.00","7,057,327.00","188,986,218",97,44,259,0
"Agricultural Extension
Services",Agriculture Headquarters,"54,415,320","291,256,173","50,018,148","226,322,785",92,78,259,0
"Agribusiness And
Information Management",Agriculture Headquarters,-,"92,542,032",-,"65,757,767",-,71,259,0
"Fisheries Development and
Management",Livestock Headquarters,"723,997","85,165,660","495,748","7,498,825",68,9,259,0
"Livestock Resources
Management and
Development",Livestock Headquarters,"14,081,942","8,173,650","13,046,061","7,795,750",93,95,259,0
Total,,"361,569,752","904,936,534","356,924,477","496,361,345",99,55,259,0
