Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
,Subtotal,"313, 275, 025","628, 753, 785","229, 927, 389","492, 805, 605",,,517,0
"Department of Water, sanitation, environment, climate change and natural resources.",,,,,,,,517,0
Programme 1.,,"94, 077, 129","415, 522, 350","68, 194, 918","157, 912, 280",,,517,0
,"S.P. 1. General
administration","38, 611, 497",-,"22, 754, 760",-,58.9,-,517,0
,S.P. 2. Water services,"34, 386, 480","414, 522, 350","31, 405, 288","154, 412, 280",91.3,37.3,517,0
,S.P. 3. Forestry,"21, 079, 152","500, 000","14, 034, 870","3, 500, 000",66.6,700,517,0
,Subtotal,"94, 077, 129","415, 522, 350","68, 194, 918","157, 912, 280",-,-,517,0
"Department of Education, youth affairs, gender and social services.",,,,,,,,517,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,518,0
Programme 1.,,"366, 882, 298","337, 783, 920","271, 211, 263","249, 331, 764",,,518,0
,"S.P. 1. General
administration & planning
services","334, 559, 547",-,"238, 536, 478",-,71.3,-,518,0
,S.P. 2. ECDE programmes,"10, 349, 382","237, 863, 554","9, 239, 963","152, 598, 401",89.2,64.1,518,0
,"S.P. 3. Youth polytechnics
& youth training","3, 753, 584","43, 639, 817","2, 819, 306","55, 704, 976",75.1,127.6,518,0
,S.P. 5. Sports,-,"27, 311, 689",-,"31, 274, 829",-,114.5,518,0
,S.P. 7. Social services,"18, 219, 785","28, 968, 860","21, 615, 516","9, 753, 557",118.6,33.7,518,0
,Subtotal,"366, 882, 298","337, 783, 920","271, 211, 263","249, 331, 764",,,518,0
"Department of Lands, Physical Planning, Housing and Urban Development.",,,,,,,,518,0
Programme 2.,,"129, 243, 098","35, 104, 827","74, 572, 165","50, 072, 323",-,-,518,0
,S.P. 1. Physical planning,"67, 394, 533",-,"39, 506, 737",-,58.6,-,518,0
,"S.P. 3. Land surveying and
mapping","11, 470, 000","15, 660, 320","6, 280, 831","6, 320, 000",54.8,40.4,518,0
,S.P. 5. Housing,"6, 615, 000","5, 607, 680","4, 587, 998","11, 500, 000",69.4,205.1,518,0
,"S.P. 6. General
administration, planning
& support","43, 763, 565","13, 836, 827","24, 196, 599","32, 252, 323",55.3,233.1,518,0
,Sub total,"129, 243, 098","35, 104, 827","74, 572, 165","50, 072, 323",,,518,0
"Department of public works, energy, roads and transport.",,,,,,,,518,0
Programme 1.,,"95, 323, 273","902, 308, 563","47, 723, 601","632, 373, 283",,,518,0
,"S.P. 1. General
administration services","4, 536, 199",-,"2, 065, 535",-,45.5,-,518,0
,"S.P. 2. Road development,
maintenance & mgt","89, 377, 074","902, 308, 563","44, 297, 466","632, 373, 283",49.6,70.0,518,0
,"S.P. 3. County government
building services","1, 410, 000",-,"1, 360, 600",-,96.5,-,518,0
,Subtotal,"95, 323, 273","902, 308, 563","47, 723, 601","632, 373, 283",-,-,518,0
"Department of trade, enterprise and Industrialization.",,,,,,,,518,0
Programme 1,,"167, 798, 084","550, 335, 342","98, 486, 747","236, 038, 071",-,-,518,0
,"S.P. 1. General
administration & planning
S","122, 628, 552",-,"69, 546, 836",-,56.7,-,518,0
,"S.P. 2. Trade development
& investment","3, 745, 000",-,"3, 224, 713",-,86.1,-,518,0
,"S.P. 3. Promotion of fair
trade practises","13, 875, 000",-,"12, 543, 778",-,90.4,-,518,0
,"S.P. 5. Cooperative
extension services","25, 863, 532",-,"11, 759, 520",-,45.5,-,518,0
,S.P. 6. Market services,"1, 686, 000","550, 335, 342","1, 411, 900","236, 038, 071",83.7,42.9,518,0
,Subtotal,"167, 798, 084","550, 335, 342","98, 486, 747","236, 038, 071",,,518,0
"Department of tourism, culture, sports and arts.",,,,,,,,518,0
Programme 1.,,-,"189, 447, 655",-,"180, 617, 574",-,-,518,0
,S.P. 5. Sports,-,"189, 447, 655",-,"180, 617, 574",-,95.3,518,0
Programme 2.,,"99, 016, 797","52, 461, 490","52, 264, 398","21, 022, 957",-,-,518,0
,S.P. 2. Tourism,-,"52, 461, 490",-,"21, 022, 957",-,40.0,518,0
,"S.P. 3. General
administration, planning","82, 751, 797",-,"39, 354, 469",-,47.6,-,518,0
,"S.P. 4. Communication
services","9, 550, 000",-,"7, 664, 095",-,80.3,-,518,0
,S.P. 5. Wildlife services,"6, 715, 000",-,"5, 245, 834",-,78.1,-,518,0
