col_0,col_1,col_2,Revised Estimates,col_4,col_5,Expenditure,col_7,col_8,Absorption Rate (%),col_10,page_number,table_index
,,Grand Total,"656,087,439.00","810,767,203.00","1,466,854,642.00","575,883,193.30","434,504,842.30","1,010,388,035.60",88,54,591,0
Program,Sub Program,Description,Recurrent,Development,Gross,Recurrent,Development,Total,"Recurrent
Expenditure","Development
Expenditure",592,0
4318-Uasin Gishu - Health Services,,,,,,,,,,,592,0
406004318,,,-,"10,000,000.00","10,000,000.00",-,-,-,-,-,592,0
,406024310,"Reproductive
maternal,
neonatal, child
and adolescent
health (RMN",-,"10,000,000.00","10,000,000.00",-,-,-,-,-,592,0
407004318,,,-,"468,722,065.00","468,722,065.00",-,"317,480,091.75","317,480,091.75",-,68,592,0
,407014310,"Specialized
Health Care
Services",-,"160,000,000.00","160,000,000.00",-,"49,232,009.60","49,232,009.60",-,31,592,0
,407024310,Health Services,-,"308,722,065.00","308,722,065.00",-,"268,248,082.15","268,248,082.15",-,87,592,0
504004318,,,"2,175,291,089.00",-,"2,175,291,089.00","2,063,256,655.15",-,"2,063,256,655.15",95,-,592,0
,504014310,"Administration
And Support
Services","2,175,291,089.00",-,"2,175,291,089.00","2,063,256,655.15",-,"2,063,256,655.15",95,-,592,0
707004318,,,-,"53,600,000.00","53,600,000.00",-,"5,699,500.00","5,699,500.00",-,11,592,0
,707014310,"Ward
Development
Services",-,"53,600,000.00","53,600,000.00",-,"5,699,500.00","5,699,500.00",-,11,592,0
,,Grand Total,"2,175,291,089.00","532,322,065.00","2,707,613,154.00","2,063,256,655.15","323,179,591.75","2,386,436,246.90",95,61,592,0
"4319-Uasin Gishu - Agriculture, Livestock and Fisheries",,,,,,,,,,,592,0
118004319,,,"330,364,945.00","175,988,763.00","506,353,708.00","314,044,239.60","68,367,320.15","382,411,559.75",95,39,592,0
,118104310,"Crop
Specialization
and
Diversification",-,"10,721,314.00","10,721,314.00",-,"5,399,900.00","5,399,900.00",-,50,592,0
,118044310,"Crop Pest and
Disease Control
Services",-,"5,000,000.00","5,000,000.00",-,"3,000,000.00","3,000,000.00",-,60,592,0
,118064310,"Climate-smart
Agriculture",-,"10,212,611.00","10,212,611.00",-,"10,028,385.50","10,028,385.50",-,98,592,0
,118024310,"Capacity
Building for
Farmers",-,"122,079,662.00","122,079,662.00",-,"22,212,044.15","22,212,044.15",-,18,592,0
,118114310,"Agricultural
Mechanization
Services",-,"4,375,100.00","4,375,100.00",-,"4,225,300.00","4,225,300.00",-,97,592,0
,118034310,"SP Post-harvest
Management
Services","330,364,945.00","23,600,076.00","353,965,021.00","314,044,239.60","23,501,690.50","337,545,930.10",95,100,592,0
707004319,,,-,"13,800,000.00","13,800,000.00",-,"3,454,764.00","3,454,764.00",-,25,592,0
,707014310,"Ward
Development
Services",-,"13,800,000.00","13,800,000.00",-,"3,454,764.00","3,454,764.00",-,25,592,0
,,Grand Total,"330,364,945.00","189,788,763.00","520,153,708.00","314,044,239.60","71,822,084.15","385,866,323.75",95,38,592,0
"4320-Uasin Gishu - Trade, Cooperatives, Tourism, Wildlife",,,,,,,,,,,592,0
110004320,,,"63,137,410.00",-,"63,137,410.00","62,425,452.30",-,"62,425,452.30",99,-,592,0
,110014310,"SP1.1
Administrative
support services","63,137,410.00",-,"63,137,410.00","62,425,452.30",-,"62,425,452.30",99,-,592,0
301004320,,,-,"515,448,253.00","515,448,253.00",-,"255,845,217.40","255,845,217.40",-,50,592,0
Program,Sub Program,Description,Recurrent,Development,Gross,Recurrent,Development,Total,"Recurrent
Expenditure","Development
Expenditure",593,0
,301014310,"Ultra-modern
Wholesale
market with cold
storage go-down",-,"5,448,253.00","5,448,253.00",-,"5,352,468.40","5,352,468.40",-,98,593,0
,301044310,"Development of
wayside Trading
Centres",-,"510,000,000.00","510,000,000.00",-,"250,492,749.00","250,492,749.00",-,49,593,0
308004320,,,"5,000,000.00",-,"5,000,000.00","4,994,700.00",-,"4,994,700.00",100,-,593,0
,308014310,"Tourism
Development
Services","5,000,000.00",-,"5,000,000.00","4,994,700.00",-,"4,994,700.00",100,-,593,0
311004320,,,-,"6,280,032.00","6,280,032.00",-,"2,815,852.00","2,815,852.00",-,45,593,0
,311014310,"Tourism
Promotion and
Marketing",-,"6,280,032.00","6,280,032.00",-,"2,815,852.00","2,815,852.00",-,45,593,0
707004320,,,-,"86,450,000.00","86,450,000.00",-,"72,570,225.00","72,570,225.00",-,84,593,0
,707014310,"Ward
Development
Services",-,"86,450,000.00","86,450,000.00",-,"72,570,225.00","72,570,225.00",-,84,593,0
,,Grand Total,"68,137,410.00","331,646,158.00","676,315,695.00","67,420,152.30","331,231,294.40","398,651,446.70",99,100,593,0
"4321-Uasin Gishu - Education, Social, Cultural, Youths and Sports",,,,,,,,,,,593,0
202004321,,,"705,830,581.00",-,"705,830,581.00","701,742,656.10",-,"701,742,656.10",99,-,593,0
,202044310,"Administrative
and Support
Services","705,830,581.00",-,"705,830,581.00","701,742,656.10",-,"701,742,656.10",99,-,593,0
505004321,,,-,"1,000,000.00","1,000,000.00",-,-,-,-,-,593,0
,505014310,"ECDE
Infrastructure",-,"1,000,000.00","1,000,000.00",-,-,-,-,-,593,0
507004321,,,-,"6,964,366.00","6,964,366.00",-,"11,624,196.65","11,624,196.65",-,167,593,0
,507014310,"Cultural
Preservation and
Development
Services",-,"6,964,366.00","6,964,366.00",-,"11,624,196.65","11,624,196.65",-,167,593,0
510004321,,,-,"27,030,281.00","27,030,281.00",-,"37,282,094.35","37,282,094.35",-,138,593,0
,510014310,"SP Vocational
Training Services",-,"27,030,281.00","27,030,281.00",-,"37,282,094.35","37,282,094.35",-,138,593,0
707004321,,,-,"87,600,000.00","87,600,000.00",-,-,-,-,-,593,0
,707014310,"Ward
Development
Services",-,"87,600,000.00","87,600,000.00",-,-,-,-,-,593,0
,,Grand Total,"705,830,581.00","122,594,647.00","828,425,228.00","701,742,656.10","48,906,291.00","750,648,947.10",99,40,593,0
4322-Uasin Gishu - County Public Service Board,,,,,,,,,,,593,0
110004322,,,"73,789,376.00",-,"73,789,376.00","70,787,671.45",-,"70,787,671.45",96,-,593,0
,110014310,"SP1.1
Administrative
support services","73,789,376.00",-,"73,789,376.00","70,787,671.45",-,"70,787,671.45",96,-,593,0
,,Grand Total,"73,789,376.00",-,"73,789,376.00","70,787,671.45",-,"70,787,671.45",96,-,593,0
4323-Uasin Gishu - County Assembly,,,,,,,,,,,593,0
,0,"Default - Non
Programmatic",-,-,-,"211,522,212.00",-,"211,522,212.00",-,-,593,0
702004323,,,"796,524,510.00","276,532,127.00","1,073,056,637.00","479,482,440.90","226,447,670.95","705,930,111.85",60,82,593,0
Program,Sub Program,Description,Recurrent,Development,Gross,Recurrent,Development,Total,"Recurrent
Expenditure","Development
Expenditure",594,0
,702024310,"Central planning
and M&E
services","796,524,510.00","276,532,127.00","1,073,056,637.00","479,482,440.90","226,447,670.95","705,930,111.85",60,82,594,0
,,Grand Total,"796,524,510.00","276,532,127.00","1,073,056,637.00","691,004,652.90","226,447,670.95","917,452,323.85",87,82,594,0
4324-Uasin Gishu -Economic Planning,,,,,,,,,,,594,0
702004324,,,"147,416,517.00",-,"147,416,517.00","138,030,343.20",-,"138,030,343.20",94,-,594,0
,702014310,"Budget and
Economic Affairs
services","114,456,187.00",-,"114,456,187.00","105,089,473.20",-,"105,089,473.20",92,-,594,0
,702024310,"Central planning
and M&E
services","32,960,330.00",-,"32,960,330.00","32,940,870.00",-,"32,940,870.00",100,-,594,0
709004324,,,"10,000,000.00",-,"10,000,000.00","9,314,725.00",-,"9,314,725.00",93,-,594,0
,709014310,"Kenya Devoluion
Support","10,000,000.00",-,"10,000,000.00","9,314,725.00",-,"9,314,725.00",93,-,594,0
,,Grand Total,"157,416,517.00",-,"157,416,517.00","147,345,068.20",-,"147,345,068.20",94,-,594,0
4325-Administration and Devolution,,,,,,,,,,,594,0
105004325,,,-,"74,085,740.00","74,085,740.00",-,"70,036,765.00","70,036,765.00",-,95,594,0
,105014310,"Office
Accommodation",-,"74,085,740.00","74,085,740.00",-,"70,036,765.00","70,036,765.00",-,95,594,0
110004325,,,"147,602,734.00",-,"147,602,734.00","140,652,334.30",-,"140,652,334.30",95,-,594,0
,110014310,"SP1.1
Administrative
support services","147,602,734.00",-,"147,602,734.00","140,652,334.30",-,"140,652,334.30",95,-,594,0
703004325,,,-,"193,104,244.00","193,104,244.00",-,-,-,-,-,594,0
,703024310,"Employee
support services",-,"193,104,244.00","193,104,244.00",-,-,-,-,-,594,0
,,Grand Total,"147,602,734.00","267,189,984.00","414,792,718.00","140,652,334.30","70,036,765.00","210,689,099.30",95,26,594,0
4326-Youth and Sports Development,,,,,,,,,,,594,0
503004326,,,-,"29,000,000.00","29,000,000.00",-,"29,000,000.00","29,000,000.00",-,100,594,0
,503014310,Sports facilities,-,"29,000,000.00","29,000,000.00",-,"29,000,000.00","29,000,000.00",-,100,594,0
513004326,,,"102,374,155.00","7,127,339.00","109,501,494.00","100,068,306.85","4,199,170.00","104,267,476.85",98,59,594,0
,513014310,"SP Youth
Empowerment",-,"7,127,339.00","7,127,339.00",-,"4,199,170.00","4,199,170.00",-,59,594,0
,513024310,"SP Youth
Development","102,374,155.00",-,"102,374,155.00","100,068,306.85",-,"100,068,306.85",98,-,594,0
514004326,,,"23,951,673.00",-,"23,951,673.00","23,864,820.00",-,"23,864,820.00",100,-,594,0
,514024310,"SPSports
Activities","23,951,673.00",-,"23,951,673.00","23,864,820.00",-,"23,864,820.00",100,-,594,0
707004326,,,-,"84,350,000.00","84,350,000.00",-,"36,982,629.00","36,982,629.00",-,44,594,0
,707014310,"Ward
Development
Services",-,"84,350,000.00","84,350,000.00",-,"36,982,629.00","36,982,629.00",-,44,594,0
,,Grand Total,"126,325,828.00","120,477,339.00","246,803,167.00","123,933,126.85","70,181,799.00","194,114,925.85",98,58,594,0
4327-Uasin Gishu-Co-operatives and Enterprise Development,,,,,,,,,,,594,0
305004327,,,"46,577,998.00",-,"46,577,998.00","34,141,870.55",-,"34,141,870.55",73,-,594,0
,305014310,"Standard
weighbridge","46,577,998.00",-,"46,577,998.00","34,141,870.55",-,"34,141,870.55",73,-,594,0
312004327,,,"14,484,149.00","34,479,440.00","48,963,589.00","9,739,850.00","34,479,440.00","44,219,290.00",67,100,594,0
,312034310,"SP Cooperative
Credit","14,484,149.00","34,479,440.00","48,963,589.00","9,739,850.00","34,479,440.00","44,219,290.00",67,100,594,0
Program,Sub Program,Description,Recurrent,Development,Gross,Recurrent,Development,Total,"Recurrent
Expenditure","Development
Expenditure",595,0
707004327,,,-,"10,000,000.00","10,000,000.00",-,"10,000,000.00","10,000,000.00",-,100,595,0
,707014310,"Ward
Development
Services",-,"10,000,000.00","10,000,000.00",-,"10,000,000.00","10,000,000.00",-,100,595,0
,,Grand Total,"61,062,147.00","44,479,440.00","105,541,587.00","43,881,720.55","44,479,440.00","88,361,160.55",72,100,595,0
4329-Uasin Gishu - Livestock Development and Fisheries,,,,,,,,,,,595,0
104004329,,,-,"4,000,000.00","4,000,000.00",-,"300,000.00","300,000.00",-,8,595,0
,104074310,"Value Addition
and Marketing",-,"4,000,000.00","4,000,000.00",-,"300,000.00","300,000.00",-,8,595,0
110004329,,,"55,030,313.00",-,"55,030,313.00","47,541,604.30",-,"47,541,604.30",86,-,595,0
,110014310,"SP1.1
Administrative
support services","55,030,313.00",-,"55,030,313.00","47,541,604.30",-,"47,541,604.30",86,0,595,0
119004329,,,-,"29,207,133.00","29,207,133.00",-,"9,151,970.00","9,151,970.00",-,31,595,0
,119044310,"Livestock
Development
Services",-,"12,580,000.00","12,580,000.00",-,-,-,-,-,595,0
,119064310,"Livestock
Disease Control",-,"13,000,000.00","13,000,000.00",-,"8,499,770.00","8,499,770.00",-,65,595,0
,119034310,"Value Addition
and Marketing
Services",-,"1,150,000.00","1,150,000.00",-,-,-,-,-,595,0
,119054310,"Livestock
Diversification",-,"2,477,133.00","2,477,133.00",-,"652,200.00","652,200.00",-,26,595,0
120004329,,,-,"862,867.00","862,867.00",-,-,-,-,-,595,0
,120014310,"Fisheries
Production
Services",-,"862,867.00","862,867.00",-,-,-,-,0,595,0
707004329,,,-,"66,226,425.00","66,226,425.00",-,"24,003,723.00","24,003,723.00",-,36,595,0
,707014310,"Ward
Development
Services",-,"66,226,425.00","66,226,425.00",-,"24,003,723.00","24,003,723.00",-,36,595,0
,,Grand Total,"55,030,313.00","100,296,425.00","155,326,738.00","47,541,604.30","33,455,693.00","80,997,297.30",86,33,595,0
4331-Uasin Gishu - Eldoret Municipality,,,,,,,,,,,595,0
110004331,,,"117,261,567.00",-,"117,261,567.00","98,855,538.60",-,"98,855,538.60",84,-,595,0
,110014310,"SP1.1
Administrative
support services","117,261,567.00",-,"117,261,567.00","98,855,538.60",-,"98,855,538.60",84,-,595,0
123004331,,,-,"6,952,727.00","6,952,727.00",-,"4,073,600.00","4,073,600.00",-,59,595,0
,123014310,"SP Urban
Development
and Management
Services",-,"6,952,727.00","6,952,727.00",-,"4,073,600.00","4,073,600.00",-,59,595,0
204004331,,,-,"106,556,260.00","106,556,260.00",-,"69,761,727.00","69,761,727.00",-,65,595,0
,204014310,"Capital roads
investments",-,"106,556,260.00","106,556,260.00",-,"69,761,727.00","69,761,727.00",-,65,595,0
,,Grand Total,"117,261,567.00","113,508,987.00","230,770,554.00","98,855,538.60","73,835,327.00","172,690,865.60",84,65,595,0
4332-Uasin Gishu - Promotive and Preventive Health,,,,,,,,,,,595,0
407004332,,,-,"40,592,204.00","40,592,204.00",-,-,-,-,-,595,0
,407024310,Health Services,-,"40,592,204.00","40,592,204.00",-,-,-,-,-,595,0
Program,Sub Program,Description,Recurrent,Development,Gross,Recurrent,Development,Total,"Recurrent
Expenditure","Development
Expenditure",596,0
504004332,,,"58,570,000.00",-,"58,570,000.00","53,512,345.45",-,"53,512,345.45",91,-,596,0
,504014310,"Administration
And Support
Services","58,570,000.00",-,"58,570,000.00","53,512,345.45",-,"53,512,345.45",91,-,596,0
,,Grand Total,"58,570,000.00","40,592,204.00","99,162,204.00","53,512,345.45",0,"53,512,345.45",91,-,596,0
4333-Uasin Gishu - Energy Environment Climate Change and Natural Resources,,,,,,,,,,,596,0
214004333,,,-,"65,440,008.00","65,440,008.00",-,"46,236,983.00","46,236,983.00",-,71,596,0
,214014310,"SP Energy
Services",-,"65,440,008.00","65,440,008.00",-,"46,236,983.00","46,236,983.00",-,71,596,0
215004333,,,"17,598,659.00","263,364,692.00","280,963,351.00","14,775,306.20","43,393,450.00","58,168,756.20",84,16,596,0
,215014310,"SP
Environmental
Conservation
Services",0,"1,000.00","1,000.00",-,"11,332,290.00","11,332,290.00",-,1133229,596,0
,215054310,"SP Afforestation,
Re-Afforestation
and Agroforestry",-,"30,000,000.00","30,000,000.00",-,"29,884,980.00","29,884,980.00",-,100,596,0
,215044310,"SP Climate
Change Services","17,598,659.00","233,363,692.00","250,962,351.00","14,775,306.20","2,176,180.00","16,951,486.20",84,1,596,0
504004333,,,"12,581,341.00",-,"12,581,341.00","9,739,305.00",-,"9,739,305.00",77,-,596,0
,504014310,"Administration
And Support
Services","12,581,341.00",-,"12,581,341.00","9,739,305.00",-,"9,739,305.00",77,-,596,0
707004333,,,-,"9,000,000.00","9,000,000.00",-,"13,361,525.00","13,361,525.00",-,148,596,0
,707014310,"Ward
Development
Services",-,"9,000,000.00","9,000,000.00",-,"13,361,525.00","13,361,525.00",-,148,596,0
,,Grand Total,"30,180,000.00","337,804,700.00","367,984,700.00","24,514,611.20","102,991,958.00","127,506,569.20",81,30,596,0
4334-Uasin Gishu - Partnership Liason and Linkages,,,,,,,,,,,596,0
114004334,,,"68,550,000.00",-,"68,550,000.00","64,857,192.00",-,"64,857,192.00",95,-,596,0
,114014310,"SP Partnership,
liaisons and
Linkages","68,550,000.00",-,"68,550,000.00","64,857,192.00",-,"64,857,192.00",95,-,596,0
,,Grand Total,"68,550,000.00",-,"68,550,000.00","64,857,192.00",-,"64,857,192.00",95,-,596,0
4335-Uasin Gishu - Gender Social Protection and Culture,,,,,,,,,,,596,0
110004335,,,"35,270,000.00",-,"35,270,000.00","33,846,019.65",-,"33,846,019.65",96,-,596,0
,110014310,"SP1.1
Administrative
support services","35,270,000.00",-,"35,270,000.00","33,846,019.65",-,"33,846,019.65",96,-,596,0
506004335,,,-,"23,480,000.00","23,480,000.00",-,"23,479,995.00","23,479,995.00",-,100,596,0
,506014310,"Social Welfare
and Community
Development",-,"23,480,000.00","23,480,000.00",-,"23,479,995.00","23,479,995.00",-,100,596,0
511004335,,,"36,800,000.00","3,110,252.00","39,910,252.00","36,133,500.00","1,134,500.00","37,268,000.00",98,36,596,0
,511014310,"SP Culture
and Heritage
Services","36,800,000.00","3,110,252.00","39,910,252.00","36,133,500.00","1,134,500.00","37,268,000.00",98,36,596,0
512004335,,,"9,307,200.00","20,000.00","9,327,200.00","8,614,590.00",-,"8,614,590.00",93,-,596,0
,512044310,"SP Gender
Mainstreaming","4,800,000.00",-,"4,800,000.00","4,849,560.00",-,"4,849,560.00",101,-,596,0
Program,Sub Program,Description,Recurrent,Development,Gross,Recurrent,Development,Total,"Recurrent
Expenditure","Development
Expenditure",597,0
,512024310,"SP Social
Protection &
Safety Nets","4,507,200.00","20,000.00","4,527,200.00","3,765,030.00",-,"3,765,030.00",84,-,597,0
707004335,,,-,"24,700,000.00","24,700,000.00",-,"13,954,906.00","13,954,906.00",-,56,597,0
,707014310,"Ward
Development
Services",-,"24,700,000.00","24,700,000.00",-,"13,954,906.00","13,954,906.00",-,56,597,0
,,Grand Total,"81,377,200.00","51,310,252.00","132,687,452.00","78,594,109.65","38,569,401.00","117,163,510.65",97,75,597,0
4336-Uasin Gishu - Housing and Urban Development,,,,,,,,,,,597,0
122004336,,,"2,982,308.00","44,594,520.00","47,576,828.00","1,806,040.00","33,094,520.00","34,900,560.00",61,74,597,0
,122014310,"SP Housing
Development
Services","2,982,308.00","44,594,520.00","47,576,828.00","1,806,040.00","33,094,520.00","34,900,560.00",61,74,597,0
123004336,,,"8,938,502.00","619,951,104.00","628,889,606.00","6,727,770.00","299,340,797.25","306,068,567.25",75,48,597,0
,123014310,"SP Urban
Development
and Management
Services","8,938,502.00","619,951,104.00","628,889,606.00","6,727,770.00","299,340,797.25","306,068,567.25",75,48,597,0
306004336,,,"38,329,247.00",-,"38,329,247.00","35,978,827.55",-,"35,978,827.55",94,-,597,0
,306014310,"Administration
And Support
Services","38,329,247.00",-,"38,329,247.00","35,978,827.55",-,"35,978,827.55",94,-,597,0
707004336,,,"5,000,000.00","2,500,000.00","7,500,000.00","5,000,000.00",-,"5,000,000.00",100,-,597,0
,707014310,"Ward
Development
Services","5,000,000.00","2,500,000.00","7,500,000.00","5,000,000.00",-,"5,000,000.00",100,-,597,0
,,Grand Total,"55,250,057.00","667,045,624.00","722,295,681.00","49,512,637.55","332,435,317.25","381,947,954.80",90,50,597,0
4337-Uasin Gishu - Lands and Physical Planning,,,,,,,,,,,597,0
121004337,,,-,"10,870,506.00","10,870,506.00",-,"5,933,354.00","5,933,354.00",-,55,597,0
,121014310,"Physical
Planning
Services",-,"10,870,506.00","10,870,506.00",-,"5,933,354.00","5,933,354.00",-,55,597,0
124004337,,,"74,473,755.00","244,187,174.00","318,660,929.00","71,191,938.75","123,748,065.00","194,940,003.75",96,51,597,0
,124024310,Survey Services,0,"15,187,174.00","15,187,174.00",0,"3,998,065.00","3,998,065.00",-,26,597,0
,124014310,"SP Land
Management and
Administration
Services","74,473,755.00","229,000,000.00","303,473,755.00","71,191,938.75","119,750,000.00","190,941,938.75",96,52,597,0
707004337,,,-,"66,150,000.00","66,150,000.00",-,"8,000,000.00","8,000,000.00",-,12,597,0
,707014310,"Ward
Development
Services",-,"66,150,000.00","66,150,000.00",-,"8,000,000.00","8,000,000.00",-,12,597,0
,,Grand Total,"74,473,755.00","321,207,680.00","395,681,435.00","71,191,938.75","137,681,419.00","208,873,357.75",96,43,597,0
"4338-Uasin Gishu - Water, Irrigation and Sanitation",,,,,,,,,,,597,0
707004338,,,-,"341,325,964.00","341,325,964.00",-,"154,025,272.50","154,025,272.50",-,45,597,0
,707014310,"Ward
Development
Services",-,"341,325,964.00","341,325,964.00",-,"154,025,272.50","154,025,272.50",-,45,597,0
901004338,,,"174,077,746.00",-,"174,077,746.00","166,794,031.00",-,"166,794,031.00",96,-,597,0
,901014310,"Drilling of
boreholes","174,077,746.00",-,"174,077,746.00","166,794,031.00",-,"166,794,031.00",96,-,597,0
