Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 30th
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",274,0
,"501043060 - Infrastructure
Development",-,"208,026,165",-,"77,393,312",-,37,274,0
,"501013060 - Early childhood
and development","63,654,884",-,"25,654,270",-,40,-,274,0
502003069,"502013060 - Administration
Planning and support
services","49,906,680","222,360,702","24,697,828","126,092,859",49,57,274,0
,"502023060 - Personnel
Services","640,808,811",-,"592,299,931",-,92,,274,0
503003069,"503023060 - Infrastructure
Development",-,"85,888,315",-,"36,017,758",,42,274,0
,503013060 - Administration,"12,200,000",-,"5,340,293",-,44,-,274,0
504003069,"504013060 - Scholarship and
Bursary","506,210,000",-,"506,210,000",-,100,-,274,0
Total,,"1,272,780,375","516,275,182","1,154,202,321","239,503,929",91,46,274,0
Vote:3070-Kwale - Water and Urban Planning and Decentralized Units,,,,,,,,274,0
305003070,"305023060 - Administration
Services",-,-,-,-,-,-,274,0
701003070,"701013060 - Administration
and support services",-,-,-,-,-,-,274,0
902003070,"902043060 - Administration
and Support Services",-,-,-,-,-,-,274,0
1001003070,"1001033060 - Development
of Borehole water supply
systems",-,"149,154,025",-,"66,136,547",-,44,274,0
,"1001063060 - Community
Water Project",-,"35,920,000",-,"27,831,628",-,77,274,0
,"1001023060 - Construction
and maintenance of water
pipeline supply systems",-,"135,690,375",-,"61,586,850",-,45,274,0
,"1001043060 - Development/
Construction of Surface
water supply systems",-,"176,126,975",-,"64,815,733",-,37,274,0
,"1001013060 - Assessment,
Survey and Design of Water
sources/supply systems",-,-,-,-,-,-,274,0
,"1001053060 - Construction
and maintenance of
Rainwater Harvesting
systems",-,-,-,-,-,-,274,0
,"1002023060 - Administration
Services","90,508,372","1,208,211,345","63,298,088","912,430,069",70,76,274,0
,"1002013060 - Personnel
Services","49,230,993",-,"44,739,366",-,91,-,274,0
Total,,"139,739,365","1,705,102,720","108,037,454","1,132,800,827",77,66,274,0
Vote:3071-Kwale - Infrastructure and Public Works,,,,,,,,274,0
101003071,"101023060 - Coordination
of Urban infrastructure
development",-,-,-,-,-,-,274,0
102003071,"102053060 - General
administration and support
services",-,-,-,-,-,-,274,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",275,0
,"102063060 - Personnel
Services",-,-,-,-,-,-,275,0
103003071,"103013060 - Improvement of
transport and connectivity",-,-,-,-,-,-,275,0
,"103043060 - Administration
and support services",-,-,-,-,-,-,275,0
,"103033060 - Enhanced
lighting in urban centres",-,-,-,-,-,-,275,0
202003071,"202013060 - Rehabilitation of
Roads, Drainage and Bridges",-,"486,369,099",-,"121,521,761",-,25,275,0
,"202033060 - Fire fighting and
Emergency Services",-,-,-,-,-,-,275,0
203003071,"203013060 - Installation of
Street Lighting Facilities",-,"61,229,981",-,"27,687,362",-,45,275,0
305003071,"305013060 - Personnel
Services","68,742,682",-,"61,161,507",-,89,-,275,0
,"305023060 - Administration
Services","96,266,683","300,433,036","48,618,181","189,356,317",51,63,275,0
Total,,"165,009,365","848,032,116","109,779,688","338,565,439",67,40,275,0
Vote:3072-Kwale - ICT and Tourism,,,,,,,,275,0
201003072,"201033060 - Data Center,
information and information
system security.",-,-,-,-,-,-,275,0
302003072,"302013060 - To enhance
the county government's
participation in investment",-,-,-,-,-,-,275,0
304003072,"304013060 - Tourism
promotion","5,732,749","18,457,802","2,856,835","10,816,232",50,59,275,0
,"304023060 - Majimoto eco-
resort",-,-,-,-,-,-,275,0
,"304063060 - Baseline Survey
on Home Stays.",-,-,-,-,-,-,275,0
,"304033060 - Beach
management",-,-,-,-,-,-,275,0
,"304043060 - Kaya
Conservation",-,-,-,-,-,-,275,0
305003072,"305023060 - Administration
Services","51,097,227","54,205,374","6,544,302","23,773,385",13,44,275,0
,"305013060 - Personnel
Services","27,400,616",-,"25,344,487",-,92,-,275,0
307003072,"307013060 - Investment
Promotion Services",-,-,-,-,-,-,275,0
308003072,"308033060 - Data and
Information Security",-,-,-,-,-,-,275,0
,"308013060 - Local Area
Network Installation/ICT
Support","7,760,934","6,981,814","4,014,006","4,966,006",52,71,275,0
,"308023060 - Fibre Optic
Connectivity",-,-,-,-,-,-,275,0
,"308043060 - Radio
Programme",-,-,-,-,-,-,275,0
Total,,"91,991,526","79,644,990","38,759,629","39,555,624",42,50,275,0
Vote:3073-Kwale - County Public Service Board,,,,,,,,275,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",276,0
701003073,"701033060 - General
Administration and Support
Services",-,-,-,-,-,-,276,0
704003073,704013060 - Audit Services,-,-,-,-,-,-,276,0
,"704043060 - General
Administration",-,-,-,-,-,-,276,0
706003073,"706063060 - Staff
Rationalization","6,570,000",-,"5,382,010",-,82,-,276,0
,"706053060 - Human
Resource Planning","3,320,000",-,"1,940,260",-,58,-,276,0
,"706043060 - Compensation
to employees","31,996,290",-,"28,855,185",-,90,-,276,0
,"706033060 - HR
Management and Skill
Development",-,-,-,-,-,-,276,0
,"706013060 - Human
Resource Planning","23,845,000",-,"13,356,532",-,56,-,276,0
,"706023060 - Transformation
of service delivery in the
public service","9,850,000",-,"7,198,100",-,73,-,276,0
Total,,"75,581,290",-,"56,732,086",-,75,-,276,0
Vote:3074-Kwale- Public Service and Administration,,,,,,,,276,0
701003074,"701043060 - County
Coordination Services",-,-,-,-,-,-,276,0
704003074,"704043060 - General
Administration","135,744,173","41,929,989","23,501,563","32,786,958",17,78,276,0
,704013060 - Audit Services,"224,040,583",-,"214,189,012",-,96,-,276,0
706003074,"706043060 - Compensation
to employees",-,-,-,-,,-,276,0
708003074,"708033060 - County
compliance and enforcement","6,605,000",-,"1,865,172",-,28,-,276,0
,708023060 - Devolved Units,-,-,-,-,-,-,276,0
,"708013060 - Public
Participation",-,-,-,-,-,-,276,0
709003074,"709013060 - Infrastructure
Development",-,-,-,-,-,-,276,0
712003074,"712013060 - Sub-County
Admin Msambweni","6,556,000",-,"6,092,500",-,93,-,276,0
,"712023060 - Sub County
Admin Lunga Lunga","6,935,600",-,"6,367,052",-,92,-,276,0
,"712033060 - Sub County
Admin Matuga","5,651,000",-,"8,206,600",-,145,-,276,0
,"712043060 - Sub County
Admin Kinango","8,441,747",-,"5,786,797",-,69,-,276,0
713003074,"713013060 - County garbage
and Cleaning Services","4,045,364",-,"6,570,575",-,162,-,276,0
714003074,"714013060 - General
Administration Livestock
Development","6,020,000",-,"1,740,427",-,29,-,276,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",277,0
Total,,"404,039,467","41,929,989","274,319,698","32,786,958",68,78,277,0
Vote:3075-Municipality of Kwale,,,,,,,,277,0
,"102053060 - General
administration and support
services","14,357,105",-,"5,783,226",-,40,-,277,0
,"102063060 - Personnel
Services",-,-,-,-,-,-,277,0
,"111013060 - Kwale
municipality",-,"101,774,548",-,"72,969,515",-,72,277,0
Total,,"14,357,105","101,774,548","5,783,226","72,969,515",40,72,277,0
Vote:3076-Municipality of Diani,,,,,,,,277,0
102003076,"102053060 - General
administration and support
services","28,104,000",-,"16,446,875",-,59,-,277,0
,"102063060 - Personnel
Services",-,-,-,-,-,-,277,0
112003076,"112013060 - Diani
Municipality",-,"79,102,237",-,"46,984,287",-,59,277,0
Total,,"28,104,000","79,102,237","16,446,875","46,984,287",59,59,277,0
Vote:3077-Kwale - County Attorney,,,,,,,,277,0
,"0 - Default - Non
Programmatic",-,-,"46,700",-,-,-,277,0
704003077,704013060 - Audit Services,-,-,-,-,,-,277,0
,"704043060 - General
Administration","70,163,600",-,"46,287,081",-,66,-,277,0
Total,,"70,163,600",-,"46,333,781",-,66,-,277,0
Vote:3078-Kwale - Lungalunga Municipality,,,,,,,,277,0
102003078,"102053060 - General
administration and support
services","3,898,788","50,601,212","1,151,870","13,475,901",30,27,277,0
104003078,"104013060 - Physical
development plans",-,-,-,-,-,-,277,0
704003078,"704043060 - General
Administration",-,-,-,-,-,-,277,0
,704013060 - Audit Services,-,-,-,-,-,-,277,0
Total,,"3,898,788","50,601,212","1,151,870","13,475,901",30,27,277,0
Vote:3079-Kwale - Kinango Municipality,,,,,,,,277,0
102003079,"102053060 - General
administration and support
services","3,100,000","46,900,000","1,588,983","22,376,722",51,48,277,0
104003079,"104013060 - Physical
development plans",-,-,-,-,-,-,277,0
704003079,"704043060 - General
Administration",-,-,-,-,-,-,277,0
,704013060 - Audit Services,-,-,-,-,-,-,277,0
Total,,"3,100,000","46,900,000","1,588,983","22,376,722",51,48,277,0
Vote:3080-Kwale - Preventive Health Services,,,,,,,,277,0
401003080,"401033060 - TB/HIV/
Malaria","5,605,000",-,-,-,-,-,277,0
,"401043060 - Neglected
tropical diseases","1,000,000",-,-,-,-,-,277,0
