Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,"Supply Chain Man-
agement","9,434,500",-,"9,432,020",-,99.97,-,477,0
,"Internal Audit and Risk
Management","9,650,000",-,"9,646,918",-,99.97,-,477,0
,"Internal Audit Com-
mittee","3,050,000",-,"3,049,400",-,99.98,-,477,0
"Economic Planning and
Development","Economic Devel-
opment Planning,
including KDSP","63,252,640",-,"10,643,317",-,16.83,-,477,0
,"County Statistics and
Data Bank","6,457,000",-,"6,456,200",-,99.99,-,477,0
,"Monitoring and
Evaluation","3,500,000",-,"3,435,419",-,98.15,-,477,0
,"Economic Modelling
and Research","3,000,000",-,"2,999,500",-,99.98,-,477,0
,County Budgeting,"17,370,000",-,"15,790,200",-,90.91,-,477,0
,"Resource Mobilization
and Debt Management","3,300,000",-,"2,799,500",-,84.83,-,477,0
"ICT and E-government
Services","ICT and E-government
Services","8,666,234","6,000,000","5,554,334","1,997,600",64.09,33.29,477,0
Sub Total,,"585,173,643","21,000,000","515,724,051","1,997,600",88.13,9.51,477,0
HEALTH SERVICES,,,,,,,,477,0
"Preventive and Promo-
tive Services","Preventive and Promo-
tive Services","33,030,000",-,"28,190,795",-,85.35,-,477,0
Curative Services,Curative Services,"279,538,700",-,"214,041,854",-,76.57,-,477,0
,"Universal health care
and grants","102,820,000",-,"102,678,702",-,99.86,-,477,0
"General administration,
planning and support
Services","Solid Waste and
Cemeteries","9,293,300","1,500,000","8,708,869",-,93.71,-,477,0
,Infrastructure and Equipment,,"350,594,012",-,"129,458,205",-,36.93,477,0
Subtotal,,"424,682,000","352,094,012","353,620,220","129,458,205",83.27,36.77,477,0
"EDUCATION, CHILDREN, GENDER AFFAIRS, CULTURE & SOCIAL SERVICES",,,,,,,,477,0
Primary education,ECDE,"24,630,000","44,899,376","14,597,769","1,855,013",59.27,4.13,477,0
"Youth Training and
Development","Revitalization of youth
polytechnics","47,404,576","10,300,000","56,268,703",-,118.70,-,477,0
"Culture and library
services","development and pro-
motion of culture","8,610,000","5,000,000","8,080,728",-,93.85,-,477,0
"Children, Gender and
Social Services",Social Services,"42,340,000","7,500,000","27,736,515",-,65.51,-,477,0
,"Children and Gender
Affairs","13,150,000",-,"12,644,201",-,96.15,,477,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Develop-
ment Expen-
diture",478,0
"General administration,
planning and support
services","Alcohol Drinks
Control and Civic
Education","32,443,675","30,604,256","6,971,575","12,519,597",21.49,40.91,478,0
Sub Total,,"168,578,251","98,303,632","126,299,491","14,374,610",74.92,14.62,478,0
"TOURISM, COOPERATIVE DEVELOPMENT, TRADE & INDUSTRIALIZATION",,,,,,,,478,0
"Trade development and
promotion","Financial and Trade
Services","11,850,000","21,825,840","8,742,483",,73.78,-,478,0
,"Nyandarua County
Trade Development
and Investment Au-
thority (NCTDIA)","10,000,000",-,"6,017,039",-,60.17,-,478,0
"Industrial Development
and Investment","Industrial and Enter-
prise Development","7,850,000","201,400,000","7,693,178","50,000,000",98.00,24.83,478,0
,Weights & Measures,"5,700,000",-,"4,649,310",-,81.57,-,478,0
"Cooperative Develop-
ment and management","Cooperative Audit
Extension Services","2,430,000",-,"2,378,330",-,97.87,-,478,0
,"Cooperative Devel-
opment","10,102,800",-,"9,507,775",-,94.11,-,478,0
"Tourism development
and promotion","tourism infrastructure
development","20,206,342","41,940,950","17,061,485","18,606,104",84.44,44.36,478,0
Sub Total,,"68,139,142","265,166,790","56,049,600","68,606,104",82.26,25.87,478,0
"YOUTH, SPORTS AND ARTS",,,,,,,,478,0
Sports,Sports Development,"41,220,000","3,498,020","40,346,739","663,314",97.88,18.96,478,0
Youth Affairs,Youth Affairs,"25,890,527",-,"19,191,933",-,74.13,-,478,0
Arts & Theater,Arts & Theater,"10,150,000",-,"9,147,530",-,90.12,-,478,0
Sub Total,,"77,260,527","3,498,020","68,686,202","663,314",88.90,18.96,478,0
"WATER, ENVIRONMENT, CLIMATE CHANGE AND NATURAL RESOURCES",,,,,,,,478,0
"Water Resource Devel-
opment.","water resource conser-
vation and protection,
infrastructure and
flood control","16,350,000","231,674,708","14,942,030","72,420,593",91.39,31.26,478,0
Environment,"Environmental support
and management","4,900,000","13,854,900","4,572,658","3,997,790",93.32,28.85,478,0
,"Climate change
resilience","29,334,875","168,000,000","6,357,097","84,268,976",21.67,50.16,478,0
,natural resource,"6,450,000","111,988,979","6,394,102","54,679,362",99.13,48.83,478,0
"Irrigation and Drainage
infrastructure","promotion of irrigation
and drainage develop-
ment and management","1,000,000","2,000,000","971,900",-,97.19,-,478,0
Sub Total,,"58,034,875","527,518,587","33,237,787","215,366,721",57.27,40.83,478,0
"TRANSPORT, ENERGY AND PUBLIC WORKS",,,,,,,,478,0
Road transport,"Transport (Including
fuel level, General Ad-
ministration & Support
Services)","44,600,000","623,634,416","44,132,637","507,466,449",98.95,81.37,478,0
,Public Works,"9,962,265","207,982,000","8,019,569","41,739,430",80.50,20.07,478,0
"Alternative energy
technologies","alternative energy
technologies","29,040,000","41,100,000","29,039,996","24,216,836",100.00,58.92,478,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Develop-
ment Expen-
diture",479,0
"General administration,
planning and support
services","Emergency Response &
Preparedness","14,180,000",-,"13,643,468",-,96.22,-,479,0
Housing,Housing,"4,055,800","157,269,359","5,972,150","105,309,302",147.25,66.96,479,0
Sub Total,,"101,838,065","1,029,985,775","100,807,820","678,732,017",98.99,65.90,479,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,,,479,0
"Land policy and
planning",Physical Planning,"13,800,000",-,"5,103,239",-,36.98,-,479,0
,Survey and Mapping,"15,500,000",-,"9,509,486",-,61.35,-,479,0
,"Land Administration
and Management","29,046,100","53,000,000","28,832,993","10,035,000",99.27,18.93,479,0
Urban Development,Urban Development,"3,367,322","83,401,644","4,647,800","67,184,148",138.03,80.55,479,0
Sub Total,,"61,713,422","136,401,644","48,093,518","77,219,148",77.93,56.61,479,0
MUNICIPALITIES,,,,,,,,479,0
Municipalities,Ol'kalou municipality,"9,887,900","18,997,664","8,319,127","10,293,421",84.13,54.18,479,0
,Engineer Municipality,"7,000,000","3,000,000","5,714,440","2,996,000",81.63,99.87,479,0
,"Mairo-Inya Munic-
ipality","8,000,000","3,500,000","3,930,200",-,49.13,-,479,0
Sub Total,,"24,887,900","25,497,664","17,963,767","13,289,421",72.18,52.12,479,0
"AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,479,0
"Crop development and
management","land and crop devel-
opment","70,379,617","469,424,036","58,920,394","204,232,441",83.72,43.51,479,0
,"Seed Potato Production
Unit (SPPU Lab)","19,275,325",-,"3,862,529",-,20.04,-,479,0
"Livestock Resources
Management and
Development","livestock production
and management","34,855,000","139,210,000","24,299,398",-,69.72,-,479,0
,Veterinary Services,"18,950,000","2,000,000","18,796,852",-,99.19,-,479,0
"Fisheries Development
and management","fisheries policy, strategy
and capacity building","3,500,000","1,000,000","1,966,506",-,56.19,-,479,0
"General administration,
planning and support
services","Institution Support
(ATCs)","21,900,000",-,"4,994,339",-,22.81,-,479,0
,"Agriculture Mechani-
zation Services","5,921,800",-,"3,375,813",-,57.01,-,479,0
,"General Administra-
tion and Extension
Services","9,015,383",-,"8,073,776",-,89.56,-,479,0
,"Subsidized Artificial
Insemination","49,750,000",-,"32,690,737",-,65.71,-,479,0
Sub Total,,"233,547,125","611,634,036","156,980,344","204,232,441",67.22,33.39,479,0
Grand Total Executive,,"4,686,765,679","3,071,100,160","4,309,931,208","1,403,939,580",91.96,45.71,479,0
COUNTY ASSEMBLY,,,,,,,,479,0
County Assembly,"Legislative, oversight
and representation","880,285,706","110,000,000","868,972,793","54,943,109",98.71,49.95,479,0
Sub Total,,"880,285,706","110,000,000","868,972,793","54,943,109",98.71,49.95,479,0
Grand Total County,,"5,567,051,385","3,181,100,160","5,178,904,001","1,458,882,689",93.03,45.86,479,0
