Program,Sub Programme,Description,Approved Budget,Actual Expenditure,Absorption (%),page_number,table_index
,701003260,General Administration support services,"4,338,000.00","2,886,498.00",67,527,0
3262001100,,,"1,660,000.00","581,510.00",35,527,0
,701003260,General Administration support services,"1,660,000.00","581,510.00",35,527,0
3263000100,,Headquarters,"92,900,000.00","61,171,295.25",66,527,0
,705003260,Leadership Development Programme,-,-,-,527,0
,704003260,"General Administration and Management of County
Affairs","92,900,000.00","61,171,295.25",66,527,0
,703003260,Decentralized Infrastructure development programme,-,-,-,527,0
,701003260,General Administration support services,-,-,-,527,0
3263000200,,Office of the Deputy Governor,"19,800,000.00","13,844,540.00",70,527,0
,705003260,Leadership Development Programme,-,-,-,527,0
,704003260,"General Administration and Management of County
Affairs","19,800,000.00","13,844,540.00",70,527,0
,101003260,Administration Planning and Support Services,-,-,-,527,0
3263000300,,Special Programmes Unit,"7,700,000.00","2,296,056.00",30,527,0
,704003260,"General Administration and Management of County
Affairs","7,700,000.00","2,296,056.00",30,527,0
,703003260,Decentralized Infrastructure development programme,-,-,-,527,0
,705003260,Leadership Development Programme,-,-,-,527,0
3263000400,,Service Delivery Unit,"950,000.00","553,457.00",58,527,0
,704003260,"General Administration and Management of County
Affairs","950,000.00","553,457.00",58,527,0
3263000500,,Industrialization,"5,500,000.00","2,738,010.00",50,527,0
,705003260,Leadership Development Programme,-,-,-,527,0
,704003260,"General Administration and Management of County
Affairs","5,500,000.00","2,738,010.00",50,527,0
,703003260,Decentralized Infrastructure development programme,-,-,-,527,0
3263000600,,ICT,"5,900,000.00","1,290,786.70",22,527,0
,705003260,Leadership Development Programme,-,-,-,527,0
,704003260,"General Administration and Management of County
Affairs","5,900,000.00","1,290,786.70",22,527,0
,703003260,Decentralized Infrastructure development programme,-,-,-,527,0
3263000700,,,"4,770,000.00","671,391.00",14,527,0
,704003260,"General Administration and Management of County
Affairs","4,770,000.00","671,391.00",14,528,0
3263000800,,,"2,370,000.00","1,052,642.00",44,528,0
,704003260,"General Administration and Management of County
Affairs","2,370,000.00","1,052,642.00",44,528,0
3263000900,,,"11,320,000.00","4,155,267.00",37,528,0
,704003260,"General Administration and Management of County
Affairs","11,320,000.00","4,155,267.00",37,528,0
3264000100,,Headquarters,"76,172,500.00","69,314,621.65",91,528,0
,701003260,General Administration support services,-,-,-,528,0
,707003260,Treasury Development Programme,-,-,-,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services","76,172,500.00","69,314,621.65",91,528,0
3264000200,,County Emergency Fund,"12,000,000.00","8,000,000.00",67,528,0
,701003260,General Administration support services,-,-,-,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services","12,000,000.00","8,000,000.00",67,528,0
,707003260,Treasury Development Programme,-,-,-,528,0
3264000300,,Equalization of Wards Infrastructure,-,-,-,528,0
,707003260,Treasury Development Programme,-,-,-,528,0
3264000400,,Planning,"56,767,597.00","40,164,002.00",71,528,0
,707003260,Treasury Development Programme,-,-,-,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services","56,767,597.00","40,164,002.00",71,528,0
3264000500,,Gratuity Fund,-,-,-,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services",-,-,-,528,0
3264000700,,County Executive Administration,"42,187,056.00","32,000,000.00",76,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services","42,187,056.00","32,000,000.00",76,528,0
,701003260,General Administration support services,-,-,-,528,0
3264000800,,Internal Audit Services,"6,520,000.00","5,168,825.00",79,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services","6,520,000.00","5,168,825.00",79,528,0
3264000900,,Revenue Management,"18,550,000.00","13,306,655.50",72,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services","18,550,000.00","13,306,655.50",72,528,0
,701003260,General Administration support services,-,-,-,528,0
3264001000,,Procurement,"3,307,500.00","2,510,600.00",76,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services","3,307,500.00","2,510,600.00",76,528,0
3264001100,,Accounting Services,"20,720,000.00","17,104,450.00",83,528,0
,701003260,General Administration support services,-,-,-,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services","20,720,000.00","17,104,450.00",83,528,0
3264001200,,Kenya Devolution Support Programme,-,-,-,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services",-,-,-,528,0
,701003260,General Administration support services,-,-,-,528,0
3264001300,,,"222,660,897.00","221,755,538.95",100,528,0
,707003260,Treasury Development Programme,"200,003,951.00","199,173,340.95",100,528,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services","22,656,946.00","22,582,198.00",100,528,0
3265000100,,Headquarters,"462,068,021.00","313,780,938.40",68,528,0
,105003260,Livestock and Fisheries Development,"384,568,021.00","294,196,927.40",77,528,0
,102003260,Development programme,-,-,-,528,0
,101003260,Administration Planning and Support Services,"6,100,000.00","2,875,678.00",47,528,0
,104003260,Agricultural Development Programme,"71,400,000.00","16,708,333.00",23,528,0
3265000200,,Livestock,"7,060,000.00","1,397,875.00",20,529,0
,104003260,Agricultural Development Programme,"3,000,000.00",-,-,529,0
,101003260,Administration Planning and Support Services,"4,060,000.00","1,397,875.00",34,529,0
,105003260,Livestock and Fisheries Development,-,-,-,529,0
,102003260,Development programme,-,-,-,529,0
3265000300,,Fisheries,"1,190,000.00","592,590.00",50,529,0
,101003260,Administration Planning and Support Services,"1,190,000.00","592,590.00",50,529,0
,102003260,Development programme,-,-,-,529,0
,105003260,Livestock and Fisheries Development,-,-,-,529,0
3265000400,,Veterinary,"10,395,272.00","1,723,767.00",17,529,0
,102003260,Development programme,-,-,-,529,0
,105003260,Livestock and Fisheries Development,-,-,-,529,0
,104003260,Agricultural Development Programme,"6,500,000.00",-,-,529,0
,101003260,Administration Planning and Support Services,"3,895,272.00","1,723,767.00",44,529,0
3265000500,,Agribusiness Project (EU Grant),-,-,-,529,0
,105003260,Livestock and Fisheries Development,-,-,-,529,0
,102003260,Development programme,-,-,-,529,0
,104003260,Agricultural Development Programme,-,-,-,529,0
,101003260,Administration Planning and Support Services,-,-,-,529,0
3265000600,,Kenya Climate Smart Agric Program,"90,000,000.00","6,200,000.00",7,529,0
,1001003260,Water and irrigation Development Programme,-,-,-,529,0
,104003260,Agricultural Development Programme,-,-,-,529,0
,105003260,Livestock and Fisheries Development,"90,000,000.00","6,200,000.00",7,529,0
3265000700,,Water,"3,991,302.00","2,491,302.00",62,529,0
,104003260,Agricultural Development Programme,-,-,-,529,0
,105003260,Livestock and Fisheries Development,"3,991,302.00","2,491,302.00",62,529,0
3266000100,,Headquarters,-,-,-,529,0
,105003260,Livestock and Fisheries Development,-,-,-,529,0
,101003260,Administration Planning and Support Services,-,-,-,529,0
3266000300,,Veterinary,-,-,-,529,0
,101003260,Administration Planning and Support Services,-,-,-,529,0
,105003260,Livestock and Fisheries Development,-,-,-,529,0
3266000400,,Fisheries,-,-,-,529,0
,101003260,Administration Planning and Support Services,-,-,-,529,0
,105003260,Livestock and Fisheries Development,-,-,-,529,0
3267000100,,Headquarters,"51,723,780.00","14,322,189.00",28,529,0
,1001003260,Water and Irrigation Development Programme,"47,050,000.00","11,005,679.00",23,529,0
,1002003260,"General Administration, Support and Support Services","4,673,780.00","3,316,510.00",71,529,0
3267000200,,Water Services,-,-,-,529,0
,1002003260,"General Administration, Support and Support Services",-,-,-,529,0
,1001003260,Water and Irrigation Development Programme,-,-,-,529,0
3267000300,,Bulk Water Project,-,-,-,529,0
,1001003260,Water and Irrigation Development Programme,-,-,-,529,0
3267000400,,Ambulance services,"950,000,000.00","363,926,936.00",38,529,0
,1001003260,Water and Irrigation Development Programme,"950,000,000.00","363,926,936.00",38,529,0
3267000500,,Public Health and Sanitation,"23,925,000.00","13,300,000.00",56,529,0
,1001003260,Water and Irrigation Development Programme,"23,925,000.00","13,300,000.00",56,529,0
3267000600,,Promotion of primary healthcare,"123,131,102.00","19,781,094.00",16,529,0
,1003003260,Natural Resources Support Programme,"5,777,600.00","5,338,261.00",92,529,0
,1001003260,Water and Irrigation Development Programme,"102,953,502.00","14,371,333.00",14,529,0
,1002003260,"General Administration, Support and Support Services","11,000,000.00","71,500.00",1,529,0
,901003260,"General administration, Planning & support","3,400,000.00",-,-,529,0
3268000100,,Headquarters,"59,100,000.00","11,707,989.10",20,529,0
,1001003260,Water and Irrigation Development Programme,-,-,-,530,0
,501003260,"General Administration, Planning and Support services","7,300,000.00","2,101,176.15",29,530,0
,502003260,"Early Childhood Education and Youth Training
Development Programme","51,800,000.00","9,606,812.95",19,530,0
3268000200,,Polytechnics,"6,490,000.00","4,126,092.35",64,530,0
,501003260,"General Administration, Planning and Support services","1,490,000.00","879,183.90",59,530,0
,502003260,"Early Childhood Education and Youth Training
Development Programme","5,000,000.00","3,246,908.45",65,530,0
3268000300,,Early Childhood Development,"1,300,000.00","697,833.95",54,530,0
,502003260,"Early Childhood Education and Youth Training
Development Programme",-,-,-,530,0
,301003260,"General Administration and Support Services
Programme",-,-,-,530,0
,501003260,"General Administration, Planning and Support services","1,300,000.00","697,833.95",54,530,0
3268000400,,Library services,"1,300,000.00","572,945.00",44,530,0
,502003260,"Early Childhood Education and Youth Training
Development Programme",-,-,-,530,0
,501003260,"General Administration, Planning and Support services","1,300,000.00","572,945.00",44,530,0
3268000500,,Education Fund,"236,000,000.00","180,811,667.00",77,530,0
,501003260,"General Administration, Planning and Support services","236,000,000.00","180,811,667.00",77,530,0
,502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,530,0
3268000600,,Energy,-,-,-,530,0
,502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,530,0
,501003260,"General Administration, Planning and Support services",-,-,-,530,0
3269000100,,Headquarters,"221,473,000.00","170,395,083.65",77,530,0
,706003260,"General Administration, Planning, Internal Audit &
Support Services",-,-,-,530,0
,704003260,"General Administration and Management of County
Affairs",-,-,-,530,0
,401003260,Administration and Support Services,"148,984,500.00","148,984,500.00",100,530,0
,402003260,Health Development Programme,"72,488,500.00","21,410,583.65",30,530,0
3269000200,,Wesu Hospital,"12,547,260.00","5,443,671.00",43,530,0
,401003260,Administration and Support Services,"12,547,260.00","5,443,671.00",43,530,0
3269000300,,Moi Referral Hospital,"120,223,373.00","36,040,241.00",30,530,0
,401003260,Administration and Support Services,"120,223,373.00","36,040,241.00",30,530,0
3269000400,,Mwatate Hospital,-,-,-,530,0
,401003260,Administration and Support Services,-,-,-,530,0
3269000500,,,-,-,-,530,0
,401003260,Administration and Support Services,-,-,-,530,0
3269000600,,,"18,888,916.00","7,966,748.00",42,530,0
,401003260,Administration and Support Services,"18,888,916.00","7,966,748.00",42,530,0
3269000700,,,-,-,-,530,0
,401003260,Administration and Support Services,-,-,-,530,0
3269000800,,,-,-,-,530,0
,401003260,Administration and Support Services,-,-,-,530,0
3269000900,,,"13,689,992.00","6,872,663.00",50,530,0
,401003260,Administration and Support Services,"13,689,992.00","6,872,663.00",50,530,0
3269001000,,,"28,014,769.00","12,604,393.00",45,530,0
,401003260,Administration and Support Services,"28,014,769.00","12,604,393.00",45,530,0
3269001100,,,"8,318,135.00","3,276,311.00",39,530,0
,401003260,Administration and Support Services,"8,318,135.00","3,276,311.00",39,530,0
,402003260,Health Development Programme,-,-,-,530,0
3270000100,,Headquarters,"12,035,000.00","2,568,701.40",21,530,0
,302003260,Trade Development programme.,"8,600,000.00",-,-,530,0
,301003260,General Administration and support services programme,"3,435,000.00","2,568,701.40",75,531,0
3270000200,,Trade,-,-,-,531,0
,302003260,Trade Development programme.,-,-,-,531,0
,301003260,General Administration and support services programme,-,-,-,531,0
3270000300,,Sports,-,-,-,531,0
,302003260,Trade Development programme.,-,-,-,531,0
,301003260,General Administration and support services programme,-,-,-,531,0
3270000400,,Gender,-,-,-,531,0
,302003260,Trade Development programme.,-,-,-,531,0
,301003260,General Administration and support services programme,-,-,-,531,0
3270000500,,Cooperative,-,-,-,531,0
,302003260,Trade Development programme.,-,-,-,531,0
,301003260,General Administration and support services programme,-,-,-,531,0
3270000600,,Youth Development,-,-,-,531,0
,302003260,Trade Development programme.,-,-,-,531,0
,301003260,General Administration and support services programme,-,-,-,531,0
3270000700,,Culture,-,-,-,531,0
,302003260,Trade Development programme.,-,-,-,531,0
,301003260,General Administration and support services programme,-,-,-,531,0
3270000800,,Markets,-,-,-,531,0
,302003260,Trade Development programme.,-,-,-,531,0
,301003260,General Administration and support services programme,-,-,-,531,0
3270000900,,,"200,000.00","134,682.00",67,531,0
,302003260,Trade Development programme.,-,-,-,531,0
,301003260,General Administration and support services programme,-,-,-,531,0
3270001100,,Weights and Measures,"200,760.00","86,625.00",43,531,0
,301003260,General Administration and support services programme,"200,760.00","86,625.00",43,531,0
3270001200,,,-,-,-,531,0
,301003260,General Administration and support services programme,-,-,-,531,0
,302003260,Trade Development programme.,-,-,-,531,0
3270001300,,Liquor Control and Licensing Fund,-,-,-,531,0
,301003260,General Administration and support services programme,"2,000,000.00","1,273,860.00",64,531,0
3270001400,,,"1,618,850.00","1,001,256.60",62,531,0
,301003260,General Administration and support services programme,"1,618,850.00","1,001,256.60",62,531,0
,302003260,Trade Development programme.,-,-,-,531,0
3271000100,,Headquarters,-,-,-,531,0
,703003260,Decentralized Infrastructure development programme,-,-,-,531,0
,701003260,General Administration support services,-,-,-,531,0
3272000100,,Headquarters,"5,390,000.00","3,941,920.20",73,531,0
,101003260,Administration Planning and Support Services,"5,390,000.00","3,941,920.20",73,531,0
3272000200,,ICT,-,-,-,531,0
,101003260,Administration Planning and Support Services,-,-,-,531,0
,103003260,Infrastructure Development programme,-,-,-,531,0
3272000300,,Roads,-,-,-,531,0
,103003260,Infrastructure Development programme,-,-,-,531,0
,102003260,Development programme,-,-,-,531,0
,101003260,Administration Planning and Support Services,"8,550,000.00","5,569,412.75",65,531,0
3272000400,,Housing,"100,000.00","68,748.25",69,531,0
,103003260,Infrastructure Development programme,-,-,-,531,0
,102003260,Development programme,-,-,-,531,0
,101003260,Administration Planning and Support Services,"100,000.00","68,748.25",69,531,0
3272000500,,Public Works,"300,000.00","215,957.25",72,531,0
,101003260,Administration Planning and Support Services,"300,000.00","215,957.25",72,531,0
