Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure as of 30th June 2024,col_5,Absorption Rate (%),col_7,page_number,table_index
,Sub-Total,"59,429,866","567,850,000","59,302,251","83,166,127",49,14.65,541,0
,"General Administration,
Planning and Support
Services","1,887,000",-,"1,887,000",-,-,-,541,0
,"Empowerment of women
and youth on fish safety
and quality assurance","1,520,000",-,"1,520,000",-,-,-,541,0
Fisheries Development,"Construction of ice plant
and cold storage","16,202,370",-,"16,187,895.20",-,77,-,541,0
,Development,-,"14,727,370",-,"10,000,000",-,67.90,541,0
,Sub-Total,"19,609,370","14,727,370","19,594,895","10,000,000",64,67.90,541,0
,"General Administration,
Planning and Support
Services","2,612,372",-,"2,612,372",-,8,-,541,0
,Extension services,"62,072,388",-,"41,802,162",-,93,-,541,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",542,0
,"Breed improvement and
artificial insemination","2,468,872",-,"2,468,872",,58,-,542,0
,"Veterinary Public Health/
Abattoirs","1,118,500",-,"1,118,500",-,35,-,542,0
,"Leather Development
Services","26,912,712",-,"26,182,846",-,96,-,542,0
,"Control Tsetse fly and
Laboratory Services","2,685,000",-,"2,685,000",-,-,-,542,0
,"Conduct disease sur-
veillance and carry out
timely vaccination","25,382,000","33,875,087","15,382,000","30,000,000",65,88.56,542,0
,Sub-Total,"123,251,844","33,875,087.00","92,251,752","30,000,000",82,88.56,542,0
,"General Administration,
Planning and Support
Services","47,766,440",-,"7,766,440",-,-,-,542,0
,"Livestock Extension
Services","1,805,000","12,000,000.00","1,805,000","12,000,000",21,100.00,542,0
,Animal Husbandry,"4,292,500","145,100,000.00","1,158,900","122,481,405",43,84.41,542,0
,Sub-Total,"53,863,940","157,100,000.00","10,730,340","134,481,405",9,85.60,542,0
,Grand Total,"196,725,154","773,552,457","181,879,239","257,647,532",64,33.31,542,0
"Gender, Social Service and Youth Development",,,,,,,,542,0
Child Protection.,Baseline Survey for OVC,"4,876,000",-,"4,876,000",-,100,-,542,0
,"Community Awareness
creation on Child Rights
and Child Protection","1,250,000",-,"1,250,000",-,100,-,542,0
,"Enhanced Child Partic-
ipation","430,000",-,"430,000",-,100,-,542,0
"Social development
and Protection.",Women empowerment,"461,800",-,"461,800",-,100,-,542,0
,Gender and Leadership,"12,853,200","27,000,000","11,201,490","4,908,480",87,18.18,542,0
,Youth Empowerment,-,-,-,-,,-,542,0
"Sports Training and
Competitions",county Sports leagues,"7,763,447",-,"6,298,130",-,81,-,542,0
,"Sports equipment and
support","1,759,000",-,-,-,-,-,542,0
,Sub-Total,"29,393,447","27,000,000","24,517,420","4,908,480",83,18.18,542,0
"Culture and art devel-
opment","Culture Promotion and
Development","13,350,000","13,000,000","13,350,000","12,267,165",100,94.36,542,0
,"Empowerment/Capac-
ity building of cultural
practitioners","4,940,000",-,"3,031,600",-,61,-,542,0
,Sub-Total,"18,290,000","13,000,000","16,381,600","12,267,165",90,94.36,542,0
"General adminis-
tration, support and
planning","General administration,
support and planning","7,000,000",-,"7,000,000",-,100,-,542,0
,Sub-Total,"7,000,000",-,"7,000,000",-,100,-,542,0
,Grand Total,"54,683,447","40,000,000","47,899,020","17,175,645",88,42.94,542,0
"Education,Vocational training and ECDE",,,,,,,,542,0
"Early Child care
services","ECDE quality education
standards service","1,000,000",-,"484,000",-,48,-,542,0
,"ECDE Access and Reten-
tion Services","46,800,000","15,000,000","25,524,176","10,606,584",55,70.71,542,0
,Sub Total,"47,800,000","15,000,000","26,008,176","10,606,584",54,70.71,542,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",543,0
"Vocational Training
Services","VTC quality standards
training services","9,510,342",-,"9,510,342",-,100,-,543,0
,"Free VTC education and
training","15,156,327",-,"12,156,327",-,80,-,543,0
,Sub Total,"24,666,669",-,"21,666,669",-,88,-,543,0
"General Administra-
tion, Planning and
support services","General Administration,
Planning and support
services","187,800,000","22,535,447","187,800,000","17,907,000",100,79.46,543,0
,Sub-Total,"187,800,000","22,535,447","187,800,000","17,907,000",100,79.46,543,0
"VTC access and reten-
tion of training",Development,-,"118,000,000",-,"62,545,535",-,53.00,543,0
,Sub Total,-,"118,000,000",-,"62,545,535",-,53.00,543,0
,Grand Total,"260,266,669","155,535,447","235,474,845","91,059,119",90,58.55,543,0
Health and Sanitation,,,,,,,,543,0
"Curative and Reha-
bilitative",Medical Supplies,"160,650,000","88,000,000","160,650,000","17,663,731",100,20.07,543,0
,Medical Services,"32,200,000","113,700,000","31,110,495","80,000,000",97,70.36,543,0
,Ambulance services,"11,700,000",-,"7,022,890",-,60,-,543,0
"Preventive and
Promotive","Preventive and Pro-
motive","17,050,041",-,"15,789,657",-,93,-,543,0
,Mobile clinics,"5,800,000",-,"4,883,621",-,84,-,543,0
,"Licensing and control of
undertaking","9,045,859",-,"8,809,902",-,97,-,543,0
,Sub Total,"236,445,900","201,700,000","228,266,565","97,663,731",97,48.42,543,0
"General Administra-
tion, Planning and
support services","General Administration,
Planning and support
services","1,078,619,063",-,"1,078,619,063",-,100,-,543,0
,Development,-,-,-,-,-,-,543,0
,Sub Total,"1,078,619,063",-,"1,078,619,063",-,100,-,543,0
,Grand Total,"1,315,064,963","201,700,000","1,306,885,628","97,663,731",197,48.42,543,0
Special Programme,,,,,,,,543,0
"Drought management
(Preparedness, Re-
sponse, Mitigation and
Recovery",Drought contingency,"3,000,000",-,"3,000,000",-,100,-,543,0
,"Disaster Risk Manage-
ment Fund","154,702,243",-,"154,702,243",-,100,-,543,0
"Social protection and
response to other
disasters","Food distribution and
rations","3,032,392",-,"3,032,392",-,100,-,543,0
,Sub-Total,"160,734,635",-,"160,734,635",-,100,-,543,0
"General Administra-
tion, Planning and
Support Services","General Administration,
Planning and Support
Services","17,500,000",-,"17,500,000",-,100,-,543,0
,Sub-Total,"17,500,000",-,"17,500,000",-,100,-,543,0
,Grand Total,"178,234,635",-,"178,234,635",-,100,-,543,0
Roads and public works,,,,,,,,543,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",544,0
"County Roads Devel-
opment",Routine maintenance,"3,968,466","141,232,356","3,968,466","60,948,719",100,43.15,544,0
,Opening of new roads,"1,688,220","42,200,000","1,688,220",-,100,-,544,0
,"Grading, Murraming and
tarmacking","1,334,710","8,000,000","1,334,710",-,100,-,544,0
,"Monitoring and Eval-
uation","1,843,800",-,"1,843,800",-,100,-,544,0
,Sub-Total,"8,835,196","191,432,356","8,835,196","60,948,719",100,31.84,544,0
"Public works and
services",Public works and services,"17,978,505","376,850,000","17,978,505","252,526,342",100,67.01,544,0
,Sub Total,"17,978,505","376,850,000","17,978,505","252,526,342",100,67.01,544,0
"General Adminis-
tration and Support
Services","General Administration
and Support Services","51,425,038",-,"50,577,948",-,98,-,544,0
,Sub-Total,"51,425,038",-,"50,577,948",-,98,-,544,0
,Grand Total,"78,238,739","568,282,356","77,391,649","313,475,061",99,55.16,544,0
"Water, Environment and Natural Resources",,,,,,,,544,0
,"Environmental Pro-
tection","54,428,041","100,000,000","52,869,393","76,000,000",97,76.00,544,0
,Control of Air Pollution,"1,627,520",-,"386,303",-,24,-,544,0
,Solid Waste Management,"11,696,200","32,500,000","6,958,700",-,59,-,544,0
,Sub-Total,"67,751,761","132,500,000","60,214,396","76,000,000",89,57.36,544,0
"General administra-
tion, planning support","General administration,
planning support","23,635,380",-,"23,635,380",-,100,-,544,0
,Sub-Total,"23,635,380",-,"23,635,380",-,100,-,544,0
Water Services,"Water Management
services","14,564,039","142,050,044","14,564,039","139,314,663",100,98.07,544,0
,"Water Sanitation &
Hygiene","12,965,375","2,549,956","12,965,375","557,794",100,21.87,544,0
,"Storm Water Manage-
ment","3,730,723",-,"3,730,723",-,100,-,544,0
Energy Development,Energy,-,"16,000,000",-,"1,830,550",-,11.44,544,0
,Sub-Total,"31,260,137","160,600,000","31,260,137","141,703,007",100,88.23,544,0
,Grand Total,"122,647,278","293,100,000","115,109,913","217,703,007",94,74.28,544,0
Public service and administration,,,,,,,,544,0
"General Adminis-
tration, support and
planning","General Administration,
support and planning","941,225,666",-,"941,225,666",-,100,-,544,0
"Human Resource &
Development","Performance manage-
ment system","8,200,000",-,"8,200,000",-,100,-,544,0
,"Human resource devel-
opment","181,629,351",-,"181,629,351",-,100,-,544,0
"County Adminis-
tration",Administration,"44,700,000","35,000,000","44,700,000",-,100,-,544,0
,Enforcement,"32,500,000","8,000,000","32,500,000","6,989,000",100,87.36,544,0
Citizen Participation,Citizen Participation,"6,100,000",-,"4,216,363",-,69,-,544,0
,Sub Total,"1,214,355,017","43,000,000","1,212,471,380","6,989,000",100,16.25,544,0
Grand Total,,"1,214,355,017","43,000,000","1,212,471,380","6,989,000",100,16.25,544,0
Lands and physical planning,,,,,,,,544,0
"General Administra-
tion, Planning and
support services","General Administration,
Planning and support
services","1,344,626",-,"1,344,626",-,100,-,544,0
