Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
COUNTY ASSEMBLY,,,,,,,,109,0
"General Administra-
tion, Planning and
Support Services","Administrative
Services","185,521,304","8,918,980","163,457,105","8,684,933",88,-,109,0
"General Administra-
tion, Planning and
Support Services","Legislation, Represen-
tation and Legislative
Oversight","185,521,304","8,918,980","163,457,105","8,684,933",88,-,109,0
"General Administra-
tion, Planning and
Support Services","Representation
Services","185,521,304","8,918,980","163,457,105","8,684,933",88,-,109,0
"General Administra-
tion, Planning and
Support Services","County Assembly
Infrastructure Im-
provement","67,458,037","3,243,061","59,435,198","3,157,958",88,-,109,0
Sub Total,,"624,021,950","30,000,000","549,806,512","29,212,756",88,97,109,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,109,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",110,0
"General Adminis-
tration Planning and
Support Services","Administration,
Planning and Support
Services","387,788,666","667,009","386,412,796","666,671",99,-,110,0
"Economic Policy and
County Planning","Economic Develop-
ment, Planning and
Coordination Services","103,775,820","178,498","103,407,625","178,407",99,-,110,0
"Financial Manage-
ment Services","Control and Man-
agement of Public
Finances","89,820,283","154,494","89,501,602","154,416",99,-,110,0
Sub Total,,"581,384,769","1,000,000","579,322,022","999,494",99,99.,110,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALISATION",,,,,,,,110,0
"General Administra-
tion and Planning","General Adminis-
tration and Support
Services","1,616,920","21,056,920","1,554,294","7,441,037",96,-,110,0
Trade Development,Capacity Development,"4,662,286","60,716,303","4,481,708","21,455,762",96,-,110,0
Trade Development,Weights and measures,"4,662,286","60,716,303","4,481,708","21,455,762",96,-,110,0
Trade Development,Alcohol and licensing,"4,662,286","60,716,303","4,481,708","21,455,762",96,-,110,0
"Industrial Develop-
ment and Investment","Investment promotion
venture","2,860,693","37,254,402","2,749,893","13,164,859",96,-,110,0
"Industrial Develop-
ment and Investment","Promotion of value
addition","2,860,693","37,254,402","2,749,893","13,164,859",96,-,110,0
"Tourism development
and promotion","Tourism Infrastructure
Development","2,340,567","30,480,875","2,249,913","10,771,249",96,-,110,0
"Tourism development
and promotion","International and
domestic Tourism Pro-
motion & Marketing","2,340,567","30,480,875","2,249,913","10,771,249",96,-,110,0
Sub Total,,"26,006,296","338,676,384","24,999,030","119,680,539",96,35,110,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND COOPERATIVE DEVELOPMENT",,,,,,,,110,0
"Administrative Sup-
port Services","General Adminis-
tration and Support
Services","36,571,035","91,953,087","29,155,440","44,881,729",79,-,110,0
"Crop Development
and Management","Agriculture Extension
Services","62,970,717","158,331,636","50,201,997","77,280,684",79,-,110,0
"Crop Development
and Management","Irrigation and civil
works","55,386,908","139,263,140","44,155,975","67,973,471",79,-,110,0
"Livestock Resources
Management and
Development",Livestock productivity,"53,992,575","135,757,272","43,044,374","66,262,278",79,-,110,0
"Livestock Resources
Management and
Development","Value chain develop-
ment","51,253,110","128,869,246","40,860,397","62,900,275",79,-,110,0
"Fisheries Develop-
ment","Promotion of fish
production","15,228,760","38,290,726","12,140,788","18,689,465",79,-,110,0
"Cooperative Develop-
ment & Management","Capacity development
in value addition","15,228,760","38,290,726","12,140,788","18,689,465",79,-,110,0
Sub Total,,"290,631,865","730,755,833","231,699,759","356,677,366",79,49,110,0
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,,,110,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion Services","6,398,065","30,232,873","6,055,985","25,615,997",95,-,110,0
"Water Service De-
livery",Domestic water supply,"12,796,131","60,465,748","12,111,970","51,231,996",95,-,110,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",111,0
"Irrigation and civil
works","Irrigation and civil
works","3,199,033","15,116,437","3,027,992","12,807,999",95,-,111,0
"Environmental
Management and
Conservation","Physical Planning
Services","3,199,033","15,116,437","3,027,992","12,807,999",95,-,111,0
"Forestry and Land-
scapes Conservation","Forestry and Land-
scapes Conservation","3,199,033","15,116,437","3,027,992","12,807,999",95,-,111,0
"Climate Change Miti-
gation and Adaptation","Climate Change Mit-
igation and Adaptation","3,199,033","15,116,437","3,027,992","12,807,999",95,-,111,0
Sub Total,,"31,990,326","151,164,368","30,279,924","128,079,988",95,85,111,0
HEALTH,,,,,,,,111,0
"Curative Health
Services",Primary Healthcare,"1,099,682,962","106,549,947","1,065,426,505","69,170,542",97,-,111,0
"Preventive and
Promotive Health
Services","Health Promotion and
Disease Control","454,242,522","44,012,246","440,092,317","28,572,055",97,-,111,0
"General Adminis-
tration Planning and
Support Services","General Administra-
tion Services","358,615,474","34,746,796","347,444,168","22,557,071",97,-,111,0
Sub Total,,"1,912,540,958","185,308,989","1,852,962,990","120,299,668",97,65,111,0
EMBU LEVEL 5 HOSPITAL,,,,,,,,111,0
"Curative Health
Services",Primary Healthcare,"152,020,646","78,610,431","150,466,305","14,898,363",98,-,111,0
"Preventive and
Promotive Health
Services","Health Promotion and
Disease Control","41,761,037","21,594,785","41,334,050","4,092,675",98,-,111,0
"General Adminis-
tration Planning and
Support Services","General Administra-
tion Services","30,544,717","15,794,785","30,232,412","2,993,451",98,-,111,0
Sub Total,,"224,326,400","116,000,000","222,032,767","21,984,489",99,19,111,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING",,,,,,,,111,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion Services","3,975,587","60,382,342","3,698,012","52,161,566",93,-,111,0
Road Development,Road Development,"25,841,317","392,485,219","24,037,079","339,050,180",93,-,111,0
Public Works,Public Works,"1,987,794","30,191,171","1,849,006","26,080,783",93,-,111,0
"Renewable Energy
Development",Energy,"3,975,587","60,382,342","3,698,012","52,161,566",93,-,111,0
"Transport and
logistics","Transport and Lo-
gistics","3,975,587","60,382,342","3,698,012","52,161,566",93,-,111,0
Sub Total,,"39,755,872","603,823,415","36,980,122","521,615,662",93,86,111,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,,,111,0
"Education Adminis-
tration and Support
Services","Human Resource
Development","25,388,803","12,124,374","24,675,797","10,816,704",97,-,111,0
"Education Adminis-
tration and Support
Services","General Operation
and Maintenance","25,388,803","12,124,374","24,675,797","10,816,704",97,-,111,0
"Education Adminis-
tration and Support
Services","Continuous assess-
ment, monitoring and
Evaluation","25,388,803","12,124,374","24,675,797","10,816,704",97,-,111,0
"Access and Retention
in ECDE Centres","Construction of ECD
Classes.","22,849,923","10,911,936","22,208,217","9,735,034",97,-,111,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",112,0
"Access and Retention
In ECDE Centres","Community mobiliza-
tion and sensitization","22,849,923","10,911,936","22,208,217","9,735,034",97,-,112,0
"Access and Retention
In ECDE Centres","Development and re-
view of nurturing care
ACTS & Policies","22,849,923","10,911,936","22,208,217","9,735,034",97,-,112,0
"Access and Retention
In ECDE Centres","Facilitate school
feeding Programmes/
Reintroduce school
milk programmes","22,849,923","10,911,936","22,208,217","9,735,034",97,-,112,0
"Access and Retention
In ECDE Centres","Provide and improve
on outdoor and indoor
play equipment.","22,849,923","10,911,936","22,208,217","9,735,034",97,-,112,0
"Improve Quality and
Relevance of ECDE
Services","Enhance the use of
digital learning pro-
grammes","7,616,641","3,637,312","7,402,739","3,245,011",97,-,112,0
"Improve Quality and
Relevance of ECDE
Services","Retooling of ECDE
Teachers","7,616,641","3,637,312","7,402,739","3,245,011",97,-,112,0
"Improve Quality and
Relevance of ECDE
Services","Provision of adequate
and relevant learning
materials","7,616,641","3,637,312","7,402,739","3,245,011",97,-,112,0
"Improve Quality and
Relevance of ECDE
Services","Renovation of ECDE
facilities","7,616,641","3,637,312","7,402,739","3,245,011",97,-,112,0
"Improve Quality and
Relevance of ECDE
Services","Improve quality
assurance","7,616,641","3,637,312","7,402,739","3,245,011",97,-,112,0
"Improve on Transition
from Pre-Primary to
Primary School","Develop a county ed-
ucation management
system to track the
transition of children.","47,604,005","22,733,200","46,267,119","20,281,320",97,-,112,0
"Improve on Transition
from Pre-Primary to
Primary School","Sensitisation of
parents and BOMs on
ECDE issues","47,604,005","22,733,200","46,267,119","20,281,320",97,-,112,0
"Increase access and re-
tention in Vocational
training.","Refurbish existing
VTCs","11,424,961","5,455,968","11,104,109","4,867,517",97,-,112,0
"Increase access and re-
tention in Vocational
training.","Construction of
dormitories in existing
VTCs","11,424,961","5,455,968","11,104,109","4,867,517",97,-,112,0
"Increase access and re-
tention in Vocational
training.","Construction of dining
halls and kitchens in
existing VTCs","11,424,961","5,455,968","11,104,109","4,867,517",97,-,112,0
"Increase access and re-
tention in Vocational
training.","Provision of bursaries,
grants, and scholar-
ships","11,424,961","5,455,968","11,104,109","4,867,517",97,-,112,0
"Increase access and re-
tention in Vocational
training.","Provision of modern
tools and equipment","11,424,961","5,455,968","11,104,109","4,867,517",97,-,112,0
Sub Total,,"380,832,042","181,865,603","370,136,953","162,250,561",97,89,112,0
"YOUTH EMPOWERMENT AND SPORTS, GENDER, CULTURE, CHILDREN AND SOCIAL SERVICES",,,,,,,,112,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tive Unit","21,598,954","2,548,484","20,381,397","1,138,015",94,-,112,0
"Gender and Social
Development","Gender mainstream-
ing and Development","26,998,693","3,185,605","25,476,747","1,422,519",94,-,112,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",113,0
Children Services,"Child Rehabilitation
and Custody","17,999,129","2,123,737","16,984,498","948,346",94,-,113,0
"Culture and Cultural
Preservation",Cultural preservation,"23,398,867","2,760,858","22,079,847","1,232,850",94,-,113,0
"Youth Development
and Empowerment
Services","Youth Development
and Empowerment
Services","48,597,647","5,734,089","45,858,144","2,560,534",94,-,113,0
"Management and
development of Sport
and Sport facilities","Community Sports
programme","20,698,998","2,442,297","19,532,173","1,090,598",94,-,113,0
"Management and
Development of Sport
and Sports facilities","Sports administration
and development","20,698,998","2,442,297","19,532,173","1,090,598",94,-,113,0
Sub Total,,"179,991,287","21,237,367","169,844,979","9,483,458",94,44,113,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,,,113,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion Services","6,783,387","5,348,214","6,745,459","3,785,694",99,-,113,0
Physical Planning,"Physical Planning
Services","16,958,467","13,370,535","16,863,649","9,464,235",99,-,113,0
Physical Planning,"Establishment and
Promotion of Land
Policy","6,783,387","5,348,214","6,745,459","3,785,694",99,-,113,0
Urban Development,Urban Development,"27,133,548","21,392,857","26,981,838","15,142,776",99,-,113,0
Municipality of Embu,Municipality of Embu,"3,391,694","2,674,107","3,372,730","1,892,847",99,-,113,0
"Automation of land
records and opera-
tions","Establishment of GIS
(geo-referencing)
Information Station","3,391,694","2,674,107","3,372,730","1,892,847",99,-,113,0
Valuation and Rating,Valuation Roll,"3,391,694","2,674,107","3,372,730","1,892,847",99,-,113,0
Sub Total,,"67,833,870","53,482,142","67,454,595","37,856,940",99,71,113,0
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,,,113,0
"General Adminis-
tration Planning and
Support Services","General Adminis-
tration Planning and
Support Services","8,578,680","5,536,172","5,877,014",-,68,-,113,0
"General Adminis-
tration Planning and
Support Services","Revenue Management
Services","4,282,743","2,763,828","2,933,988",-,68,-,113,0
Sub Total,,"12,861,423","8,300,000","8,811,002",-,68,-,113,0
EMBU MUNICIPAL BOARD,,,,,,,,113,0
"General Administra-
tion, Planning and
Support Services","1) General Adminis-
tration Services","3,054,193","2,651,580","3,054,193","1,393,416",100,-,113,0
Road Transport,"1) Rural Roads
Improvement and
Maintenance Services","45,495,807","39,498,420","45,495,807","20,756,584",100.00,-,113,0
Sub Total,,"48,550,000","42,150,000","48,550,000","22,150,000",100,53,113,0
EMBU - FINANCING LOCALLY LED CLIMATE ACTION PROGRAM,,,,,,,,113,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion Services","9,350,000","79,475,001","9,350,000","18,300,249",100,-,113,0
"Locally Led Climate
Action Program","Environment and
Natural Resource
Management","1,700,000","14,450,000","1,700,000","3,327,318",100,-,113,0
