Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
"Economic Planning and
Coordination Services","Economic Planning
and Coordination
Services","8,296,650",-,"8,075,122",-,97.3,-,362,0
Fleet Management,Fleet Management,"46,507,171",,"38,703,225",-,83.2,-,362,0
Administration Services,"Administration
Services","10,559,465","45,811,393","10,515,639","45,203,238",99.6,98.7,362,0
Sub-Total,,"874,304,073","119,411,393","685,359,906","110,380,508",78.4,92.4,362,0
"AGRICULTURE, LIVESTOCK DEVELOPMENT AND FISHIERIES",,,,,,,,362,0
General Administration,"General
Administration","8,885,900","649,829,090","7,871,336","630,680,991",88.6,97.1,362,0
Livestock,Livestock,"7,093,400","4,000,000","6,288,815",-,88.7,-,362,0
Fisheries,Fisheries,"4,190,840","26,830,261","3,062,410","3,498,975",73.1,13.0,362,0
Agricultural Services,Agricultural Services,"13,780,166",,"10,550,038","15,998,820",76.6,-,362,0
Animal Disease Management,"Animal Disease
Management","4,009,450","18,999,150","2,775,304",-,69.2,-,362,0
"Agricultural Training
Center(KAGURU)","Agricultural Training
Center(KAGURU)",-,"19,932,563",-,"19,932,563",-,100.0,362,0
Sub-Total,,"37,959,756","719,591,064","30,547,903","670,111,349",80.5,93.1,362,0
WATER IRRIGATION ENVIRONMENT & NATURAL RESOURCES,,,,,,,,362,0
Water & Irrigation,Water & Irrigation,"21,171,844","363,447,233","16,768,420","315,041,695",79.2,86.7,362,0
"Environment & Natural
Resources","Environment &
Natural Resources","31,340,608","275,283,321","21,359,561","264,283,322",68.2,96.0,362,0
Sub-Total,,"52,512,452","638,730,554","38,127,981","579,325,017",72.6,90.7,362,0
"EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVELOPMENT",,,,,,,,362,0
Administration Services,"Administration
Services","12,305,470",-,"7,262,800",-,59.0,-,362,0
"Early Childhood Development
Education (ECDE)","Early Childhood
Development
Education (ECDE)","227,650,659","40,264,304","198,856,475","29,528,535",87.4,73.3,362,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",363,0
"Technical and Vocation
Education","Technical and
Vocation Education","7,713,995","48,010,834","4,665,800","36,672,400",60.5,76.4,363,0
Village Polytechnics,Village Polytechnics,"22,573,006",-,"6,146,065",-,27.2,-,363,0
Sub-Total,,"270,243,130","88,275,138","216,931,140","66,200,935",80.3,75.0,363,0
HEALTH SERVICES,,,,,,,,363,0
"General Administration Support
and Planning","General
Administration
Support and Planning","18,481,988",-,"14,395,495",-,77.9,-,363,0
Curative Health,Curative Health,"686,369,487","448,518,185","615,766,319","414,223,560",89.7,92.4,363,0
"Preventive and Promotive
Health","Preventive and
Promotive Health","46,654,450",-,"27,010,827",-,57.9,-,363,0
Sub-Total,,"751,505,925","448,518,185","657,172,641","414,223,560",87.4,92.4,363,0
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC WORKS",,,,,,,,363,0
Lands & Housing,Lands & Housing,"16,837,170","58,580,000","14,652,860","17,391,998",87.0,29.7,363,0
"Physical Planning and Urban
Development","Physical Planning and
Urban Development","14,941,912","125,712,844","11,595,603","121,811,864",77.6,96.9,363,0
Meru Town Municipality,"Meru Town
Municipality","19,931,880",-,"17,695,921",-,88.8,-,363,0
Maua Municipality,Maua Municipality,"9,178,425",-,"6,426,607",-,70.0,-,363,0
Timau Municipality,Timau Municipality,"7,000,000",-,"3,872,100",-,55.3,-,363,0
Public Works,Public Works,"4,522,850","9,948,350","3,615,150","9,343,940",79.9,93.9,363,0
Sub-Total,,"72,412,237","194,241,194","57,858,241","148,547,802",79.9,76.5,363,0
PUBLIC SERVICE ADMINISTRATION & LEGAL AFFAIRS,,,,,,,,363,0
General Administration,"General
Administration","22,309,679",-,"18,187,207",-,81.5,-,363,0
"Coordination of County
Government Functions Sub
County","Coordination of
County Government
Functions Sub County","26,350,934",-,"20,237,168",-,76.8,-,363,0
"County Office Accommodation
and Enforcement Services","County Office
Accommodation and
Enforcement Services","42,378,202",-,"24,042,939",-,56.7,-,363,0
Human Resource,Human Resource,"4,874,754,168","108,838,925","4,871,697,026","100,000,000",99.9,91.9,363,0
"Legal Representation, Advisory
Services and Legislative Process","Legal Representation,
Advisory Services and
Legislative Process","93,432,597",-,"72,972,544",-,78.1,-,363,0
"Town Management &
Administration","Town Management &
Administration","1,100,000",-,"89,980",-,8.2,-,363,0
Sub-Total,,"5,060,325,580","108,838,925","5,007,226,863","100,000,000",99.0,91.9,363,0
"ROADS, TRANSPORT & ENERGY",,,,,,,,363,0
General Administration-Roads,"General
Administration-
Roads","27,920,490","671,434,414","23,637,725","558,072,991",84.7,83.1,363,0
Energy,Energy,"9,969,964","24,849,157","6,021,505","24,299,445",60.4,97.8,363,0
Sub-Total,,"37,890,454","696,283,571","29,659,230","582,372,436",78.3,83.6,363,0
"TRADE, TOURISM & COOPERATIVE DEVELOPMENT",,,,,,,,363,0
Cooperatives Development,"Cooperatives
Development","12,288,600","18,072,588","9,514,028","9,643,343",77.4,53.4,363,0
Tourism,Tourism,"15,696,620",-,"8,070,519",-,51.4,-,363,0
Trade,Trade,"13,667,116","533,026,150","11,756,327","171,159,287",86.0,32.1,363,0
