Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure as of 30th June 2024,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",164,0
,Sub Total,"138,894,297.00","103,000,000.00","118,190,596.00","73,000,000.00",85.1,-,164,0
County Assembly,,,,,,,,164,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","528,518,310.00","183,000,000.00","465,221,735.00","58,775,916.00",0.88,32.1,164,0
"Legislation,
Representation
and Oversight","Legislation,
Representation and
Oversight","361,347,408.00",-,"358,831,152.00",-,0.99,-,164,0
,Sub Total,"889,865,718.00","183,000,000.00","824,052,887.00","58,775,916.00",0.93,32.1,164,0
"Department of Education, Youth and Sport",,,,,,,,164,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","689,966,324.00",-,"644,612,124.00",-,93.4,-,164,0
"Early Childhood
Development",Early Childhood,"39,150,000.00","116,000,000.00","20,476,774.00","35,971,444.00",52.3,31,164,0
"Technical and
Vocational","Technical and
Vocational Training","4,520,880.00","5,000,000.00","1,747,000.00",-,60.8,-,164,0
Youth and Sports,"Sport Training and
Competition","12,764,150.00",-,"7,762,152.00",-,60.8,-,164,0
,Sub Total,"746,401,354.00","121,000,000.00","674,598,050.00","35,971,444.00",90.4,29.7,164,0
"Department of Gender, Cooperative, Culture, Tourism and Wildlife",,,,,,,,164,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","125,593,312.00",-,"89,547,318.00",-,71.3,-,164,0
"Gender
Mainstreaming","Gender
Mainstreaming","22,345,284.00",-,"9,428,935.00",-,42.2,-,164,0
Arts and Culture,Cultural Heritage,"10,421,373.00",-,"1,983,200.00",-,19,-,164,0
,Cultural Activities,"15,049,365.00",-,"5,684,750.00",,37.8,-,164,0
"Local Tourism
and Wildlife","Local Tourism
Promotion
and Wildlife
Management","35,859,150.00",-,"13,154,769.00",-,36.7,-,164,0
"Cooperative
Development","Cooperative
Development","21,115,436.00",-,"5,422,781.00",-,25.7,-,164,0
,Sub Total,"230,383,920.00",-,"125,221,753.00",-,54.4,-,164,0
"Department of Agriculture, Livestock, Veterinary Service and Fisheries",,,,,,,,164,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","191,653,475.00",-,"169,215,709.00",-,88.3,-,164,0
Crop Production,Crop Development,"6,968,118.00","247,054,248.00","3,997,000.00","198,698,763.00",57.4,80.4,164,0
,"Agricultural
Mechanization
Services","7,354,234.00",-,"1,700,000.00",-,23.1,-,164,0
,"Agricultural Training
Centre","2,173,607.00",-,"12,987,180.00",-,597.5,-,164,0
,"Plant Disease
Control","2,722,912.00",-,"434,000.00",-,15.9,-,164,0
,"Agri-Business and
Market Development","2,722,911.00",-,"164,500.00",-,6,-,164,0
Irrigation,Irrigation Service,"10,230,339.00",-,"2,203,976.00",-,21.5,-,164,0
"Livestock
Resources",Animal Husbandry,"7,212,134.00",-,-,-,-,-,164,0
,Livestock Market,"704,960.00","133,839,340.00",-,-,-,-,164,0
,Veterinary Service,"3,568,839.00",-,-,-,-,-,164,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",165,0
,"Animal Disease
Control","49,558,914.00","3,000,000.00","41,966,678.00",-,84.7,-,165,0
Fisheries,Fisheries,"7,250,690.00","12,822,939.00","1,093,000.00",-,15.1,-,165,0
,Sub Total,"292,121,133.00","396,716,527.00","233,762,043.00","198,698,763.00",80,50.1,165,0
"Department of Trade, Investment and Enterprise Development",,,,,,,,165,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","170,767,383.00",-,"165,117,427.00",-,96.7,-,165,0
"Trade
Development",Trade Development,"50,962,535.00","100,000,000.00","46,769,726.00","22,268,013.00",91.8,22.3,165,0
,"Enterprise
Development","1,749,902.00",-,-,-,-,-,165,0
"Cooperative
Enterprise
Development","Cooperative
Development",-,-,-,-,-,-,165,0
,Sub Total,"223,479,820.00","100,000,000.00","211,887,153.00","22,268,013.00",94.8,22.3,165,0
Department of Kajiado Municipality,,,,,,,,165,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","48,474,620.00",-,"43,741,609.00",-,90.2,-,165,0
"Urban
Infrastructure",Urban Infrastructure,"2,384,000.00","108,000,000.00","3,000,000.00","38,201,624.00",125.8,35.4,165,0
"Environmental
Management and
Public Health","Environmental
Management and
Public Health","10,255,667.00",-,"10,984,571.00",-,107.1,-,165,0
,Sub Total,"61,114,287.00","108,000,000.00","57,726,180.00","38,201,624.00",94.5,35.4,165,0
Department of Ngong Municipality,,,,,,,,165,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","78,007,416.00",-,"70,843,777.00",-,90.8,-,165,0
"Urban
Infrastructure",Urban Infrastructure,"3,480,000.00","165,000,000.00","3,039,909.00","114,497,795.00",87.4,69.4,165,0
"Environmental
Management and
Public Health","Environmental
Management and
Public Health","11,466,667.00",-,"12,360,376.00",-,107.8,-,165,0
,Sub Total,"92,954,083.00","165,000,000.00","86,244,062.00","114,497,795.00",92.8,69.4,165,0
County Attorney,,,,,,,,165,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","159,845,888.00",-,"157,274,358.00",-,98.4,-,165,0
,Sub Total,"159,845,888.00",-,"157,274,358.00",-,98.4,-,165,0
Department of Kitengela Municipality,,,,,,,,165,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","33,367,070.00",-,"27,877,161.00",-,83.5,-,165,0
"Urban
Infrastructure",Urban Infrastructure,"850,000.00","90,000,000.00","700,000.00","64,168,380.00",82.3,71.3,165,0
"Environmental
Management and
Public Health","Environmental
Management and
Public Health","11,566,666.00",-,"10,733,110.00",-,92.8,-,165,0
,Sub Total,"45,783,736.00","90,000,000.00","39,310,271.00","64,168,380.00",85.9,71.3,165,0
Grand Total,,"8,040,790,371.00","3,546,695,897.00","6,758,176,687.00","2,038,297,017.00",84,57.5,165,0
