Programme,Sub-Programme,"Approved Budget Estimates FY
2023/24",col_3,"Actual Expenditure as of 30th June,
2024",col_5,Absorption Rate (%),col_7,page_number,table_index,col_8
,Staff Development,"2,600,000",-,"2,430,000",-,93.5,-,374,0,
,"Legal compliance
services","127,499,400",-,"108,477,348",-,85.1,-,374,0,
,Sub- Total,"168,269,400",-,"130,386,748",-,77.5,-,374,0,
"Department of Public Service Management, Monitoring and Evaluation and Performance Contracting",,,,,,,,374,0,
"General
Administration &
Support Services","Administrative Support
Services (PSM)","592,885,934",-,"643,529,148",-,108.5,-,374,0,
,"General Administration
Services (PSB)","70,296,400",-,"58,651,667",-,83.4,-,374,0,
,Field Services,"6,000,000",-,"6,000,000",-,100.0,-,374,0,
,"General Administration
Services (Monitoring)","5,750,000",-,"4,491,660",-,78.1,-,374,0,
,"Efficient Monitoring &
evaluation","10,437,000",-,"6,432,040",-,61.6,-,374,0,
"Human Capital
Management &
Development
Services","Human Resource
Management Services
(PSM)","7,500,000",-,"6,860,906",-,91.5,-,374,0,
,"Human Resource
Management Services
(PSB)","3,500,000",-,"1,499,690",-,42.8,-,374,0,
"Devolved Units
Administration
Services","Devolved Units
Administration Services","28,600,000","20,000,000","26,213,997","13,426,845",91.7,67.1,374,0,
,"Devolution and Regional
Bodies","20,000,000",-,"12,000,000",-,60.0,-,374,0,
"Civic Education &
Public Participation","Civic Education
services","4,500,000",-,"4,500,000",-,100.0,-,374,0,
"Public
Communication
& Records
Management
Services","Record management
programme","2,800,000",-,"2,000,949",-,71.5,-,374,0,
,"Security Enforcement
Services","7,450,000",-,"2,555,042",-,34.3,-,374,0,
,Public Communications,"2,600,000",-,"1,049,495",-,40.4,-,374,0,
"Public Service Board
services","Public Service Board
services","4,909,442",-,"3,246,500",-,66.1,-,374,0,
"National values
& principles of
governance","National values &
principles of governance","600,000",-,"599,925",-,100.0,-,374,0,
"Information &
records management","Records management
services","2,500,000",-,-,-,-,-,374,0,
Pending Bills,Pending Bills,"16,616,123","31,133,306","7,313,880","12,298,706",44.0,39.5,374,0,
,Sub- Total,"786,944,899","51,133,306","786,944,899","25,725,551",100.0,50.3,374,0,
"Agriculture, Livestock, Veterinary Services, Fisheries and Blue Economy",,,,,,,,374,0,
,,,,,,,,374,0,352
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",375,0,
"General
Administration &
Support Services","Administrative Services
(Agric)","170,191,018",-,"167,433,873",-,98.4,-,375,0,
,"Administrative Services
(Livestock)","11,537,562",-,"10,916,822",-,94.6,-,375,0,
,"Administrative
services(vet)","8,008,562",-,"6,892,746",-,86.1,-,375,0,
,"Administrative
services(fisheries)","15,427,400",-,"15,223,864",-,98.7,-,375,0,
"Agricultural Policy
& Planning","Policies & Legal
Framework","1,967,000",-,"1,950,000",-,99.1,-,375,0,
"Agricultural
Extension services","Field extension services
& support","6,236,209",-,"6,004,209",-,96.3,-,375,0,
"Agribusiness
Development","Agribusiness
Development","1,043,000",-,"942,718",-,90.4,-,375,0,
Donor Funds,Donor Funds,-,"425,400,239",-,"11,562,946",-,2.7,375,0,
"Crop Development
& Management","Crop Development &
Management",,"25,262,750",,"21,524,140",-,85.2,375,0,
,"Emerging crop
enterprises",-,-,-,-,-,-,375,0,
"Climate-smart
agriculture","Sorghum & Millet
promotion",-,-,-,-,-,-,375,0,
"Livestock extension
& support services",Extension services,"4,366,000",-,"3,439,998",-,78.8,-,375,0,
"Livestock breeding
& livestock products
improvement","Breeds selection &
artificial insemination","2,224,800","9,375,000","2,224,800","9,044,160",100.0,96.5,375,0,
"Livestock market
development","Market support
infrastructure",-,"700,000",-,-,-,-,375,0,
"Livestock climate
change adaptation &
mitigation","Livestock-focused
climate risk management",-,"3,600,000",-,-,-,-,375,0,
"Livestock disease
& pest control
management",Disease & pest control,-,"9,500,000",-,"729,988",-,7.7,375,0,
,Disease surveillance,-,"3,000,199",-,"2,999,371",-,100.0,375,0,
Donor Funds,Donor Funds(Livestock),-,"14,323,680",-,-,-,-,375,0,
"Market support
infrastructure","Market support
infrastructure",-,"975,000",-,-,-,-,375,0,
"Veterinary public
health",Meat hygiene services,"915,000",-,"915,000",-,100.0,-,375,0,
"Veterinary extension
& clinical services",Extension services,"400,000",-,"400,000",-,100.0,-,375,0,
"Fisheries policy &
planning","Policy & planning
services","1,500,000",-,"1,416,800",-,94.5,-,375,0,
,Licensing services,"300,000",-,"300,000",-,100.0,-,375,0,
"Lakefront
(capture) fisheries
development &
management","Fisheries co-
management services.","1,884,695",-,"1,884,695",-,100.0,-,375,0,
"Extension supports
services","Extension supports
services","1,602,800",-,"1,602,800",-,100.0,-,375,0,
"Fisheries & Blue
Economy","Fisheries & Blue
Economy",-,"42,767,785",-,"18,768,763",-,43.9,375,0,
"Fish safety & quality
assurance",Fish inspection services,"208,000",,"208,000",,100.0,-,375,0,
,"Residue monitoring &
control services","328,000",-,"328,000",-,100.0,-,375,0,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",376,0,
Pending Bills,"Pending Bills
(Agriculture )","498,750","3,818,051","498,750","2,187,551",100.0,57.3,376,0,
Pending Bills,Pending Bills (Livestock),,"4,547,500",-,"4,545,400",-,100.0,376,0,
,Sub- Total,"228,638,796","543,270,204","222,583,075","71,362,319",97.4,13.1,376,0,
"Department of Education, Gender inclusivity, Social services, Youth and Sports",,,,,,,,376,0,
"General
Administration &
Support Services",General administration,"306,049,054",-,"327,868,771",-,107.1,-,376,0,
,"Quality assurance &
standard services","4,406,215",-,"4,466,215",-,101.4,-,376,0,
"Early Childhood
Development
Education Services","Quality assurance &
standard services","16,000,000",-,-,-,-,-,376,0,
,"ECDE co-curriculum
development","4,000,000",-,"4,478,948",-,112.0,-,376,0,
,"School feeding
programme.","2,250,000",-,-,-,-,-,376,0,
,"Community ECD
services",,"32,550,000",-,-,-,-,376,0,
"Education support
services",Bursary/scholarship,"146,000,000",-,"144,853,332",-,99.2,-,376,0,
Child Care Services,"Child protection
responsive services &
care giving support
service","2,500,000",-,"2,914,750",-,116.6,-,376,0,
"Youth development
& empowerment","Technical, vocational,
education & training","20,000,000","42,596,350","20,000,000","24,096,390",100.0,56.6,376,0,
,"Youth empowerment
program","9,000,000",-,"6,142,146",-,68.2,-,376,0,
,"Youth enterprise
development","3,000,000",-,"3,427,300",-,114.2,-,376,0,
Sports Development,"Sports Development
Services","3,000,000","10,000,000","2,772,700",-,92.4,-,376,0,
,"Talent development
Services","1,000,000",-,"152,000",-,15.2,-,376,0,
,Local Sports,"17,000,000",-,"14,995,590",-,88.2,-,376,0,
Pending Bills,Pending Bills,"1,921,946","40,400,786","1,896,946","22,772,698",98.7,56.4,376,0,
"Gender
Development &
Equality Services",Women Empowerment,"4,570,000",-,"5,470,225",-,119.7,-,376,0,
,"Gender-responsive
education support","2,400,000",-,"1,802,640",-,75.1,-,376,0,
,"Adolescent Girls &
women water, sanitation,
& hygiene support
services","1,800,000",-,"2,886,500",-,160.4,-,376,0,
,"People with Disability
(PWDs) Empowerment","5,000,000",-,"5,534,100",-,110.7,-,376,0,
"Culture
Development
Promotion & Arts","Culture & heritage
conservation","1,000,000",-,"1,235,052",-,123.5,-,376,0,
,Sub- Total,"550,897,215","125,547,136","550,897,215","46,869,088",100.0,37.3,376,0,
Department of Medical Services,,,,,,,,376,0,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",377,0,
"Planning &
Administrative
Support Services","Policy formulation,
planning, Monitoring &
evaluation, Research, &
learning.","22,840,000",-,"7,916,200",-,34.7,-,377,0,
,"Administration &
support services","64,683,902",-,"60,139,714",-,93.0,-,377,0,
,"Human Resource
Management &
Development","1,281,219,949",-,"1,283,456,778",-,100.2,-,377,0,
,"Infrastructure & Health
Facility Management",-,"222,544,237",-,"139,218,179",-,62.6,377,0,
,"Health Financing
& Universal Health
Coverage (UHC)
coordination","5,340,000",-,"3,615,400",-,67.7,-,377,0,
,"Standards & Quality
Assurance","2,800,000",-,"3,648,000",-,130.3,-,377,0,
"Preventive &
Promotive Health
Services","Environmental health
services","2,100,000",-,"3,250,000",-,154.8,-,377,0,
,"Human Nutrition &
Dietetics services","3,700,000",-,"3,500,000",-,94.6,-,377,0,
,HIV/AIDS management,"2,900,000",-,"2,700,000",-,93.1,-,377,0,
,TB control,"2,900,000",-,"2,500,000",-,86.2,-,377,0,
,Malaria Control,"3,300,000",-,"3,300,000",-,100.0,-,377,0,
,"Non-Communicable
Diseases (NCDs","2,900,000","4,000,000","2,137,000","4,000,000",73.7,100.0,377,0,
,"Disease surveillance/
Emergency preparedness","2,500,000",-,"2,500,000",-,100.0,-,377,0,
,"Maternal & Reproductive
Health services","4,360,000",-,"3,903,230",-,89.5,-,377,0,
,"Neonatal, Child,
Adolescent & Youth
health services","3,000,000",-,"2,700,000",-,90.0,-,377,0,
,"Expanded Program
for Immunization
(Immunization","4,000,000",-,"4,000,000",-,100.0,-,377,0,
,"Gender-Based Violence
health services","4,200,000",-,"2,600,000",-,61.9,-,377,0,
Pending Bills,Pending Bills,"93,267,995","44,478,239","31,849,534","42,107,024",34.1,94.7,377,0,
Donor Funds,Donor Funds,,"124,723,404",,-,,,377,0,
"Curative,
Rehabilitative &
Referral Services","Ambulance & Referral
Services","16,500,000",-,"4,223,423",-,25.6,,377,0,
,Hospital-Level Services,,"10,000,000",-,-,-,,377,0,
,"Health Products &
Technologies","113,840,996",-,"124,837,157",-,109.7,,377,0,
,"Diagnostic &
rehabilitation Services","26,500,000",-,"26,428,778",-,99.7,,377,0,
,"Health Services
Management Fund","134,000,000","5,000,000","117,602,940","3,204,592",87.8,64.1,377,0,
,Sub- Total,"1,796,852,842","410,745,880","1,696,808,154","188,529,795",94.4,45.9,377,0,
Department of Health Services & Sanitation,,,,,,,,377,0,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",378,0,
"Planning &
Administrative
Support Services","Policy formulation,
planning, Monitoring &
evaluation, Research, &
learning.","23,100,000",-,"21,645,000",,,93.7,378,0,
,"Administration &
support services","34,893,818",-,"32,976,409",,,94.5,378,0,
,"Human Resource
Management &
Development","26,850,000",-,"35,643,469",-,132.8,-,378,0,
,"Infrastructure & Health
Facility Management","17,294,473","100,936,943","19,885,846","52,060,750",115.0,51.6,378,0,
,"Health Financing
& Universal Health
Coverage (UHC)
coordination","9,300,000",-,"8,611,000",-,92.6,-,378,0,
,"Standards & Quality
Assurance","550,000",-,"200,000",-,36.4,-,378,0,
,"Community health
infrastructure
services(CHVs)","32,908,754",-,"32,834,000",-,99.8,-,378,0,
Donor Funds,DANIDA,"26,754,689",-,"12,347,800",,,46.2,378,0,
"Preventive &
Promotive Health
Services","Human Nutrition &
Dietetics services","2,600,000",-,"2,545,991",,,97.9,378,0,
,HIV/AIDS management,"11,970,000",-,"11,820,000",,,98.7,378,0,
,TB control,"1,400,000",-,"1,600,000",,,114.3,378,0,
,Malaria Control,"2,700,000",-,"980,000",-,,36.3,378,0,
,"Non-Communicable
Diseases (NCDs","1,600,000",-,"735,000",-,,45.9,378,0,
,"Disease surveillance/
Emergency preparedness","8,500,000",-,"7,099,500",-,,83.5,378,0,
,"Health promotion &
education","1,800,000",-,"2,218,880",-,,123.3,378,0,
,"Maternal & Reproductive
Health services","4,200,000",-,"1,345,000",-,,32.0,378,0,
,"Neonatal, Child,
Adolescent & Youth
health services","1,400,000",-,"1,550,000",-,,110.7,378,0,
,"Expanded Program
for Immunization
(Immunization)","3,400,000",-,"350,000",-,10.3,-,378,0,
,"Gender-Based Violence
health services","900,000",-,"1,125,000",-,125.0,-,378,0,
,"Neglected Tropical
Diseases services.","1,050,000",-,"975,000",-,92.9,-,378,0,
,"Environmental health
services","2,300,000",-,"2,669,000",-,116.0,-,378,0,
Donor Funds,Donor Funds-THS,"4,801,620",-,-,-,,-,378,0,
Pending Bills,Pending Bills,,"83,826,542",,"83,862,204",,100.0,378,0,
"Curative,
Rehabilitative &
Referral Services","Health Products &
Technologies","88,550,000",-,"71,844,338",-,81.1,-,378,0,
,"Diagnostic &
rehabilitation Services","800,000",-,"495,000",-,61.9,-,378,0,
,Sub- Total,"309,623,354","184,763,485","271,496,232","135,922,954",87.7,73.6,378,0,
"Department of Environment, Natural Resources, Climate Change and Disaster Management",,,,,,,,378,0,
"General
administration &
support services",General administration,"37,967,116",-,"36,114,753",-,95.1,-,378,0,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",379,0,
"Environment
Management &
Protection","Solid Waste Management
Services","9,267,000",-,"9,065,851",-,97.8,-,379,0,
,Garbage Management,"35,000,000",-,"42,721,400",-,122.1,-,379,0,
"Mazingira Youth
Programme","Mazingira Youth
Programme","24,000,000",-,"24,000,000",-,100.0,-,379,0,
Donor Funds,"Climate change response
strategy","15,099,573",-,-,-,-,-,379,0,
"Climate Change
Adaptation &
Mitigation","Climate change response
strategy","121,300,000","716,500,000","85,252,562","174,249,274",70.3,24.3,379,0,
Pending Bills,Pending Bills,"1,300,000",-,"1,000,000",-,76.9,-,379,0,
"Natural Resources
Management
& Forestry
Development",Forestry development,"1,823,223",-,"1,623,200",-,89.0,-,379,0,
,"Artisanal mining &
quarry services",-,-,-,-,-,-,379,0,
,Sub- Total,"245,756,912","716,500,000","199,777,767","174,249,274",81.3,24.3,379,0,
Department of Finance & Economic Planning,,,,,,,,379,0,
"General
administration &
support services","Administrative Services
(Accounting)","438,812,722",-,"499,614,301",-,113.9,-,379,0,
,"Administrative Services
(Procurement)","40,720,000",-,"35,667,700",-,87.6,-,379,0,
,"Administrative
services(Economic)","34,940,000","3,000,000","28,939,580","1,499,520",82.8,50.0,379,0,
"Finance &
Accounting services",Accounting services,"186,840,790",-,"137,909,758",-,73.8,-,379,0,
,"Emergency Activities/
Fund","15,000,000",-,"21,577,090",-,143.8,-,379,0,
"Resource
Mobilization services","Resource Mobilization
services","58,500,000",-,"52,940,815",-,90.5,-,379,0,
,Revenue board services,"6,300,000",-,"4,814,800",-,76.4,-,379,0,
"Supply chain
management
services","Supply chain
management services","5,040,000","7,000,000","3,832,515","2,999,000",76.0,42.8,379,0,
Audit services,Audit services,"48,138,326",-,"46,062,226",-,95.7,-,379,0,
,"Internal Audit
Committee","4,600,000",-,"5,334,420",-,116.0,-,379,0,
"County Asset
Valuation",County Asset Valuation,"10,000,000",-,"10,000,000",-,100.0,-,379,0,
Pending Bills,Pending Bills,"3,799,776","14,121,866","2,400,540","9,036,045",63.2,64.0,379,0,
"Economic Planning
Services","Policy plans &
formulation","18,000,000",-,"18,264,409",-,101.5,-,379,0,
Budgeting Services,"Budget coordination &
management","83,016,061",-,"81,929,522",-,98.7,-,379,0,
"County Statistical
Information Services","County Statistical
Information Services","9,146,243",-,"11,666,243",-,127.6,-,379,0,
"County Budget &
Economic Forum
Services","County Budget &
Economic Forum
Services","10,000,000",-,"10,900,000",-,109.0,-,379,0,
,Sub- Total,"972,853,918","24,121,866","971,853,918","13,534,565",99.9,56.1,379,0,
"Department of Lands, Physical Planning, Housing and Urban Development",,,,,,,,379,0,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",380,0,
"General
administrative
services","Administrative
Services(lands)","39,100,756","30,600,087","34,178,348","5,162,172",87.4,16.9,380,0,
,"Administrative Services
(Physical)","54,381,010","36,400,000","65,291,169","28,618,909",120.1,78.6,380,0,
,"Administrative Services
(Rongo)","11,244,625","10,346,227","7,961,460","1,345,000",70.8,13.0,380,0,
,"Administrative Services
(Kehancha)","12,204,624","5,400,000","8,434,300","3,028,412",69.1,56.1,380,0,
,"Administrative Services
(Migori)","11,244,625","17,505,755","9,339,217",-,83.1,-,380,0,
,"Administrative
Services(Awendo)","11,244,625","21,026,200","11,303,275","7,740,390",100.5,36.8,380,0,
,Board Activities (Rongo),"6,300,000",-,"7,096,944",-,112.6,-,380,0,
,"Board Activities
(Kehancha","6,300,000",-,"7,002,400",-,111.1,-,380,0,
,Board Activities (Migori),"6,300,000",-,"7,765,000",-,123.3,-,380,0,
,"Board Activities
(Awendo)","6,300,000",-,"7,522,000",-,119.4,-,380,0,
"Physical Planning
Services","Physical Planning
Services","8,000,000",-,"9,364,699",-,117.1,-,380,0,
Pending Bills,Pending Bills,"850,000","3,735,203","749,999","3,235,290",88.2,86.6,380,0,
"Urban Development
Services","Urban Development
Services","6,957,244",-,"610,100",-,8.8,-,380,0,
,Sub- Total,"180,427,509","125,013,472","176,618,911","49,130,173",97.9,39.3,380,0,
"Department of Roads, Transport, Public Works and Infrastructural Development",,,,,,,,380,0,
"General
administration &
support services","Administrative
services(roads)","104,249,883",-,"97,063,563",-,93.1,-,380,0,
,"Administrative
services(works)","12,404,251",-,"5,667,260",-,45.7,-,380,0,
"Road Development,
Maintenance &
Management",Mechanization service,-,"92,000,000",-,"89,269,500",-,97.0,380,0,
,Community access roads,-,"120,000,000",-,"117,012,100",-,97.5,380,0,
,Major roads,-,"350,000,000",-,"387,178,147",-,110.6,380,0,
,Other Infrastructure,-,"15,000,000",-,-,-,-,380,0,
,KRB-RMLF,-,"60,442,438",-,-,-,-,380,0,
,"Bridges & culvert
services",-,"30,000,000",-,"27,450,801",-,91.5,380,0,
Pending Bills,Pending Bills,"5,959,600.00","68,769,371","5,959,600.00","68,769,233",100.0,100.0,380,0,
"Transport
Infrastructure
Management
Services","Transport management
services",-,"5,701,864",-,-,,-,380,0,
"Public works
services",Architectural Services,"3,410,000",-,"3,727,620",-,,-,380,0,
,"Building & construction
services.",,"6,500,000",-,"2,499,104",,38.4,380,0,
,"Quantity Surveyor’s
Services","1,880,000",-,"2,106,300",-,112.0,-,380,0,
,"Mechanical & Electrical
Engineering services","1,740,000",-,"2,354,200",-,135.3,-,380,0,
,"Structural engineering
services","1,716,000",-,"2,146,500",-,125.1,-,380,0,
,Mechanization service,"1,020,000",-,"650,700",-,63.8,-,380,0,
,Sub- Total,"132,379,734","748,413,673","119,675,743","692,178,884",90.4,92.5,380,0,
"Department of Trade, Tourism, Industry, Market & Cooperative Development",,,,,,,,380,0,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",381,0,
"Policy, Planning
& administrative
support services","Administrative support
services(trade)","82,403,268",-,"81,686,076",-,99.1,-,381,0,
,"Administrative support
services(industrialization)","3,240,000",-,"4,773,411",-,147.3,-,381,0,
,"Administrative support
services(tourism)","4,649,104",-,"3,412,776",-,73.4,-,381,0,
,"Administrative support
services(cooperative)","4,500,000",-,"4,356,200",-,96.8,-,381,0,
"Trade Promotion,
Development &
Support to SMEs","Trade development
& promotion of SME
services","54,000,000",-,"54,000,000",-,100.0,-,381,0,
,"Trade regulation
& information
management systems","5,629,825",-,"7,104,617",-,,-,381,0,
,"Trade infrastructure
development services",-,"29,626,000",-,"5,657,768",126.2,19.1,381,0,
,Community projects,-,"22,000,000",-,"4,190,686",,19.0,381,0,
"Legal metrology
services",Legal metrology services,"1,660,000",-,"2,064,000",-,124.3,-,381,0,
"Industrial
development &
investment services","Industrial & enterprise
development","800,000","450,000,000","1,284,776","114,463,233",160.6,25.4,381,0,
,"Investment promotion
services.","3,189,106",-,"3,833,992",-,120.2,-,381,0,
Pending Bills,Pending Bills,"499,999","26,084,481","499,999","21,203,266",100.0,81.3,381,0,
"Liquor Licensing
and Control",Alcohol Fund,"5,474,299",-,"1,859,598",-,34.0,-,381,0,
,"Liquor Licensing and
Control","2,000,000",-,"2,300,000",-,115.0,-,381,0,
"Tourism Research &
Development","Tourism product
development","2,940,000",-,"2,725,000",-,92.7,-,381,0,
,"Tourism promotion,
investment & marketing","1,760,000","1,500,000","1,721,000","1,500,000",97.8,100.0,381,0,
"Co-operative Policy,
Research Advisory","Co-operative Policy,
Research Advisory","2,185,788",-,"2,561,700",-,117.2,-,381,0,
"Co-operative
Development &
Promotion Services","Co-operative
Development &
Promotion Services","5,320,000",-,"6,183,000",-,116.2,-,381,0,
Co-operative Audit,Co-operative Audit,"2,154,004",-,"2,485,704",-,115.4,-,381,0,
"Co-operative
Governance,
Oversight and
compliance","Co-operative
Governance, Oversight
and compliance","1,070,206",-,"623,750",-,58.3,-,381,0,
,Sub- Total,"183,475,599","529,210,481","183,475,599","147,014,953",100.0,27.8,381,0,
County Assembly Entity,,,,,,,,381,0,
County Assembly,"General administration,
planning & support
service for all sectors","710,778,413",-,"675,367,390",-,95.0,-,381,0,
,"Oversight Management
services",-,-,-,-,,-,381,0,
,"Governance and
Executive Management",-,-,-,-,,-,381,0,
,Legislative services,-,-,-,,,-,381,0,
Office of the Clerk,"Infrastructure
Development",-,"100,000,000",-,"39,719,735",,39.7,381,0,
,"General administration,
planning & support
services for all sectors",-,-,-,-,,-,381,0,
