Programme,Description,Approved Estimates FY 2023/24,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,"Environmental
Management and
Protection","3,352,050",-,"1,297,940",-,38.7,-,503,0
"Water and sanitation
services",,"89,902,594",-,"78,529,632",-,87.3,-,503,0
,"Storm water
management","81,670,389",-,"73,227,990",-,89.7,-,503,0
,Grand Total,"8,232,205",-,"5,301,642",-,64.4,-,503,0
,,"191,573,517","338,716,050","146,217,670","252,776,503",76.3,74.6,503,0
"Education and
Vocational Training",,-,-,-,-,-,-,503,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,503,0
"Administration,
Planning and
Support Services",,-,-,-,-,-,-,503,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,503,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",504,0
"Bursary
Management
Services",,"240,766,617",-,"212,707,219",-,88.3,-,504,0
,"General Administration
Planning and Support
Services",-,-,-,-,,,504,0
,"Education & Training
Services","240,766,617",-,"212,707,219",-,88.3,-,504,0
"Promotion of
Early Childhood
Education",,"357,053,381","134,595,000","354,805,814","105,556,678",99.4,78.4,504,0
,"Promotion of youth
empowerment","357,053,381","134,595,000","354,805,814","105,556,678",99.4,78.4,504,0
,"Management and
development of Sports
& Sports facilities",-,-,-,-,-,-,504,0
"Sports
Development,
Training &
Competition",,-,-,-,-,-,-,504,0
,"Youth Training and
Development",-,-,-,-,-,-,504,0
"SP1 Revitalization
of Youth
Polytechnics",,"10,445,312","6,404,900","8,397,198","6,404,840",80.4,100.0,504,0
,Grand Total,"10,445,312","6,404,900","8,397,198","6,404,840",80.4,100.0,504,0
,,"608,265,310","140,999,900","575,910,231","101,961,518",94.7,72.3,504,0
"Medical Services,
Public Health &
Sanitation",,-,-,-,-,-,-,504,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,504,0
"Administration,
Planning and
Support Services",,-,-,-,-,-,-,504,0
,"Preventive and
Promotive Health
Services",-,-,-,-,-,-,504,0
"Non-communicable
Disease &
Prevention Control",,"301,050,821",-,"295,716,936",-,98.2,-,504,0
,"Maternal Health
Services","32,518,515",-,"31,497,222",-,96.9,-,504,0
,"Communicable Disease
Control","54,637,138",-,"53,800,687",-,98.5,-,504,0
,"Health Promotive
Services","84,029,736",-,"83,077,151",-,98.9,-,504,0
,"Health curative
Services","129,865,432",-,"127,341,876",-,98.1,-,504,0
"County Referral
Services",,"819,789,457","24,380,389","805,065,824","21,128,240",98.2,86.7,504,0
,"Free Primary
Healthcare","647,659,473","24,380,389","640,101,119","21,128,240",98.8,86.7,504,0
,"Provision Of Essential
Health Services In All
The Levels","150,675,046",-,"146,890,007",-,97.5,-,504,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",505,0
,"General Administration
Planning and Support
Services","21,454,938",-,"18,074,699",-,84.2,-,505,0
"Health Standards
and Quality
Assurance Services",,"241,603,979","268,596,424","233,857,996","198,891,560",96.8,74.0,505,0
,"Research And
Development","76,834,490",-,"75,387,300",-,98.1,-,505,0
,"Health Infrastructure
development","9,056,172",-,"8,143,039",-,89.9,-,505,0
,"Human Resources for
health","9,973,576",-,"9,264,301",-,92.9,-,505,0
,"Health Policy, Planning
& Financing","101,473,482",-,"99,999,514",-,98.5,-,505,0
,,"44,266,259","268,596,424","41,063,842","198,891,560",92.8,74.0,505,0
"Water Catchment
and Protection
Services",,-,-,-,-,,,505,0
,Grand Total,"1,362,444,257","292,976,813","1,334,640,757","220,019,800",98.0,75.1,505,0
"Lands, Housing,
Physical Planning &
Urban Development",,-,-,-,-,-,-,505,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,505,0
"Administration,
Planning and
Support Services",,"122,762,015","5,000,000","83,954,894",-,68.4,-,505,0
,"Land Use Policy and
Planning","122,762,015","5,000,000","83,954,894",-,68.4,-,505,0
"Housing
management
services",,"16,572,824","50,130,000","13,880,713","3,577,600",83.8,7.1,505,0
,GIS Data Base creation,"1,004,955",-,"406,925",-,40.5,-,505,0
,Spatial Planning,-,-,-,-,-,-,505,0
,Survey And Mapping,"7,617,044",-,"7,206,691",-,94.6%,-,505,0
,"Urban Centers
Administration","7,950,825","50,130,000","6,267,097","35,776,000",78.8,71.4,505,0
"Urban center
management",,"34,909,894","36,195,293","31,765,297","22,386,559",91.0,61.8,505,0
,Grand Total,"34,909,894","36,195,293","31,765,297","22,386,559",91.0,61.8,505,0
,,"174,244,733","91,325,293","129,600,904","58,162,559",74.4,63.7,505,0
"Roads, Transport &
Public Works",,-,-,-,-,-,-,505,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,505,0
"Administration,
Planning and
Support Services",,-,-,-,-,-,-,505,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,505,0
"Administrative
services",,"76,292,635",-,"68,063,220",-,89.2,-,505,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",506,0
,"Design,
implementation and
supervision of public
buildings","58,576,209",-,"51,902,697",-,88.6,-,506,0
,Firefighting services,"13,638,860",-,"11,803,239",-,86.5,-,506,0
,"Infrastructure, Roads &
Transport Services","4,077,566",-,"2,357,283",-,57.8,-,506,0
"Street lights
management",,"40,390,197","286,165,308","32,650,163","177,287,028",80.8,62.0,506,0
,"Rehabilitation of Roads,
Drainage and Bridges","16,247,732","16,000,000","15,308,146","14,746,090",94.2,92.2,506,0
,"Public Road transport
and parking","9,927,809","270,165,308","6,442,164","162,540,938",64.9,60.2,506,0
,"Design, supervision
and rehabilitation of
County Buildings","3,920,836",-,"2,987,860",-,76.2,-,506,0
,"General Administration
Planning and Support
Services","10,293,820",-,"7,911,994",-,76.9%,-,506,0
Administration,,-,-,-,-,-,-,506,0
,"Land Use Policy and
Planning",-,-,-,-,-,-,506,0
"Pollution control&
monitoring",,-,-,-,-,-,-,506,0
,"Conservation and
Management of Natural
Ecosystems",-,-,-,-,-,-,506,0
"Storm water
management",,-,-,-,-,-,-,506,0
,"Water and sanitation
services",-,-,-,-,-,-,506,0
,Grand Total,-,-,-,-,-,-,506,0
,,"116,682,832","286,165,308","98,713,383","177,287,028",84.6,62.0,506,0
"Tourism, Trade,
Enterprise
Development &
Cooperatives",,-,-,-,-,-,-,506,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,506,0
"General
administration",,"66,617,224","152,902,650","57,629,512","99,642,928",86.5,65.2,506,0
,"Cooperatives
Development and
Management","66,617,224","152,902,650","57,629,512","99,642,928",86.5,65.2,506,0
"SACCO members'
empowerment",,"27,141,289",-,"18,888,451",-,69.6,-,506,0
,"Enhance Marketing
Co-operatives",-,-,-,-,-,-,506,0
,"Promote Commerce
and Enterprises","27,141,289",-,"18,888,451",-,69.6,-,506,0
"Business
Development
Services for MSE's",,"2,081,500",-,"1,193,573",-,57.3,-,506,0
,"Promotion of Tourism
and Marketing","2,081,500",-,"1,193,573",-,57.3,-,506,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",507,0
"Tourism and
Infrastructure
Development",,"122,837,098",-,"107,849,131",-,87.8,-,507,0
,"Establish &
Management of County
Tourism Information
Centre",-,-,-,-,-,-,507,0
,"Tourism Training &
capacity Building","111,537,098",-,"97,897,244",-,87.8,-,507,0
,"Trade Development
and Promotion","11,300,000",-,"9,951,888",-,88.1%,-,507,0
"Domestic trade
development",,"19,204,771",-,"15,228,267",-,79.3,-,507,0
,"Market development
and promotion of fair
trade services","18,304,771",-,"14,500,567",-,79.2,-,507,0
,"General Administration
Planning and Support
Services","900,000",-,"727,700",-,80.9,-,507,0
"General
Administration
Planning and
Support Services",,"11,531,684","25,161,600","9,989,410","28,338,800",86.6,112.6,507,0
,"General Administration
Planning and Support
Services","11,531,684","25,161,600","9,989,410","28,338,800",86.6,112.6,507,0
,,"249,413,566","178,064,250","210,778,343","127,981,728",84.5,71.9,507,0
"Culture, Social
Services, Gender,
Sports & Youth
Affairs",,-,-,-,-,-,-,507,0
,"Education & Training
Services",-,-,-,-,-,-,507,0
"Promotion of youth
empowerment",,-,-,-,-,-,-,507,0
,"Management and
development of Sports
& Sports facilities",-,-,-,-,-,-,507,0
"Sports
Development,
Training &
Competition",,"61,730,000","29,037,030","55,488,696","24,484,290",89.9,84.3,507,0
,"Public Sector Advisory
Services","61,730,000","29,037,030","55,488,696","24,484,290",89.9,84.3,507,0
"Economic, Social &
Political Advisory
Service",,"4,886,036",-,"3,283,077",-,67.2,-,507,0
,"General Administration
Planning and Support
Services","4,886,036",-,"3,283,077",-,67.2,-,507,0
"General
Administration
Planning and
Support Services",,"60,830,185","25,700,000","46,884,031","19,384,721",77.1,75.4,507,0
,"Community Mobiliza-
tion and Development","60,830,185","25,700,000","46,884,031","19,384,721",77.1,75.4,507,0
"Community
Mobilization and
Development",,"25,196,884",-,"15,330,708",-,60.8,-,507,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",508,0
,"Development and
Promotion of Culture","5,608,872",-,"4,297,294",-,76.6,-,508,0
,"Social Welfare and
Gender","4,518,012",-,"3,078,405",-,68.1,-,508,0
,"Conservation of
Heritage","14,250,000",-,"7,18 5,710",-,50.4,-,508,0
,"Development and
management of sports
facilities","820,000",-,"769,300",-,93.8,-,508,0
"Development and
management of
sports facilities",,"7,430,000",-,"7,030,206",-,94.6,-,508,0
,"General Administration
Planning and Support
Services","7,430,000",-,"7,030,206",-,94.6,-,508,0
"General
Administration
Planning and
Support Services
(Sports)",,"16,244,147",-,"14,504,570",-,89.3,-,508,0
,"General Administration
Planning and Support
Services","16,244,147",-,"14,504,570",-,89.3,-,508,0
,,"176,317,252","54,737,030","142,200,979","43,869,011",80.7,80.1,508,0
County Assembly,,,,,,,,508,0
,"Legislative and
Oversight","136,625,668","22,000,000","136,625,668","22,000,000",100.0,100.0,508,0
,"County Assembly
Administration","216,253,823","73,000,000","216,253,000","66,967,142",100.0,91.7,508,0
,Representation,"240,119,606",-,"240,119,106",-,100.0%,-,508,0
,,"592,999,097","95,000,000","592,997,774","88,967,142",-,93.6,508,0
GRAND TOTAL,,"5,048,020,722","2,516,825,375","4,685,470,413","1,506,454,193",92.8,59.9,508,0
