Programme,Sub-Programme,"Approved Estimates
Recurrent Development
Expenditure Expenditure",col_3,"Actual Expenditure as of 30 June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates
"Administration and
Support","706014010 General
Administration Planning
and Support Services",,"23,000,000","214,909,205","23,000,000",83.39,100.0,403,0,"257,717,923"
Sub Total,,,"23,000,000","269,172,475","23,000,000",77.20,100.0,403,0,"348,669,107"
"Agriculture, Livestock And Fisheries",,,,,,,,403,0,
Food Security,"101014010 Land and Crops
Development",,-,"1,365,255",-,45.97,-,403,0,"2,970,000"
,"101024010 Promotion Food
Security",,"849,537,917","1,941,693","438,632,516",50.43,51.6,403,0,"3,850,000"
,"101124010 Capacity
Development, Mechaniza-
tion and Innovation",,-,"1,122,000",-,29.14,-,403,0,"3,850,000"
"Livestock
Development
Program","103084010 Veterinary
Services",,-,"3,123,200",-,59.83,-,403,0,"5,220,000"
,"107024010 Livestock and
Fisheries Development",,-,"239,400",-,14.04,-,403,0,"1,705,000"
"Administration and
Support","706014010 General
Administration Planning
and Support Services",,"86,618,400","204,299,384","14,987,000",88.32,17.3,403,0,"231,320,350"
Sub Total,,,"936,156,317","212,090,932","453,619,516",85.21,48.5,403,0,"248,915,350"
Energy Transport And Roads,,,,,,,,403,0,
"Urban Development
Program","102074010 Urban
Development and Support",,"190,000,000","2,494,742","149,153,763",68.33,78.5,403,0,"3,650,900"
"Energy
Development
Program","103094010 Promotion
of Energy & Renewable
Energy Sources",,"15,000,000","712,260","2,279,315",64.75,15.2,403,0,"1,100,000"
"Infrastructure
Development
Program","201014010 Construction of
Roads and Bridges",,-,"13,936,206",-,57.57,-,403,0,"24,209,487"
,"202064010 Infrastructure
Development",,"488,000,000",-,"398,587,960",-,81.7,403,0,-
,,,"Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",404,0,"Recurrent
Expenditure"
Sub Total,,,"693,000,000","17,143,208","550,021,038",59.20,79.4,404,0,"28,960,387"
