Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure July 2023-June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
DEPARTMENT: EDUCATION AND LIBRARY SERVICES,,,,,,,,289,0
"Administration and
planning services",,,,,,,,289,0
,Administration Services,,"4,110,000",,"4,100,000",,100,289,0
,Headquarter Services,"3,500,000",-,"3,339,614",-,95,,289,0
,Personnel services,"1,500,000",-,"1,489,400",-,99,-,289,0
Sub Total,,"5,000,000","4,110,000","4,829,014","4,100,000",,100,289,0
Early childhood development (ECD) and childcare facilities,,,,,,,,289,0
,"Education
Empowerment","75,000,000",-,"75,000,000",-,100,-,289,0
,"ECDE Infrastructure
Improvement",-,"39,800,000",-,"2,099,965",,5,289,0
,ECDE Teacher Services,"2,000,000",,"1,934,600",-,97,-,289,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",290,0
Sub Total,,"77,000,000","39,800,000","76,934,600","2,099,965",,,290,0
"Youth,Polytechnics,
Vocational Training",,,,,,,,290,0
,"Vocational Education and
Training","19,500,000","20,000,000","19,447,500","4,081,669",100,20,290,0
,Library,"500,000",,"481,713",,96,,290,0
Sub Total,,"20,000,000","20,000,000","19,929,213","4,081,669",,,290,0
TOTAL EDUCATION,,"102,000,000","63,910,000","101,692,827","10,281,634",100,16,290,0
"DEPARTMENT: TRADE, TOURISM AND COOPERATIVE DEVELOPMENT-",,,,,,,,290,0
"Administration, planning
and support services",,,,,,-,-,290,0
,"SP1 Administration
Service","4,350,000",-,"3,751,650",-,86,-,290,0
,SP2 Personnel Services,"1,800,000",-,"1,789,100",-,99,-,290,0
,SP3 Policy Services,"3,450,000",-,"2,951,000",-,86,-,290,0
Sub Total,,"9,600,000",-,"8,491,750",-,88,-,290,0
"Cooperative
Development",,,,,,-,-,290,0
,"SP3 Research and
Development","2,300,000",-,"2,119,600",-,92,-,290,0
,"SP2 Cooperative
Revolving fund",-,"6,500,000",-,"5,114,140",-,79,290,0
Sub Total,,"2,300,000","6,500,000","2,119,600","5,114,140",92,79,290,0
Trade and Investment,,,,,,-,-,290,0
,"SP1 Market Infrastructure
Development",-,"17,000,000",-,"2,023,240",-,12,290,0
,"SP5 Industrial Devel-
opment and Investment
Promotion","6,500,000","347,000,000","5,889,491","70,790,820",91,20,290,0
,"SP6 Informal Sector
Development",-,"1,500,000",-,-,-,-,290,0
Sub Total,,"6,500,000","365,500,000","5,889,491","72,814,060",91,20,290,0
Tourism Development and Promotion-,,,,,,,,290,0
,"SP1 Tourism Promotion
and Marketing","1,600,000",-,"1,579,118",-,99,-,290,0
,"SP2 Tourism
Infrastructural
Development",-,"3,800,000",-,"1,027,969",-,27,290,0
Sub Total,,"1,600,000","3,800,000","1,579,118","1,027,969",99,27,290,0
TOTAL TRADE,,"20,000,000","375,800,000","18,079,959","78,956,169",,21,290,0
"DEPARTMENT: GENDER, CULTURE AND SOCIAL SERVICES",,,,,,,,290,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",290,0
"Administration and
planning services",Use of goods and services,"7,200,000","3,300,000","7,200,000","3,279,248",100,99,290,0
,Purchase of Software,-,"3,000,000",-,-,,-,290,0
Sub Total,,"7,200,000","6,300,000","7,200,000","3,279,248",,,290,0
CEDC,"Children's Institutions
Support Program
(CEDC)","3,400,000","3,400,000","2,667,769",-,78,78,290,0
Sub Total,,"3,400,000","3,400,000","2,667,769",-,,,290,0
Culture and Social Services,"Cultural events
promotion services","4,100,000",-,"3,520,406",-,86,,290,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",291,0
,"Social services
infrastructure",-,-,-,-,,,291,0
Sub Total,,"4,100,000",-,"3,520,406",-,,,291,0
Sports,"Talent identification
programme",-,-,-,-,,,291,0
,"Youth mainstreaming
initiative",-,"1,000,000",-,"820,000",,82,291,0
,Sports promotion services,"6,700,000",-,"6,700,000",-,100,,291,0
,"Sports Facility
Improvement","100,000","11,000,000","100,000","10,894,300",100,-,291,0
,"Cultural events
promotion services","3,000,000",-,"3,000,000",-,100,-,291,0
Sub Total,,"9,800,000","12,000,000","9,800,000","11,714,300",,,291,0
TOTAL GENDER,,"24,500,000","21,700,000","23,188,175","14,993,548",,,291,0
"WATER, ENVIRONMENT, NATURAL RESOURCES AND CLIMATE CHANGE",,,,,,,,291,0
Water Development,"Rural water supply and
sanitation",-,"14,280,000",-,"9,651,198",-,68,291,0
"General administration and
support services","Administrative and
Planning Services","17,000,000","1,000,000","16,975,145","1,000,000",100,100,291,0
,"Motor vehicle
maintenance and fuel
provision","9,000,000",,"8,908,361",-,99,-,291,0
"Environment and Natural
Resources",Solid Waste Management,,"23,320,000",,"11,804,438",-,51,291,0
,"Human-Wildlife Conflict
Prevention",,-,,,-,-,291,0
,"Natural Resources
Management",,-,-,-,-,-,291,0
,"Climate Change
Adaptation & Mitigation",,"210,000,000",-,"71,814,494",-,34,291,0
,"Integrated land
rehabilitation",,-,,,-,-,291,0
