Programme,"Approved Estimates
Recurrent Development
Total Budget
Estimates Estimates
Estimates
2023/24 2023/24",col_2,col_3,Actual Expenditure as of June 2024,col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates
SP 1: Salaries and Allowances,,-,"1,181,980,913","1,091,005,099",-,92.3,-,68,0,"1,181,980,913"
"SP3: Administration and
Support Services",,"18,000,000","40,715,390","18,936,951","16,478,079",83.4,91.5,68,0,"22,715,390"
"Programme 2: Early
Childhood Development
Education",,"6,000,000","6,000,000",-,"5,973,705",-,99.6,68,0,-
"SP6: Infrastructure
development",,"6,000,000","6,000,000",-,"5,973,705",-,99.6,68,0,-
"Programme 3: Education
Support Programme",,"394,102,000","394,564,080",-,"274,840,751",-,69.7,68,0,"462,080"
"SP1: Education Support and
Bursary Scheme",,"205,000,000","205,000,000",-,"191,312,575",-,93.3,68,0,-
VTC Capitation,,"64,482,000","64,944,080",-,-,-,-,68,0,"462,080"
"SP: School Feeding
Programme",,"30,000,000","30,000,000",-,-,-,-,68,0,-
Ward Based Projects,,"94,620,000","94,620,000",-,"83,528,176",-,88.3,68,0,-
"Programme 4: VTC General
Administration Planning and
Policy Formulation",,-,"10,421,730","7,805,992",-,74.9,-,68,0,"10,421,730"
SP 2: Policy Formulation,,-,"765,902",-,-,-,-,68,0,"765,902"
"SP3: Administration and
Support Services",,-,"9,655,828","7,805,992",-,80.8,-,68,0,"9,655,828"
"Programme 5: Training and
Skill Development",,"42,000,000","42,000,000",-,"18,860,000",-,44.9,68,0,-
SP1: Tuition Support Grant,,"20,000,000","20,000,000",-,"18,860,000",-,94.3,68,0,-
"SP2: Tools and equipment
for VTC",,"14,000,000","14,000,000",-,-,-,-,68,0,-
"Sp4: Quality Assurance and
Standards",,"2,000,000","2,000,000",-,-,-,-,68,0,-
"SP6: Capacity Building for
VTC Instructors",,"3,000,000","3,000,000",-,-,-,-,68,0,-
"SP7: Monitoring and
Evaluation",,"3,000,000","3,000,000",-,-,-,-,68,0,-
TOTAL,,"460,102,000","1,675,682,113","1,117,748,042","316,152,536",92,68.7,68,0,"1,215,580,113"
Finance and Economic Planning,,,,,,,,68,0,
"Programme 1: General
Administration, Planning
and Support Services",,"78,329,835","1,013,512,824","892,967,688","72,971,352",95.5,93.2,68,0,"935,182,989"
SP 1.1: Personnel costs,,-,"398,061,815","355,655,863",-,89.3,-,68,0,"398,061,815"
"SP 1.2: Administration
Services",,"19,550,000","401,971,906","383,720,138","19,550,000",100.3,100,68,0,"382,421,906"
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",69,0,"Recurrent
Estimates
2023/24"
"SP 1.3: Employer Contribution
for Staff Pension",,-,"154,699,268","153,591,687",-,99.3,-,69,0,"154,699,268"
Donor Fund,,"58,779,835","58,779,835",-,"53,421,352",-,90.9,69,0,-
"Programme 2: County
Planning Management",,-,"125,031,271","120,978,296",-,96.8,-,69,0,"125,031,271"
"SP 2.1: Economic Policy and
County Planning Services",,-,"26,095,966","23,689,966",-,90.8,-,69,0,"26,095,966"
SP 2.2: Budgeting,,-,"83,288,695","81,695,441",-,98.1,-,69,0,"83,288,695"
"SP 2.3: Monitoring and
Evaluation",,-,"15,646,610","15,592,889",-,99.7,-,69,0,"15,646,610"
"Programme 3: County
Financial Service
Management",,-,"90,264,226","82,576,744",-,91.5,-,69,0,"90,264,226"
SP 3.1: Revenue mobilization,,-,"34,279,040","28,213,405",-,82.3,-,69,0,"34,279,040"
SP3.2: Accounting Services,,-,"20,319,230","19,429,230",-,95.6,-,69,0,"20,319,230"
SP 3.3: Audit Services,,-,"17,547,721","17,577,880",-,100.2,-,69,0,"17,547,721"
SP 3.4: Supply Chain Services,,-,"18,118,235","17,356,229",-,95.8,-,69,0,"18,118,235"
"Programme 4: Service
Delivery and Organizational
Transformation",,"231,621,259","291,448,272","26,106,004","90,663,618",43.6,39.1,69,0,"59,827,013"
SP 4.1: Service Delivery Unit,,-,"5,000,000",-,-,-,-,69,0,"5,000,000"
SP 4.3: Investment Initiative,,-,"5,000,000",-,-,-,-,69,0,"5,000,000"
"SP 4.4: Special Coordination
Unit",,-,"17,827,013","14,309,930",-,80.3,-,69,0,"17,827,013"
"SP 4.5: Maintenance of
Computer, Software and
Networks - Revenue System",,-,"12,000,000",-,-,-,-,69,0,"12,000,000"
SP 4.8: System Enhancement,,-,"20,000,000","11,796,074",-,59,-,69,0,"20,000,000"
SP 4.9: Emergency Fund,,"160,415,731","160,415,731",-,"57,763,618",-,36.0,69,0,-
ICT,,"33,250,000","33,250,000",-,-,-,-,69,0,-
Health Management System,,"37,955,528","37,955,528",-,"32,900,000",-,86.7,69,0,-
Sub Total,,"309,951,094","1,520,256,593","1,122,628,732","163,634,969",92.8,52.8,69,0,"1,210,305,499"
Trade and Industrialization,,,,,,,,69,0,
"Programme 1: General
Administration and Support
Services",,"23,327,308","48,964,473","24,983,629","19,940,187",97.5,85.5,69,0,"25,637,165"
"SP 1. Human Resource
Development and
Management",,-,"19,208,655","18,909,400",-,98.4,-,69,0,"19,208,655"
"SP 3. Administrative Services
and Planning",,"23,327,308","29,755,818","6,074,228","19,940,187",94.5,85.5,69,0,"6,428,510"
"Programme 2: Trade and
Enterprise Development",,"165,673,533","165,673,533",-,"42,045,305",-,25.4,69,0,-
SP 2. 1. Business Loan,,"165,673,533","165,673,533",-,"42,045,305",-,25.4,69,0,-
"Programme 3: Market
Infrastructure Development
and Management",,"172,336,000","172,336,000",-,"128,045,118",-,74.3,69,0,-
SP 3.1. Market Infrastructure,,"124,000,000","124,000,000",-,"85,639,736",-,69.1,69,0,-
SP 3.2. Ward Based Projects,,"48,336,000","48,336,000",-,"42,405,382",-,87.7,69,0,-
Sub Total,,"361,336,841","386,974,006","24,983,629","190,030,611",97.5,52.6,69,0,"25,637,165"
Energy,,,,,,,,69,0,
"Programme 1: General
Administration and Support
Services",,-,"36,222,416","20,750,187",-,57.3,-,69,0,"36,222,416"
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",70,0,"Recurrent
Estimates
2023/24"
"SP 1. Human Resource
Development and
Management",,-,"4,219,452","2,351,397",-,55.7,-,70,0,"4,219,452"
"SP 2. Planning and Support
Services",,-,"587,361",-,-,-,-,70,0,"587,361"
SP 3. Administrative Services,,-,"31,415,603","18,398,790",-,58.6,-,70,0,"31,415,603"
"Programme 2: Energy
Development and
Management",,"56,006,400","56,006,400",-,"51,957,470",-,92.8,70,0,-
SP 2. 1. Energy Access,,"6,000,000","6,000,000",-,"4,999,170",-,83.3,70,0,-
REREC,,"50,006,400","50,006,400",-,"46,958,300",-,93.9,70,0,-
Sub Total,,"56,006,400","92,228,816","20,750,187","51,957,470",57.3,92.8,70,0,"36,222,416"
Industry,,,,,,,,70,0,
"Programme 1: General
Administration and Support
Services",,-,"7,071,777","3,523,500",-,49.8,-,70,0,"7,071,777"
"SP 1. Human Resource
Development and
Management",,-,"1,885,920",-,-,-,-,70,0,"1,885,920"
SP 3. Administrative Services,,-,"5,185,857","3,523,500",-,67.9,-,70,0,"5,185,857"
"Programme 2: Industrial
Investment and Development",,"350,000,000","350,000,000",-,"66,889,347",-,19.1,70,0,-
"SP 2. 1. Industrial
Development",,"350,000,000","350,000,000",-,"66,889,347",-,19.1,70,0,-
Sub Total,,"767,343,241","836,274,599","49,257,316","308,877,428",71.5,40.3,70,0,"68,931,358"
"Lands, Urban and Physical Planning",,,,,,,,70,0,
"Programme 1: General
Administration, Planning
and Support Services",,"11,171,083","60,267,647","37,012,790","7,004,785",75.4,62.7,70,0,"49,096,564"
Human Resource Management,,-,"26,637,264","20,941,505",-,78.6,-,70,0,"26,637,264"
"Administrative and Support
Services",,"11,171,083","30,300,228","16,071,285","7,004,785",84,62.7,70,0,"19,129,145"
Policy and Legal Framework,,-,"3,330,155",-,-,-,-,70,0,"3,330,155"
"Programme 2: Land
Development and
Management",,"37,789,025","37,789,025",-,"15,723,216",-,41.6,70,0,-
"SP 3: Physical and Land Use
Plans",,"7,637,625","7,637,625",-,-,-,-,70,0,-
Land,,"10,000,000","10,000,000",-,-,-,-,70,0,-
Ward Based Projects,,"20,151,400","20,151,400",-,"15,723,216",,78,70,0,-
Sub Total,,"48,960,108","98,056,672","37,012,790","22,728,001",75.4,46.4,70,0,"49,096,564"
Housing,,,,,,,,70,0,
"Programme 1 General
Administration, Planning
and Support Services",,-,"31,811,175","28,158,343",-,88.5,-,70,0,"31,811,175"
SP 1: Salaries and Emoluments,,-,"9,586,560","8,836,574",-,92.2,-,70,0,"9,586,560"
SP 2: Administrative Services,,-,"19,766,990","19,321,769",-,97.7,-,70,0,"19,766,990"
"SP 4: Planning and Financial
Management",,-,"1,184,125",-,-,-,-,70,0,"1,184,125"
"SP 5: Policy and Legal
Framework",,-,"1,273,500",-,-,-,-,70,0,"1,273,500"
"Programme 2 Housing
development and
management",,"151,299,930","151,299,930",-,"151,299,930",-,100,70,0,-
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",71,0,"Recurrent
Estimates
2023/24"
"SP 2: Housing Infrastructural
Development",,"151,299,930","151,299,930",-,"151,299,930",-,100,71,0,-
Sub Total,,"151,299,930","183,111,105","28,158,343","151,299,930",88.5,100,71,0,"31,811,175"
Bungoma Municipality,,,,,,,,71,0,
"Programme 1: General
Administration, Planning
and Support Services",,-,"23,025,073","20,723,562",-,90,-,71,0,"23,025,073"
"SP 1.1: Salaries and Personnel
Emoluments",,-,"13,503,848","11,652,190",-,86.3,-,71,0,"13,503,848"
"SP 1.3: General Administration
and Support Services",,-,"6,321,225","6,339,012",-,100.3,-,71,0,"6,321,225"
"SP 1.4: Planning and Financial
Management",,-,"3,200,000","2,732,360",-,85.4,-,71,0,"3,200,000"
"Programme 3: Urban
Infrastructure Development
and Management",,"85,500,000","85,500,000",-,"51,121,716",-,59.8,71,0,-
"SP 3.2: Urban Transport and
Infrastructure Development",,"85,500,000","85,500,000",-,"51,121,716",-,59.8,71,0,-
"Programme 4: Urban
Environment and Social
Services",,"15,200,000","15,200,000",-,-,-,-,71,0,-
"SP 4.2: Urban Waste
Management and Sanitation
Services",,"11,000,000","11,000,000",-,-,-,-,71,0,-
"SP 4.3: Urban Greening and
Environment Protection",,"4,200,000","4,200,000",-,-,-,-,71,0,-
Sub Programme Total,,"68,400,000","68,400,000",-,"8,648,635",-,12.6,71,0,-
Ward Based Projects,,"68,400,000","68,400,000",-,"8,648,635",-,12.6,71,0,-
Grants,,-,-,-,-,-,-,71,0,-
Sub Total,,"169,100,000","192,125,073","20,723,562","59,770,351",90,35.3,71,0,"23,025,073"
Kimilili Municipality,,,,,,,,71,0,
"Programme 1: Urban
Governance",,-,"29,045,267","27,578,770",-,95,-,71,0,"29,045,267"
"SP1: General Administration
Planning and Support Services
(Inclusive of salary)",,-,"15,234,222","13,767,725",-,90.4,-,71,0,"15,234,222"
SP2: Human Resource,,-,"13,811,045","13,811,045",-,100,-,71,0,"13,811,045"
"Programme 2: Urban
Infrastructure Development
and Management",,"121,654,740","121,654,740",-,"34,656,538",-,28.5,71,0,-
"Infrastructure. Housing and
Public Works",,"121,654,740","121,654,740",-,"34,656,538",-,28.5,71,0,-
Sub Total,,"121,654,740","150,700,007","27,578,770","34,656,538",95,28.5,71,0,"29,045,267"
County Public Service Board,,,,,,,,71,0,
"Programme I: General
Administration, Planning
and Support services",,"14,500,000","36,641,121","21,900,221",-,98.9,-,71,0,"22,141,121"
SP 1. 1 Administrative Services,,-,"22,141,121","21,900,221",-,98.9,-,71,0,"22,141,121"
"SP1.2 Construction 1 Storey
Building Administrative Block",,"14,500,000","14,500,000",-,-,-,-,71,0,-
"Programme 2:Human
Resource Management and
Development",,-,"10,374,532","9,260,839",-,89.3,-,71,0,"10,374,532"
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",72,0,"Recurrent
Estimates
2023/24"
"SP 2. 1 Human Resource
Management",,-,"10,374,532","9,260,839",-,89.3,-,72,0,"10,374,532"
"Programme 3:Governance
and National Values",,-,"15,836,900","10,304,651",-,65.1,-,72,0,"15,836,900"
SP 3. 1Quality Assurance,,-,"5,120,330",,-,-,-,72,0,"5,120,330"
"SP 3. 2 Ethics Governors and
National",,-,"10,716,570","10,304,651",-,96.2,-,72,0,"10,716,570"
Sub Total,,"14,500,000","62,852,553","41,465,711",-,85.8,-,72,0,"48,352,553"
Public Service Management and Administration,,,,,,,,72,0,
"Programme 1: General
Administration, Planning
and Support Services",,"45,506,063","887,750,160","576,676,129","29,256,163",68.5,64.3,72,0,"842,244,097"
Sp1.1:Salaries,,-,"428,997,892","329,573,249",-,76.8,-,72,0,"428,997,892"
Sp1.4:Operations,,-,"76,066,755","70,021,224",-,92.1,-,72,0,"76,066,755"
"Sp1.5:Contracted Security and
Cleaning Services",,-,"71,179,450","70,935,422",-,99.7,-,72,0,"71,179,450"
Sp1.7:Medical Insurance,,-,"250,000,000","100,452,034",-,40.2,-,72,0,"250,000,000"
Sp1.9:National Holidays,,-,"10,000,000",,-,-,-,72,0,"10,000,000"
Infrastructure Development,,"45,506,063","45,506,063",-,"29,256,163",-,64.3,72,0,-
Sp1.10:Devolved Units,,-,"6,000,000","5,694,200",-,94.9,-,72,0,"6,000,000"
"Programme 2: Public
Participation, Civic
Education and Outreach
Services",,-,"8,000,000","4,000,000",-,50,-,72,0,"8,000,000"
SP2.1:Public Participation,,-,"4,000,000","4,000,000",-,100,-,72,0,"4,000,000"
SP2.2:Civic Education,,-,"4,000,000",-,-,-,-,72,0,"4,000,000"
"Programme 3: Service
Delivery and Organizational
Transformation",,-,"10,000,000",-,-,-,-,72,0,"10,000,000"
"SP3.1Service Delivery and
Organizational Transformation",,-,"10,000,000",-,-,-,-,72,0,"10,000,000"
Sub Total,,"45,506,063","905,750,160","580,676,129","29,256,163",67.5,64.3,72,0,"860,244,097"
Office of the County Secretary and County Attorney,,,,,,,,72,0,
"Programme 1: General
Administration, Planning
and Support Services
(County Secretary)",,-,"20,106,720","19,893,216",-,98.9,-,72,0,"20,106,720"
Utilities and Maintenance,,-,"450,000","145,797",-,32.4,-,72,0,"450,000"
Operation,,-,"19,656,720","19,747,419",-,100.5,-,72,0,"19,656,720"
"Programme 3: General
Administration, Planning
and Support Services County
Attorney",,-,"13,759,000","11,196,128",-,81.4,-,72,0,"13,759,000"
SP3.1:Utilities,,-,"350,000","316,880",-,90.5,-,72,0,"350,000"
SP3.3:Operations,,-,"5,909,000","3,515,180",-,59.5,-,72,0,"5,909,000"
SP3.4:Legal Fees,,-,"7,500,000","7,364,069",-,98.2,-,72,0,"7,500,000"
Sub Total,,"45,506,063","939,615,880","611,765,473","29,256,163",68.4,64.3,72,0,"894,109,817"
Gender and Culture,,,,,,,,72,0,
"Programme 1: 1 General
Administration, Planning
and Support Services",,"958,513","47,826,551","42,857,861","958,513",91.4,100,72,0,"46,868,038"
Compensation to Employees,,-,"34,907,953","31,984,863",-,91.6,-,72,0,"34,907,953"
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",73,0,"Recurrent
Estimates
2023/24"
Planning and Budgeting,,-,"634,572",-,-,-,-,73,0,"634,572"
Utility for Office Operations,,-,"500,000",-,-,-,-,73,0,"500,000"
"Administrative Service
Management( boards and
Committees, travel costs,
catering services, others)",,"958,513","11,784,026","10,872,997","958,513",100.4,100,73,0,"10,825,513"
"Programme 2 Cultural
Development and
Management",,"7,568,791","37,443,791","28,917,542","7,303,696",96.8,96.5,73,0,"29,875,000"
"Participate in KICOSCA and
EALASCA Games",,-,"29,875,000","28,917,542",-,96.8,-,73,0,"29,875,000"
"Construction of Sanga’lo
Multipurpose Hall",,"6,440,351","6,440,351",-,"6,344,642",-,98.5,73,0,-
"Microfinance Youth
Programme",,"1,128,440","1,128,440",-,"959,054",-,85,73,0,-
"Programme 3: Gender Equity
and Social Protection",,"32,843,958","39,343,958",-,"11,433,103",-,34.8,73,0,"6,500,000"
operations of GTWG,,-,"1,500,000",-,-,-,-,73,0,"1,500,000"
"Gender-Based Violence
Response Programs(16 days of
activism against women)",,-,"2,000,000",-,-,-,-,73,0,"2,000,000"
"Mark and Celebrate
International Women's Day",,-,"2,000,000",-,-,-,-,73,0,"2,000,000"
"Mark and celebrate
International Disability Day",,-,"1,000,000",-,-,-,-,73,0,"1,000,000"
"Disability Empowerment
Program",,"12,317,615","12,317,615",-,-,-,-,73,0,-
"Women Empowerment
Program",,"20,526,343","20,526,343",-,"11,433,103",-,55.7,73,0,-
Sub Total,,"41,371,262","124,614,300","71,775,403","19,695,312",86.2,47.6,73,0,"83,243,038"
Youth and Sports,,,,,,,,73,0,
"Programme 2: General
Administration Planning and
Support Services",,"4,000,000","29,491,075","21,302,918","3,999,998",83.6,100,73,0,"25,491,075"
Payment of Salaries,,-,"13,331,452","10,383,008",-,77.9,-,73,0,"13,331,452"
Planning and Budgeting,,-,"830,126",-,-,-,-,73,0,"830,126"
Utility for Office Operations,,-,"520,000",-,-,-,-,73,0,"520,000"
"Administrative Service
Management( boards and
Committees, travel costs,
catering services, other
recurrent)",,"4,000,000","14,809,497","10,919,910","3,999,998",101,100,73,0,"10,809,497"
"Programme 4: Sports and
Talent Development",,"98,000,000","98,000,000",-,"47,990,937",-,49,73,0,-
"Construction of phase 1
Masinde Muliro stadium",,"76,000,000","76,000,000",-,"34,677,585",-,45.6,73,0,-
"Completion and Equipping of
phase 1 and phase 11 of the
High Altitude Training Centre",,"22,000,000","22,000,000",-,"13,313,352",-,60.5,73,0,-
"Programme 4: Sports and
Talent Development",,"46,984,326","46,984,326",-,"25,951,328",-,55.2,73,0,-
"Sports Facility Development
and Management",,"17,300,000","17,300,000",-,-,-,-,73,0,-
Project Supervision,,-,-,-,-,-,-,73,0,-
Youth Empowerment Fund,,"29,684,326","29,684,326",-,"25,951,328",-,87.4,73,0,-
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",74,0,"Recurrent
Estimates
2023/24"
Sub Total,,"148,984,326","174,475,401","21,302,918","77,942,264",83.6,52.3,74,0,"25,491,075"
Governor's and Deputy Governor’s Office,,,,,,,,74,0,
"Programme 1: General
Administration, Planning
and Support Services",,-,"396,731,698","392,779,530",-,99.0,-,74,0,"396,731,698"
"SP1.1:County Budget and
Economic Forum",,-,"3,000,000","3,000,000",-,100,-,74,0,"3,000,000"
"SP1.2: Public Consultative
Meetings",,-,"15,000,000","15,000,000",-,100,-,74,0,"15,000,000"
"SP1.5: Operations and Other
Departmental Programs",,-,"136,299,149","132,474,173",-,97.2,-,74,0,"136,299,149"
Sp1.6: Maintenance,,-,"14,000,000","13,872,643",-,99.1,-,74,0,"14,000,000"
SP1.7: Salaries,,-,"228,432,549","228,432,549",-,100,-,74,0,"228,432,549"
"Programme 2: County
Executive Committee Affairs",,-,"41,000,000","39,558,561",-,96.5,-,74,0,"41,000,000"
"SP2.1Leadership and
Coordination of County
Departments and Agencies",,-,"41,000,000","39,558,561",-,96.5,-,74,0,"41,000,000"
"Programme 3: County
Strategic and Service Delivery
Coordination",,-,"7,000,000","6,500,000",-,92.9,-,74,0,"7,000,000"
"SP3.1Staff Management
Services.",,-,"7,000,000","6,500,000",-,92.9,-,74,0,"7,000,000"
Office of the Deputy Governor,,,,,,,,74,0,
"Programme 1: General
Administration, Planning
and Support Services",,-,"27,336,583","21,808,747",-,79.8,-,74,0,"27,336,583"
SP1.1: Utilities,,-,"1,328,000",,-,-,-,74,0,"1,328,000"
SP1.2: Operations,,-,"22,108,583","21,808,747",-,98.6,-,74,0,"22,108,583"
