Programme,Sub Programme,"Approved Estimates (Kshs.)
Recurrent Development",col_3,Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates (Kshs.)
"Programme 2; Naivasha
municipal services","SP 2.1 planning and
infrastructure",,"137,570,841","887,300","100,512,742",16.7,73.1,430,0,"5,300,001"
,"SP 2.2 environmental
management and sanitation",,-,-,-,-,-,430,0,-
,"SP 2.3 Naivasha Social
Services",,-,-,-,-,-,430,0,"1,000,000"
,"SP 2.4 tourism investment
and trade",,-,-,-,-,-,430,0,"1,000,000"
,Sub-Total,,"137,570,841","14,325,161","100,512,742",37.6,73.1,430,0,"38,067,029"
"PUBLIC SERVICE, DEVOLUTION, CITIZEN ENGAGEMENT, DISASTER MANAGEMENT &HUMANITARIAN ASSISTANCE",,,,,,,,430,0,
"Programme 1: Administration,
planning and support service","Sub-programme
1.1(Administration service)",,-,"17,718,998",-,34.4,-,430,0,"51,535,552"
,"Sub-programme 1.2(Personal
Service)",,-,"414,039,375",-,72.0,-,430,0,"575,013,298"
,"Sub-programme 1.3(Financial
Service)",,-,-,-,-,-,430,0,-
,"Sub-programme
1.4(Mainstream Workplace
HIV/AIDS, Alcohol & Drug
Abuse Control)",,-,-,-,-,-,430,0,"990,000"
,"Sub-programme
1.5(Rehabilitation/
Construction of Sub County
Offices)",,"39,352,925",-,"17,781,670",-,45.2,430,0,-
,,,Development,Recurrent,Development,Rec,Dev,431,0,Recurrent
"Programme 2; human resource
management and development","SP 2.1; performance
contracting",,-,-,-,-,-,431,0,"9,855,040"
,"SP 2.2 PERFORMANCE
Appraisal system",,-,-,-,-,-,431,0,"9,855,040"
,"SP 2.3 Staff development
through capacity building and
training",,-,-,-,-,-,431,0,"3,350,000"
"Programme 3; civil education &
public participation","SP 3.1 co-ordination of
public and special community
programme",,-,-,-,-,-,431,0,"530,000"
"Programme 4: Disaster
management and humanitarian
assistance","SP 4.1disaster management
and humanitarian assistance",,-,-,-,-,-,431,0,"15,374,119"
,Subtotals,,"39,352,925","431,758,373","17,781,670",64.8,45.2,431,0,"666,503,049"
"DEPARTMENT OF EDUCATION, VOCATIONAL TRAINING, ICT AND E-GOVERNMENT",,,,,,,,431,0,
"Programme 1: Administration,
planning and support service","SP 1.1 administration and
support service",,"530,846,563","21,673,472","178,745,201",75.6,33.7,431,0,"28,687,217"
,SP 1.2 Personnel service,,-,"476,147,347",-,93.4,-,431,0,"510,018,605"
,SP 1.3 financial services,,-,-,-,-,-,431,0,"500,000"
"Programme 2: Promotion of
early childhood education and
development","SP 2.1 Promotion of Early
Childhood",,"1,520,000","78,120,968",-,86.0,-,431,0,"90,855,165"
,SP 2.2 Bursaries,,-,"388,320,831",-,100.7,-,431,0,"385,510,069"
,SP 2.3Education development,,"15,000,000",-,-,-,-,431,0,-
"Programme 3: Vocational
training",SP 3.1 Vocational training,,-,"66,913,549",-,90.9,-,431,0,"73,628,501"
,SP 3.2 Skill Upgrading,,"67,899,995",-,"54,287,415",-,80.0,431,0,-
"Programme 4 Information and
communication","SP 4.1 Public communication
and media services",,"4,500,000","2,711,877",-,33.9,-,431,0,"8,000,016"
"Programme 5 ICT
Infrastructure Development and
E-government Services",SP 5.1 Network Infrastructure,,"500,000",-,-,-,-,431,0,-
,"5.2 Hardware and software
platforms",,"1,000,000",-,-,-,-,431,0,-
,5.3 E-government services,,"1,000,000",-,-,-,-,431,0,"22,325,303"
,Sub-Total,,"615,773,558","1,033,888,044","233,032,616",91.8,37.8,431,0,"1,126,017,876"
COUNTY TREASURY,,,,,,,,431,0,
"Programme 1; Administration,
planning and support services",SP 1.1 Administration services,,"461,031,527","627,033,507","374,262,762",85.0,81.2,431,0,"738,158,003"
,SP 1.2 Personnel services,,-,"505,077,908",-,93.0,-,431,0,"542,845,778"
,SP 1.3 financial services,,-,,-,-,-,431,0,"300,000"
"Programme 2; Public Finance
Management","SP 2.1 Budget formulation
coordination and management",,-,"182,995,519",-,75.1,-,431,0,"243,804,981"
,SP 2.2Resources mobilization,,-,"49,015,899",-,55.0,-,431,0,"89,040,482"
,SP 2.3 internal audit,,-,"25,071,758",-,63.6,-,431,0,"39,393,711"
,SP 2.4 procurement,,-,"4,095,952",-,22.7,-,431,0,"18,079,814"
,"SP 2.5 public finance and
accounting",,-,"12,384,014",-,50.8,-,431,0,"24,361,432"
,SP 2.6 Debt management,,"300,273,459","40,527,202","251,636,767",17.5,-,431,0,"231,712,167"
,"SP 2.7 External Resources
Mobilization",,-,"4,189,497",-,40.3,-,431,0,"10,383,988"
"Programme 3: Economic and
financial policy formulation and
management",SP 3.1 Fiscal planning,,-,"25,881,103",-,63.6,-,431,0,"40,684,648"
,"SP 3.2 monitoring and
evaluation /statistical data
management",,-,"4,817,542",-,52.4,-,431,0,"9,191,340"
,SP 3.3 KDSP programme,,"104,594,212",-,"52,123,971",-,49.8,431,0,-
,Sub-Total,,"104,594,212","30,698,645","52,123,971",61.5,49.8,431,0,"49,875,988"
,,,Development,Recurrent,Development,Rec,Dev,432,0,Recurrent
NAKURU CITY,,,,,,,,432,0,
Programme 1,"SP 1.1 Administration and
Support Services",,-,"15,262,004",-,79.5,-,432,0,"19,195,000"
,SP 1.2 personnel services,,-,"21,706,745",-,78.6,-,432,0,"27,630,170"
,SP 1.3 financial services,,-,"457,049",-,76.2,-,432,0,"600,000"
Programme 2,"SP 2.1 Infrastructure
development and urban",,"420,471,001","206,200","346,369,359",2.6,82.4,432,0,"7,846,545"
,"SP 2.2 Nakuru City
Environments Management",,"1,500,000",-,"984,950",-,65.7,432,0,-
,"SP 2.3 Trade markets and
investments",,-,"2,089,761",-,74.6,-,432,0,"2,800,000"
,"SP 2.4 Nakuru City Social
Services",,-,"2,077,424",-,71.6,-,432,0,"2,899,418"
,Sub-Total,,"421,971,001","41,799,182","347,354,309",68.6,82.3,432,0,"60,971,133"
"DEPARTMENT OF YOUTH, CULTURE, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,,,432,0,
"Programme 1: Administration,
planning and support services","SP 1.1 Administration and
Support Services",,"159,866,074","11,779,711","76,580,616",76.7,47.9,432,0,"15,363,537"
,SP 1.2 Personnel services,,-,"90,456,332",-,78.3,-,432,0,"115,540,567"
,SP 1.3 Financial services,,-,-,-,-,-,432,0,"7,600,000"
"Programme 2 Development
of social-cultural diversity,
economic empowerment and
responsible Gaming","SP 2.1; Gender Equality and
Empowerment",,-,"2,867,914",-,51.6,-,432,0,"5,562,500"
,"SP 2.2 Social Inclusion and
Empowerment",,"15,500,000","5,068,516","11,750,250",13.9,75.8,432,0,"36,552,000"
"Programme 3 Management
and development of sports,
recreation and sports facilities","SP 3.1 Development and
Management of Sports
Infrastructure",,"617,823,107",-,"7,754,514",-,43.5,432,0,-
,"SP 3.2 Promotion of Sports
Development and Recreation",,-,"44,581,196",-,85.5,-,432,0,"52,162,500"
"Programme 4: Youth
empowerment and participation","SP 4.1 youth empowerment
and participation",,"2,000,000","45,419,166",-,78.5,-,432,0,"57,879,902"
,Sub-Total,,"195,189,181","200,172,834","96,085,380",31.3,10.2,432,0,"290,661,006"
"DEPARTMENT OF WATER, ENVIRONMENT, ENERGY AND NATURAL RESOURCES",,,,,,,,432,0,
Programme 1 Administration,SP 1.1 Administration services,,"1,525,329","14,650,050","405,376",48.8,26.6,432,0,"30,000,000"
,SP 1.2 Human resources,,-,"223,201,090",-,90.5,-,432,0,"246,642,245"
,SP 1.3 Finance services,,-,-,,-,-,432,0,"500,000"
"Programme 2 water and sewage
management",SP 2.1 Provision of water,,"1,183,898,460","3,569,015","589,295,212",38.8,49.8,432,0,"9,193,152"
,SP 2.2 provision,,-,-,-,-,-,432,0,-
"Programme 3:Environment
management",SP 3.1 Pollution control,,"11,152,434",-,-,-,-,432,0,-
,"SP 3.2 Solid Waste
Management",,-,"1,092,854","4,392,000",7.2,-,432,0,"15,173,790"
,"SP 3.3 Environmental
Resources Mapping",,-,-,-,-,-,432,0,"2,000,000"
,"SP 3.4 Environmental
Resources Mapping",,-,-,-,-,-,432,0,"1,525,000"
"Programme 4 County energy,
planning, regulation, operation
and development","SP 4.1 County Energy
Development",,"213,312,923",-,"3,988,613",-,1.9,432,0,-
,"SP 4.2 Climate change
resilience/forestry",,-,"4,063,513",-,12.3,-,432,0,"32,919,664"
,Sub-Total,,"1,409,889,146","246,576,521","598,081,201",73.0,42.4,432,0,"337,953,851"
OFFICE OF THE GOVERNOR AND DEPUTY GOVERNOR,,,,,,,,432,0,
"Programme 1 Administration,
planning and support","SP;1.1 Administration and
Planning",,"143,899,505","85,176,795","139,609,003",78.8,97.0,432,0,"108,072,339"
,SP 1.2 Personnel services,,-,"91,004,472",-,95.9,-,432,0,"94,925,337"
,,,Development,Recurrent,Development,Rec,Dev,433,0,Recurrent
"Programme 2 management of
county affairs","SP 2.1 county executive
services",,-,"7,618,392",-,-,-,433,0,"15,618,492"
,"SP 2.2 policy direction and
coordination",,-,"81,500,000",-,96.3,-,433,0,"84,609,245"
,SP 2.3 county policing services,,-,"1,200,000",-,25.6,-,433,0,"4,685,548"
,"SP 2.4 leadership and
governance",,-,"500,000",-,16.0,-,433,0,"3,123,698"
"Programme 3 coordination and
supervisory services","SP 3.1 organization of county
businesses",,-,"5,440,801",-,23.2,-,433,0,"23,427,738"
,SP 3.2 Special programmes,,-,-,-,-,-,433,0,"7,809,246"
,Sub-Total,,"143,899,505","272,440,460","139,609,003",79.6,97.0,433,0,"342,271,643"
OFFICE OF THE COUNTY ATTORNEY,,,,,,,,433,0,
"Programme 1 Administration,
Planning and Support services",SP 1.1 Administration,,"4,000,000","12,213,964","3,382,115",59.1,84.6,433,0,"20,670,798"
,SP 1.2 Personnel services,,-,"7,276,967",-,38.4,-,433,0,"18,946,623"
,SP 1.3 financial services,,-,-,-,-,-,433,0,"500,000"
Programme 2 Advisory services,SP 2.1 Advisory services,,-,-,-,-,-,433,0,"1,300,000"
,SP 2.2 legal matters,,-,"1,544,848.6",-,43.4,-,433,0,"3,560,966"
,SP 3.1 Litigation,,-,"7,515,626",-,80.4,-,433,0,"9,350,920"
,"SP 3.2 Formulation and review
of bills",,-,-,-,-,-,433,0,"2,000,000"
,"SP 3.3 Conveyance and
commercial transactions",,-,-,-,-,-,433,0,"1,000,000"
,Sub-Total,,"4,000,000","29,743,053","3,382,115",52.3,84.6,433,0,"56,829,307"
DEPARTMENT OF INFRASTRUCTURE,,,,,,,,433,0,
"Programme 1 administration,
planning and support services",SP 1.1 Administration services,,-,"40,380,170",-,96.3,-,433,0,"41,952,695"
,SP 1.2 Personnel services,,-,"122,320,272",-,85.6,-,433,0,"142,905,065"
,SP 1.3 financial services,,-,-,-,-,-,433,0,-
"Programme 2 infrastructure,
development and maintenance","SP 2.1 Construction,
rehabilitation and maintenance
of road drainage and bridges",,"1,641,125,238","4,106,619","825,118,739",21.0,50.3,433,0,"19,575,000"
,"SP 2.2 Rehabilitation and
maintenance of transport
terminus",,-,-,-,-,-,433,0,"4,800,000"
,"SP 2.3 Construction and
maintenance of non-residential
county buildings",,"2,000,000","282,000","1,464,310",2.9,73.2,433,0,"9,575,000"
,"SP 2.4 Installation,
rehabilitation and maintenance
of lighting facilities",,"65,600,000","142,000,000","34,189,000",96.9,52.1,433,0,"146,575,000"
,Sub-Total,,"1,708,725,238","309,089,061","860,772,049",84.6,50.4,433,0,"365,382,760"
DEPARTMENT OF HEALTH SERVICES,,,,,,,,433,0,
"Programme 1 administration
and planning","SP 1.1 Health information
systems",,"601,379,464","9,930,863","201,094,378",100.3,33.4,433,0,"9,901,941"
,"SP 1.2 governance and
leadership",,-,"35,000",-,-,-,433,0,"2,000,000"
,"SP 1.3 Human resource
management",,-,"6,363,492",-,37.3,-,433,0,"17,049,940"
,"SP 1.4 Research and
development",,-,"99,360",-,5.0,-,433,0,"1,997,550"
,"SP 1.5 Health infrastructure
and development",,-,"331,750",-,33.2,-,433,0,"1,000,000"
,,,Development,Recurrent,Development,Rec,Dev,434,0,Recurrent
"Programme 2 health preventive
and promotive services",SP 2.1 Primary Healthcare,,-,"2,187,917",-,109.4,-,434,0,"2,000,000"
,"SP 2.2 environmental health
and sanitation",,"14,331,759",-,"5,278,772",-,36.8,434,0,"10,629,350"
,SP 2.3 human resource,,-,-,-,-,-,434,0,"1,250,000"
,"SP 2.4 Disease surveillance
and emergency response",,-,"1,224,962",-,76.7,-,434,0,"1,596,425"
,SP 2.5 Health promotive,,-,-,-,-,-,434,0,"1,000,000"
,SP 2.6 HIV programme,,-,"189,600",-,9.5,-,434,0,"2,000,000"
,SP 2.7 Nutrition,,"14,331,759",-,"963,776",-,6.7,434,0,"10,629,350"
,SP 2.8 Reproductive health,,-,-,-,-,-,434,0,"1,250,000"
,SP 2.9 Immunization,,-,"1,224,962",-,76.7,-,434,0,"1,596,425"
"Programme 3 Health curative
and rehabilitative services","SP 3.1 Provision of essential
health services in all",,"1,037,333,359","1,261,397,626","133,317,292",93.8,12.9,434,0,"1,344,723,582"
,"SP 3.2 Elimination of
communicable and non-
communicable diseases",,-,"262,500",-,11.9,-,434,0,"2,200,000"
,SP 3.3 Human resource,,-,"673,001,042",-,110.1,,434,0,"611,049,429"
,Sub-Total,,"1,653,044,582","5,880,771,403","339,690,442",93.3,20.5,434,0,"6,299,925,125"
"DEPARTMENT OF LANDS, PHYSICAL PLANNING AND HOUSING",,,,,,,,434,0,
"Programme 1: Administration,
Planning, Management and
Support Services","SP 1.1: Administration and
Financial Services",,-,"23,582,712",-,27.4,-,434,0,"86,118,105"
,SP 1.2: Personnel Services,,-,"60,748,496",-,61.9,-,434,0,"98,207,312"
"Programme 2 Urban
Development",SP 2.1: Development of,,"450,000,000",-,"175,000,000",-,38.9,434,0,-
Programme 3: Land Use,SP 3.1: Land use,,"149,441,427",-,"37,943,350",-,25.4,434,0,-
,SP 3.2: Survey,,"6,000,000",-,"1,700,000",-,28.3,434,0,-
,SP 4.1 Housing,,"3,000,000",-,-,-,-,434,0,-
,Sub Total,,"608,441,427","140,185,424","214,643,350",76.1,35.3,434,0,"184,325,418"
"DEPARTMENT OF TRADE, INDUSTRY, MARKETING AND TOURISM",,,,,,,,434,0,
"Programme 1 Administration
planning",SP 1.1 Administration Services,,"2,000,000","11,844,744","1,074,800",46.5,53.7,434,0,"25,484,898"
,SP 1.2 Personnel services,,-,"68,535,595",-,96.7,-,434,0,"70,884,945"
Programme 2 cooperatives,"SP 2.1: Management of
Marketing Cooperatives",,"3,500,000","1,801,170",-,-,-,434,0,"4,296,556"
,SP 2.2 Sacco Empowerment,,-,"25,000,000",-,100,-,434,0,"25,000,000"
,"SP 2.3 Cooperatives
Leadership and Governance",,-,"3,734,908",-,71.1,-,434,0,"5,254,475"
,"SP 2.4 Strengthening
cooperatives",,-,"1,261,955",-,105.9,-,434,0,"1,191,381"
,"SP 2.5 Empowering
Youth, Women and PWDs
Participation in Cooperatives",,-,"1,660,702",-,147.3,-,434,0,"1,127,588"
"Programme 3: Commerce and
Enterprise","SP 3.1 Business development
services for SMEs",,-,"1,720,679",-,67.5,-,434,0,"2,550,000"
,"SP 3.2 Producer business
groups",,-,"584,000",-,73.0,-,434,0,"800,000"
,SP 3.3 SME training,,-,"908,000",-,90.8,-,434,0,"1,000,000"
,SP 3.4 SME funding,,-,"25,000,000",-,100,-,434,0,"25,000,000"
,"SP 3.5 Development and
management of county bus
terminus",,-,-,-,-,-,434,0,-
,SP 3.6 consumer protection,,"2,000,000","1,830,047",-,-,-,434,0,"3,100,000"
,"SP 3.7 Establishment of the
industrial park",,"400,000,000",-,"150,000,000",-,37.5,434,0,-
,,,Development,Recurrent,Development,Rec,Dev,435,0,Recurrent
Programme 4 market,SP 4.1 Market rehabilitation,,"12,800,000",-,"8,405,003",-,65.7,435,0,-
,"SP 4.2 Development of new
market",,"260,816,592",-,"164,582,848",-,63.1,435,0,-
,"SP 4.3 Market users' delivery
services",,-,"11,646,100",,93.2,-,435,0,"12,500,000"
Programme 5 Tourism,"SP 5.1 Promotion of local
tourism",,-,"7,286,562",,85.7,-,435,0,"8,500,000"
,"SP 5.2 Management of county
tourism information centre",,-,-,-,-,-,435,0,-
"Programme 6 alcoholic drinks
and Control","SP 6.1 inspection, approval
and liquor licensing",,-,"2,246,300",-,91.7,-,435,0,"2,450,000"
,"SP 6.2 Liquor enforcement
and compliance",,-,"58,169",-,38.8,-,435,0,"150,000"
,SP 6.3 research and innovation,,-,"515,600",-,85.9,,435,0,"600,000"
,"SP 6.4 Treatment and
rehabilitation of persons
dependent on alcoholic drinks",,-,-,-,-,,435,0,"1,050,000"
,"SP 6.5 Education and training
of sub-county and review
committee",,-,"986,000",-,82.2,-,435,0,"1,200,000"
"Programme 7: Development
of socio-cultural diversity and
promotion","SP 7.1 Cultural Development
Activities",,-,"4,591,816",-,22.0,-,435,0,"20,883,063"
,"SP 7.2 promotion of
responsible gaming",,-,"4,557,417",,74.1,-,435,0,"6,150,000"
,Sub-Total,,"681,116,592","175,769,764","326,001,051",80.2,6.6,435,0,"219,172,906"
COUNTY PUBLIC SERVICE BOARD,,,,,,,,435,0,
"Programme 1: Administration
and Human Resource Planning",SP 1.1 Administrative Services.,,"3,000,000.00","52,380,984.00","2,939,632.25",86.8,98,435,0,"60,364,584.00"
,SP 1.2 Financial Services,,-,"1,325,000.00",-,60.2,-,435,0,"2,200,000.00"
"Programme 2; Human Resource
Planning and Advisory Services","SP 2.1 Human Resource
Planning",,-,"9,350,000.00",-,95.6,-,435,0,"9,781,897.00"
,"SP 2.2 Provision of Human
Resource Advisory Services",,-,"2,375,000.00",-,79.8,-,435,0,"2,976,544.00"
,Sub-Total,,"3,000,000.00","65,430,984.00","2,939,632.25",86.9,98,435,0,"75,323,025.00"
MOLO MUNICIPALITY,,,,,,,,435,0,
"Programme 1: Administration
Planning and Support Services","SP 1.1: Administration and
Planning",,-,-,-,-,-,435,0,"3,675,000.00"
"Programme 2: Molo Municipal
Services","S.P 2.1: Planning and
Infrastructure Development",,-,-,-,-,-,435,0,"667,650.00"
,"S.P 2.2: Environmental
Management",,-,-,-,-,-,435,0,"223,200.00"
,S.P 2.3: Trade and Tourism,,-,-,-,-,-,435,0,"223,200.00"
,S.P 2.4: Social Services,,-,-,-,-,-,435,0,"210,950.00"
,Sub-Total,,-,-,-,-,-,435,0,"5,000,000.00"
GILGIL MUNICIPALITY,,,,,,,,435,0,
"Programme 1: Administration
Planning and Support Services","SP 1.1: Administration and
Planning",,-,"1,873,888",-,51.0,-,435,0,"3,675,000"
"Programme 2: Gilgil Municipal
Services","S.P 2.1: Planning and
Infrastructure Development",,-,-,-,-,-,435,0,"667,650"
,"S.P 2.2: Environmental
Management",,-,-,-,-,-,435,0,"223,200"
,S.P 2.3: Trade and Tourism,,-,-,-,-,-,435,0,"223,200"
,S.P 2.4: Social Services,,-,-,-,-,-,435,0,"210,950"
,Sub-Total,,-,"1,873,888",-,37.5,-,435,0,"5,000,000"
COUNTY ASSEMBLY,,,,,,,,435,0,
,,,Development,Recurrent,Development,Rec,Dev,436,0,Recurrent
Programme 1: Administration,Compensation of Employees,,-,"157,558,534",-,100.0,-,436,0,"157,573,013"
,Use of Goods and services,,-,"242,622,992",-,100.0,-,436,0,"242,627,425"
,"Transfer to Other Government
entities",,-,"1,931,500",-,-,-,436,0,-
,Acquisition of Assets,,"139,459,318","3,032,580","81,852,998",100,59.6,436,0,"3,032,980"
"Programme 2: Legislative
Services",Compensation of Employees,,-,"302,270,739",-,100.0,-,436,0,"302,272,682"
,Use of goods and services,,-,"373,450,290",-,96.9,-,436,0,"385,481,732"
,Acquisition of Assets,,"3,185,600",-,"3,185,600",-,100,436,0,-
,Sub-Total,,"142,644,918","1,080,866,635","85,038,598",94.5,59.6,436,0,"1,090,987,832"
Grand Total,,,"9,681,626,831","11,982,046,296","4,449,307,915",87.9,46.0,436,0,"13,628,904,682"
