Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,SP 3.24 Ward office,"32,352,000",-,"32,352,000",-,100.0,-,349,0
,"SP 3.25 Uniform,
specialized materials
and supplies","8,000,000",-,"7,600,000",-,95.0,-,349,0
,"-SP 3.26
Membership fees
and dues and
subscription for
international
organisation","5,500,000",-,"5,500,000",-,100.0,-,349,0
,"SP 3.28
Refurbishment of
buildings","4,000,000",-,"4,000,000",-,100.0,-,349,0
,"SP 3.29 Gratuity/
pension","14,367,735",-,"13,457,303",-,93.7,-,349,0
,Sub Total,"792,717,081","525,483,989","790,306,649","100,348,642",99.7,19.1%,349,0
County Executive services,,,,,,,,349,0
"Management of
County Affairs","County Executive
services","477,791,217",-,"422,705,136",-,88.5,0.0,349,0
"Management of
County Affairs","Executive
Infrastructure
Development",,"535,112,933",-,"509,003,904",,95.1,349,0
,Sub-Total,"477,791,217","535,112,933","422,705,136","509,003,904",88.5,95.1,349,0
Finance & Economic Planning,,,,,,,,349,0
"General
administration
planning
and Support
Services",Financial Services,"467,000,000","440,442,096","392,497,184","427,891,529",84.0,97.2,349,0
,Sub-Total,"467,000,000","440,442,096","392,497,184","427,891,529",84.0,97.2,349,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",350,0
"Agriculture, Livestock & Fisheries",,,,,,,,350,0
"General
Administration,
Planning
and Support
Services","General
Administration,
Planning and
Support Services","102,921,590",-,"89,136,904",-,86.6,-,350,0
"Livestock
Production and
Management","Livestock
Production and
Management","116,732,928",-,"100,974,542",-,86.5,-,350,0
"Crop
Development
and
Management","Lands and Crop
Development",-,"850,829,926",-,"328,782,000",-,38.6,350,0
"Fisheries
Development
and
Management","Fisheries Policy,
Strategy and
Capacity Building","30,938,970",-,"21,477,349",-,69.4,-,350,0
,Sub-Total,"250,593,488","850,829,926","211,588,795","328,782,000",84.4,38.6,350,0
County Public Service Board,,,,,,,,350,0
"General
administration
planning
and Support
Services","Administration
services","96,868,000",-,"65,843,575",-,68.0,-,350,0
"Human
Resource
Management
and
Development","Board Management
Service",-,"23,500,000",-,"16,899,631",-,71.9,350,0
,Sub-Total,"96,868,000","23,500,000","65,843,575","16,899,631",68.0,71.9,350,0
"Education, Skill Development, Youth & Sports",,,,,,,,350,0
"General
Administration,
Planning
and Support
Services","Administration
Services","533,863,481",-,"511,800,626",-,95.9,-,350,0
"Early
Childhood
Development
and Education","Early Childhood
Development and
Education",-,"214,294,347",-,"131,939,874",-,61.6,350,0
,Sub-Total,"533,863,481","214,294,347","511,800,626","131,939,874",95.9,61.6,350,0
"Administration, Coordination & ICT",,,,,,,,350,0
"General
administration
planning
and Support
Services","Administration
services","335,200,000",-,"287,866,275",-,85.9,-,350,0
"Coordination
of functions of
devolved Units","Executive
Infrastructure
Development",-,"162,800,000",-,"152,978,050",-,94.0,350,0
,Sub-Total,"335,200,000","162,800,000","287,866,275","152,978,050",85.9,94.0,350,0
County Health,,,,,,,,350,0
"General
Administration,
Planning
and Support
Services","Administration and
support services","1,525,981,500",-,"1,503,040,711",-,98.5,-,350,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",351,0
"General
Administration,
Planning
and Support
Services","Health
Infrastructure
development",-,"503,182,283",-,"338,331,782",-,67.2,351,0
,Sub-Total,"1,525,981,500","503,182,283","1,503,040,711","338,331,782",98.5,67.2,351,0
"Trade, Industry & Enterprise Development",,,,,,,,351,0
"General
administration
planning
and Support
Services",Financial Services,"86,700,000",-,"69,974,355",-,80.7,-,351,0
"Trade and
Industrial
Development","Development of
infrastructure and
facilities",-,"189,300,000",-,"156,801,256",-,82.8,351,0
,Sub-Total,"86,700,000","189,300,000","69,974,355","156,801,256",80.7,82.8,351,0
"Tourism, Culture & Social Services",,,,,,,,351,0
Culture Services,"Cultural
infrastructure
development",-,"32,500,000",-,"20,884,746",-,64.3,351,0
"General
administration,
planning and
support services","General
Administration
Services","123,358,270",-,"93,973,440",-,76.2,-,351,0
,Sub-Total,"123,358,270","32,500,000","93,973,440","20,884,746",76.2,64.3,351,0
"Water, Environment & Natural Resources",,,,,,,,351,0
"Water
Resources
Management","Water Supply
Infrastructure
Development",-,"351,033,000",-,"347,334,250",-,-,351,0
"General
administration
planning
and Support
Services","General
administration
planning and
Support Services","108,512,000",-,"101,839,122",-,93.9,-,351,0
"Natural
Resources
Conservation
and
Management","Environmental
policy development",-,"125,001,968",-,"109,787,852",-,87.8,351,0
"Natural
Resources
Conservation
and
Management","Forests
Conservation and
Management","38,388,560",-,"30,705,828",-,80.0,-,351,0
,Sub-Total,"146,900,560","476,034,968","132,544,950","457,122,102",90.2,96.0,351,0
Roads & Public Works,,,,,,,,351,0
"General
administration
planning
and Support
Services","General
administration
planning and
Support Services","65,760,878",-,"58,251,869",-,88.6,-,351,0
"General
administration
planning
and Support
Services","Operations and
Maintenance","38,603,609",-,"24,584,337",-,63.7,-,351,0
"Road Transport
Infrastructure
Development","Roads
Infrastructure
Development",-,"236,461,902",-,"226,984,471",-,96.0,351,0
,Sub-Total,"104,364,487","236,461,902","82,836,206","226,984,471",79.4,96.0,351,0
