"Approved Estimates Actual Expenditure
Absorption Rate (%)
(Kshs.) (Kshs.)
Programme (CP) Sub-Programme (CSP)
Recurrent Development Recurrent Development Recurrent Development
Expenditure Expenditure Expenditure Expenditure Expenditure Expenditure",col_1,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index,Programme (CP),Sub-Programme (CSP)
CP 2: Transport services,CSP 2.1: Roads,"2,417,200","288,000,000","517,200","163,935,634",21.4,56.9,122,0,,
,CSP 2.2: Transport,"2,000,000",-,"650,000",-,32.5,-,122,0,,
"CP3: Public Works &
Housing",CSP3.1: Public Works,"10,250,000",-,"1,000,000",-,9.8,-,122,0,,
,Sub-Total,"46,073,600","288,000,000","24,050,000","163,935,634",52.2,56.9,122,0,,
"Department of Education, Information & ICT",,,,,,,,122,0,,
"CP1. General Administration
& Support Services",CSP1.1 Administration,"444,889,663",-,"423,088,122",-,95.1,-,122,0,,
CP2. Education Development,CSP 2.1 ECD and Schools,"44,234,909","90,000,000","30,000,000","32,634,858",67.8,36.3,122,0,,
,CSP 2.2 Vocational Training Centre,"3,001,200","5,000,000",-,-,-,-,122,0,,
"CP3. ICT, Information &
Libraries","CSP3.1: Information Research and
Statistics","23,082,733","24,694,322","3,027,971",-,13.1,-,122,0,,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",123,0,,
,,"515,208,505","119,694,322","456,116,093","32,634,858",88.5,27.3,123,0,,Sub-Total
,,,,,,,,123,0,"Department Lands, Physical Planning and Urban Development",
,,"294,155,273",-,"283,017,576",-,96.2,-,123,0,"CP1: Administration and
Services","CSP 1.1 Urban Administration and
Support Services"
,,"8,000,000","10,000,000","500,000",-,6.3,-,123,0,"CP2: Land & Physical
planning",CSP 2.1 Lands Services
,,"12,374,997",-,"959,320",-,7.8,,123,0,,CSP 2.2 Physical planning
,,"2,500,000",-,-,-,-,-,123,0,CP 3: Urban development,"CSP 3.0 Urban Development and
Infrastructure"
,,"7,664,626",-,"6,500,000",-,84.8,-,123,0,,"CSP 3.1 Urban Disaster & Risk
Management"
,,"1,350,000",-,"68,000",-,5.0,-,123,0,,CSP 3.2 Urban Sanitation Services
,,"32,000,000","195,000,000","62,000,000","51,600,000",193.8,26.5,123,0,,CSP 3.4 Municipalities
,,"358,044,896","205,000,000","353,044,896","51,600,000",98.6,25.2,123,0,,Sub-Total
,,,,,,,,123,0,Department of Finance and Economic Planning,
,,"684,025,320","741,176,980","405,172,861","481,390,000",59.2,64.9,123,0,"CP1: Administration &
Support Services",CSP 1.1 Administration
,,"3,713,739",-,"853,450",-,23.0,-,123,0,"CP2: Public Finance
Management",CSP2.1 Accounting Services
,,"11,180,000",-,"1,376,960",-,12.3,-,123,0,,CSP2.2 Budget Formulation
,,"6,462,600",-,"670,300",-,10.4,-,123,0,,CSP2.3 Audit Services
,,"142,127,781",-,"123,567,321",-,86.9,-,123,0,,CSP2.4 Revenue
,,"5,630,000",-,"547,600",-,9.7,-,123,0,,CSP2.5 Supply Chain Management
,,"31,086,000",-,"7,051,000",-,22.7,-,123,0,P3: Economic Planning,CSP 3.1 Planning & M&E
,,"2,000,000",-,-,-,-,-,123,0,P4: Donor Co-ordinations,CSP 4.1: Donor Co-ordinations
,,"145,930,648",-,"56,822,985",-,38.9,-,123,0,P8: Special Programs,CSP 8.1: Special Program
,,"1,032,156,088","741,176,980","596,062,477","481,390,000",57.7,64.9,123,0,,Sub-Total
,,,,,,,,123,0,Department of Health and Sanitation,
,,"2,122,250,159",-,"1,987,783,624",-,93.7,-,123,0,"CP 1: Administration
Finance and HR","CSP1.1: Administration Finance
and HR"
,,"180,000,000","234,723,404","136,188,117","56,000,000",75.7,23.9,123,0,"CP 2: Preventive and
Promotive Health",CSP 2.1: Level Five Hospital
,,"162,510,500","90,000,000","134,716,770","88,744,243",82.9,98.6,123,0,,CSP 2.2: Sub Counties
,,"2,464,760,659","324,723,404","2,258,688,511","144,744,243",91.6,44.6,123,0,,Sub-Total
,,,,,,,,123,0,"Department Trade, Investments Development and Tourism",
,,"69,047,996",-,"59,300,255",-,85.9,-,123,0,"CP 1: Administration and
policy formulation",CSP 1.1: Administration
,,"1,800,000","400,000,000",-,"102,500,000",-,25.6,123,0,,"CSP 1.2: Industrialization and
Investment"
,,"1,600,000","40,000,000","1,410,000","40,000,000",88.1,100.0,123,0,,CSP 1.3: Micro Enterprise
,,"1,802,259",-,"962,135",-,53.4,-,123,0,,CSP 1.4: Tourism
,,"750,000",-,-,-,-,-,123,0,CP 2: Trade Department,CSP 2.1: Trade
,,"75,000,255","440,000,000","61,672,390","142,500,000",82.2,32.4,123,0,,Sub-Total
,,,,,,,,123,0,"Department of Water, Environment and Natural Resources",
