Programme Description,"Approved Budget Estimates FY
2023-24",col_2,"The sum of Cumulative Expen-
diture",col_4,Absorption rate (%),col_6,page_number,table_index
P: Water Supply Services,"86,000,000","46,891,250","38,849,891","36,335,795",45,77,555,0
1002013610 SP: Domestic Water Services,"59,500,000","40,223,450","29,906,685","35,695,395",50,89,555,0
1002023610 SP: Water Storage Services,-,"1,305,800",,"372,500",-,29,555,0
1002033610 SP: Irrigation and Drainage Services,"26,500,000","5,362,000","8,943,207","267,900",34,5,555,0
3623 County Public Service Board,-,"36,970,400",-,"22,520,540",-,61,555,0
"P: General Administration, Planning and Support
Services",-,"36,970,400",-,"22,520,540",-,61,555,0
"0706013610 SP: General Administration and
Support Services",-,"25,900,400",-,"21,074,672",-,81,555,0
0706103610 SP: Human Resource Management Services,-,"11,070,000",-,"1,445,868",-,13,555,0
3625 Public Health and Sanitation,"124,723,404","395,126,401",--,"327,941,797",--,83,555,0
P: Preventive and Promotive Health Services,"124,723,404","395,126,401",-,"327,941,797",-,83,555,0
0402013610 SP: Health Promotion and Disease Control,"124,723,404","347,267,400",-,"301,455,304",-,87,555,0
0402033610 SP: Environmental Health services,-,"47,859,001",-,"26,486,493",-,55,555,0
3628 Youth and Sports,"5,000,000","28,203,550",-,"24,658,072",-,87,555,0
P: Sports Development and Promotion,"5,000,000","28,203,550",-,"24,658,072",-,87,555,0
"0505013610 SP: County Football League and Clubs
Development",-,"179,050",-,"161,250",-,90,555,0
"0505023610 SP: Athletics Championships and Other
Games",-,"333,400",-,"14,600",-,4,555,0
0505033610 SP: Talent Search and Promotion,"5,000,000","27,691,100",-,"24,482,222",-,88,555,0
3629 Culture and Tourism,"1,500,000","26,084,000",-,"16,954,211",-,65,555,0
"P: Culture, Arts and Social Services","1,500,000","25,342,000",-,"16,705,011",-,66,555,0
0506013610 SP: Culture and Arts Promotion,"1,500,000","25,342,000",-,"16,705,011",-,66,555,0
P: Tourism Development and Promotion,-,"742,000",-,"249,200",-,34,555,0
"0302013610 SP: Tourism Promotion and
Infrastructure Development",-,"330,000",-,-,-,-,555,0
0302033610 SP: Miss Tourism Tharaka Nithi,-,"412,000",-,"249,200",-,60,555,0
3630 Revenue and Resource Mobilization,"1,000,000","111,335,320",-,"104,871,054",-,94,555,0
P: Financial Management Services,-,"14,401,720",-,"11,447,620",-,79,555,0
0704073610 SP: Resource Mobilization and Management,-,"14,401,720",-,"11,447,620",-,79,555,0
P: Resource Mobilization,"1,000,000","96,933,600",-,"93,423,434",-,96,555,0
0712013610 SP: Revenue Administration,"1,000,000","96,933,600",-,"93,423,434",-,96,555,0
"3631 Lands, Physical Planning and Housing","123,160,000","49,196,890","15,490,200","48,115,015",13,98,555,0
"P: General Administration, Planning and Support
Services","103,160,000",-,-,-,-,-,555,0
"0301013610 SP: General Administration and Support
Services","103,160,000",-,-,-,-,-,555,0
P: Land Policy and Planning,"20,000,000","49,196,890","15,490,200","48,115,015",77,98,555,0
