Program,Sub Program,Budget Estimates,col_3,Actual Expenditure,col_5,Absorption (%),col_7,page_number,table_index
,Inter-governmental relations,"7,084,000.00",-,"5,624,481.00",-,79,-,619,0
,,"769,115,415.00","4,500,000.00","597,632,795.75","4,499,850.00",78,100,619,0
,"Human Resources Management and
Capacity Building","741,471,415.00",-,"570,258,167.75",-,77,-,619,0
,Decentralized Units Services,"27,644,000.00","4,500,000.00","27,374,628.00","4,499,850.00",99,100,619,0
,,"4,369,600.00",-,"3,482,180.00",-,80,-,619,0
,Town Sanitation Services,"4,369,600.00",-,"3,482,180.00",-,80,-,619,0
,,"121,717,830.00",-,"118,171,594.00",-,97,-,619,0
,"Inter-governmental relations and
EMU",-,-,-,-,-,-,619,0
,Conflict Resolution And Security,"9,944,830.00",-,"7,858,864.00",-,79,-,619,0
,"Disaster Management and
Coordination of Humanitarian
Services","111,773,000.00",-,"110,312,730.00",-,99,-,619,0
,,"9,336,000.00",-,"4,014,380.00",-,43,-,619,0
,Service Delivery,"9,336,000.00",-,"4,014,380.00",-,43,-,619,0
,,"3,256,400.00",-,"2,384,400.00",-,73,-,619,0
,Governance and Ethics,"3,256,400.00",-,"2,384,400.00",-,73,-,619,0
,Grand Total,"923,879,245.00","4,500,000.00","738,585,970.75","4,499,850.00",80,100,619,0
"County Public
Service Board",,"78,784,872.00",-,"38,794,579.50",-,49,-,619,0
,County Public Service Board Services,"78,784,872.00",-,"38,794,579.50",-,49,-,619,0
,Grand Total,"78,784,872.00",-,"38,794,579.50",-,49,-,619,0
WAJWASCO,,"155,579,130.00","681,200,000.00","115,787,239.45","323,183,094.00",74,47,619,0
,WAJWASCO,"155,579,130.00","681,200,000.00","115,787,239.45","323,183,094.00",74,47,619,0
,Grand Total,"155,579,130.00","681,200,000.00","115,787,239.45","323,183,094.00",74,47,619,0
