Programme,Sub-Programme,"Approved Supplementary 2 Estimates
FY 2023/24 (Kshs.)",col_3,col_4,"Actual Expenditure Jul 23 -
Jun 24 (Kshs.)",col_6,Absorption Rate (%),col_8,page_number,table_index
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,,,,,185,0
"Transport Manage-
ment and Safety","General Adminis-
tration Planning and
Support Services","91,373,784",-,"91,373,784","80,870,799",-,89,-,185,0
"Infrastructure, Roads
and Transport",Rehabilitation of Road,"2,900,000","751,053,849","753,953,849","2,138,300","615,180,972",74,82,185,0
"Infrastructure, Roads
and Transport","Maintenance of Roads
and Bridges/Periodic
Maintenance","10,545,317","2,000,000","12,545,317","8,294,941","150,500",79,8,185,0
,,"104,819,101","753,053,849","857,872,950","91,304,040","615,331,472",87,82,185,0
"DEPARTMENT: TRADE, Industrialization, TOURISM, WILDLIFE AND COOPERATIVE MANAGEMENT",,,,,,,,,185,0
"Trade development
and investment","Fair trade Practices
and Consumer
Protection (weight &
measures)","20,350,890","22,195,418","42,546,308","19,595,646","21,687,399",96,98,185,0
"Trade development
and investment","Administrative and
Support Services.","32,989,415","35,000,000","67,989,415","32,591,465","32,477,063",99,93,185,0
"Cooperative
development and
management","Cooperative Advisory
& Extension Services.",-,-,-,-,-,-,-,185,0
"Tourism development
and marketing","Local Tourism Devel-
opment.","5,882,961",-,"5,882,961","5,825,632",-,99,-,185,0
,,"59,223,266","57,195,418","116,418,684","58,012,743","54,164,462",98,95,185,0
DEPARTMENT: ICT AND E-GOVERNMENT,,,,,,,,,185,0
"Information & Com-
munication Service","News and Information
Services","58,786,604",-,"58,786,604","40,505,751",-,69,-,185,0
"Information & Com-
munication Service","ICT and BPO devel-
opment services",-,"42,114,841","42,114,841",-,"18,789,523",-,45,185,0
"Youth development
and empowerment
services","Youth Development
(YP) Training",-,"3,400,000","3,400,000",-,"3,400,000",-,100,185,0
,,"58,786,604","45,514,841","104,301,445","40,505,751","22,189,523",69,49,185,0
DEPARTMENT: COUNTY PUBLIC SERVICE BOARD,,,,,,,,,185,0
"Administration of
Human Resources
and Public Service","Establishment,
Appointment,
Discipline and Board
Management.","69,612,544",-,"69,612,544","65,516,464",-,94,-,185,0
,,"69,612,544",-,"69,612,544","65,516,464",-,94,,185,0
DEPARTMENT: PUBLIC SERVICE MANAGEMENT,,,,,,,,,185,0
"Administration of
Human Resources
and Public Service","General Administra-
tion, Planning and
Support Services","287,437,612","13,241,257","300,678,869","272,016,672","9,744,057",95,74,185,0
"Administration of
Human Resources
and Public Service","Human Resource
Development","146,432,645",-,"146,432,645","146,936,787",-,100,-,185,0
,,"433,870,257","13,241,257","447,111,514","418,953,458","9,744,057",97,74,185,0
"County Executive
Grand Total",,"4,909,002,218","2,695,642,070","7,604,644,288","4,462,378,402","1,674,607,091",91,62,185,0
Speaker's office,Speaker's office,"484,263,766",-,"484,263,766","477,113,829",-,16,-,185,0
Clerk's Office,Clerk's Office,"351,024,499","35,547,843","386,572,342","322,779,469","11,333,268",27,-,185,0
