Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
"Roads, General
Administration and
Planning",Public Works,"2,500,000",-,"2,476,934",-,99.1,-,246,0
,"Mechanical
Engineering Services","23,551,994",-,"13,358,496",-,56.7,-,246,0
"County Roads
and Public Works
Management","General
Administration and
Planning Services",-,"370,000,000",-,"299,999,842",-,81.1,246,0
,"Road Construction
and Maintenance
Services",-,"473,500,000",-,"129,083,087",-,27.3,246,0
,Sub - Total,"272,456,473","843,500,000","139,509,765.30","429,082,929.00",51.2,50.9,246,0
"Lands, Housing, Physical Planning and Urban Development",,,,,,,,246,0
"Physical Planning and
Housing","Physical Planning
Services","12,948,375",-,"9,814,813",-,75.8,-,246,0
"Promotion of
Sustainable Land Use","Promotion of Soil and
Water Management","290,800",-,"176,000",-,60.5,-,246,0
"Urban Planning and
Development Control","Urban Planning and
Development","105,007,461",-,"65,101,218.45",-,62,-,246,0
,Sub - Total,"118,246,636",-,"75,092,031.45",-,63.5,-,246,0
"Finance, Economic Planning and ICT Services",,,,,,,,246,0
"Public Finance
Management",Revenue Mobilization,-,"50,000,000",-,"20,822,670.00",-,41.6,246,0
,"Budget Formulation
and Coordination
Services",-,"12,142,939",-,"12,086,230.00",-,99.5,246,0
"Revenue Generation
and Management","Local Revenue Mobi-
lization","21,855,964",-,"19,892,087.75",-,71.0,-,246,0
ICT Services,ICT Services,"70,074,676",-,"43,409,838.10",-,61.9,-,246,0
Financial Management,Revenue Mobilization,"80,000,000",-,"78,268,380",-,97.8,-,246,0
,"Management of
Public Financial
Resources","22,600,000",-,"12,750,400",-,56.4,-,246,0
,"Budget Formulation
and Coordination
Services","81,988,631",-,"59,804,239.95",-,72.9,-,246,0
"County Planning
and Development
Coordination Services","Policy Formulation
and Planning","99,993,700",-,"49,414,645",-,49.4,-,246,0
,"Monitoring and
Evaluation","62,299,369",-,"30,830,649.10",-,49.5,-,246,0
"County
Communication and
ICT Services","Management
Information System","8,789,943",-,"2,383,557.00",-,27.1,-,246,0
