Program,Sub Program,"Approved
Estimates (Kshs)","Actual Expenditure
(Kshs)","Absorption Rate
(%)",page_number,table_index
,Blue Economy Integration,"508,123",-,-,580,0
,Sub - Total,"1,701,041,326","832,102,087",48.9,580,0
"Tourism, Culture and Natural Resources",,,,,581,0
General Administration,"General Administration Tourism Culture &
Heritage","11,850,000","10,642,226",89.8,581,0
,"General Administration Environment &
Climate Change","5,500,000","3,594,050",65.3,581,0
,"General Administration, Energy, Mining &
Natural Resources","9,000,000","7,469,527",83.0,581,0
"Tourism Development and
Promotion",Tourism Destination Marketing,"800,000","797,160",99.6,581,0
,Tourism Product Development & Promotion,"900,000","248,500",27.6,581,0
,Tourism Infrastructure Development,"23,100,000","21,354,203",92.4,581,0
,Tourism Research & Development,"800,000","179,000",22.4,581,0
"Culture, arts, heritage
development, promotion and
preservation",Ushanga Initiative,"3,000,000","1,155,367",38.5,581,0
,Culture Promotion and Preservation,"900,000","78,880",8.8,581,0
,Turkana Cultural Festivals,"49,000,000","45,157,010",92.2,581,0
Heritage Promotion,"Heritage Development Promotion &
Preservation","1,000,000","84,000",8.4,581,0
,Turkana Cultural Education & Research Centre,"1,000,000","242,274",24.2,581,0
,Ataa Nayeche Commemoration,-,"997,920",-,581,0
"Environmental Governance
Compliance Conservation
Protection and Management",Environmental Governance & Compliance,"1,800,000","792,200",44.0,581,0
,Environmental Education and Awareness,"800,000",-,-,581,0
"Environmental Rehabilitation
and Circular Economy",Rehabilitation of Degraded Sites,"3,800,000","2,800,000",73.7,581,0
"Climate Change
Adaptation Resilience and
Mitigation","Climate Change Institutional Governance &
Administration","1,500,000","409,500",27.3,581,0
"Financing Locally-Led and
Departmental Programmes
Climate Actions","Financing Locally-Led and Departmental
Programmes Climate Actions","404,443,957","404,443,957",100.0,581,0
"Energy Development
Programme",Renewable Energy Development,"48,800,000","45,759,390",93.8,581,0
,Street lighting,"11,500,000","7,537,800",65.5,581,0
,Energy Efficiency & Conservation,"6,900,000","6,890,805",99.9,581,0
,Technology Research & Development,"1,200,000","1,200,000",100.0,581,0
Mining Development,Sustainable Exploitation of Mineral Resources,"6,000,000","3,997,000",66.6,581,0
Oil and Gas,Sustainable Utilization of Oil and Gas,"2,591,279","1,653,270",63.8,581,0
"Forest Conservation and
Management",Forestry Development and Governance,"23,000,000","21,802,550",94.8,581,0
,"Prosopis Management and Nature-Based Value
Chains Promotion","21,500,000","19,082,560",88.8,581,0
"Wildlife Management and
Conservation",Wildlife Governance and Community Services,"1,500,000","913,780",60.9,581,0
,Sub - Total,"642,185,236","609,282,929",94.9,581,0
"Lands, Energy, Housing and Urban Areas Management",,,,,581,0
"General Administration and
Support Services","General Administration Lands & Physical
Planning","23,492,249","19,999,554",85.1,581,0
,"General Administration Urban &
Municipalities","14,400,000","14,042,515",97.5,581,0
Physical Planning Services,County Spatial Plan,"65,189,817","58,805,469",90.2,581,0
,Policy Formulation,"2,600,000","2,248,450",86.5,581,0
,Development Control,"2,000,000","1,445,085",72.3,581,0
,Land Governance,"3,772,201","3,091,594",82.0,581,0
,Planning Services,"1,820,048","1,768,903",97.2,581,0
Lands Survey,Land and Property Valuation Services,"13,300,000","12,702,906",95.5,582,0
,Spatial Infrastructure,"1,900,000","1,643,300",86.5,582,0
,Land Registration,"48,189,170","16,792,830",34.8,582,0
,Land Policy and Management,"2,300,000","2,288,747",99.5,582,0
Urban Development,Urban Services,"5,700,000","5,400,000",94.7,582,0
,Urban Governance,"36,200,000","31,720,801",87.6,582,0
,Research and Development,"800,000","789,100",98.6,582,0
,Urban Infrastructure,"15,805,829","13,365,222",84.6,582,0
